player,start_rank,start_points,difference,finish_rank,finish_points
James Wattana,0,0,,123,400
Steve Davis,0,0,,106,"6,583"
Mark Selby,1,"774,089",0,1,"760,382"
Ding Junhui,2,"700,671",-2,4,"592,100"
Neil Robertson,3,"680,748",0,3,"602,693"
Ronnie O'Sullivan,4,"505,616",-1,5,"465,866"
Barry Hawkins,5,"498,199",-3,8,"381,433"
Judd Trump,6,"407,322",-1,7,"395,832"
Shaun Murphy,7,"366,405",1,6,"457,499"
Marco Fu,8,"342,873",-3,11,"315,566"
Mark Allen,9,"305,118",-3,12,"314,500"
Ricky Walden,10,"296,860",0,10,"318,171"
John Higgins,11,"284,959",-2,13,"284,000"
Stuart Bingham,12,"276,081",10,2,"608,028"
Ali Carter,13,"222,125",-16,29,"114,050"
Stephen Maguire,14,"217,476",-1,15,"200,966"
Joe Perry,15,"198,065",6,9,"358,723"
Mark Davis,16,"188,163",-3,19,"171,985"
Graeme Dott,17,"176,583",-1,18,"175,516"
Mark Williams,18,"163,388",4,14,"246,233"
Matthew Stevens,19,"163,258",-9,28,"117,626"
Robert Milkins,20,"161,864",4,16,"187,660"
Ryan Day,21,"146,443",1,20,"162,987"
Michael Holt,22,"139,705",-3,25,"131,475"
Xiao Guodong,23,"138,177",2,21,"150,599"
Dominic Dale,24,"130,848",-9,33,"105,824"
Peter Ebdon,25,"129,520",-6,31,"108,917"
Liang Wenbo,26,"126,689",4,22,"145,901"
Michael White,27,"115,938",10,17,"177,220"
Mark King,28,"113,586",-8,36,"98,834"
Alan McManus,29,"112,988",6,23,"137,206"
Martin Gould,30,"112,148",4,26,"125,111"
Fergal O'Brien,31,"111,263",4,27,"121,849"
Tom Ford,32,"104,943",-27,59,"60,324"
Ken Doherty,33,"102,712",-12,45,"78,338"
Kurt Maflin,34,"93,888",-3,37,"96,730"
Marcus Campbell,35,"93,490",-33,68,"49,404"
Andrew Higginson,36,"93,344",-12,48,"75,026"
David Gilbert,37,"92,401",2,35,"101,716"
Mark Joyce,38,"89,702",-9,47,"76,331"
Rod Lawler,39,"88,294",0,39,"94,870"
Ben Woollaston,40,"86,874",8,32,"108,203"
Jamie Burnett,41,"85,598",-5,46,"77,950"
Jack Lisowski,42,"83,940",-11,53,"69,332"
Jamie Cope,43,"78,025",-23,66,"52,956"
