player,start_rank,start_points,difference,finish_rank,finish_points
David Taylor,9,0,2,7,0
Fred Davis,8,0,-4,12,0
Perrie Mans,7,0,-8,15,0
Dennis Taylor,6,0,1,5,0
Terry Griffiths,5,0,2,3,0
Alex Higgins,4,0,-7,11,0
Eddie Charlton,3,0,-5,8,0
Paddy Morgan,27,0,27,0,0
Bernard Bennett,26,0,26,0,0
Ian Anderson,25,0,25,0,0
John Dunning,24,0,-1,25,0
Jim Meadowcroft,23,0,-3,26,0
Rex Williams,22,0,3,19,0
Pat Houlihan,21,0,21,0,0
Willie Thorne,20,0,-2,22,0
Cliff Thorburn,2,0,1,1,0
John Pulman,19,0,-13,32,0
Patsy Fagan,18,0,-9,27,0
Jim Wych,17,0,0,17,0
Graham Miles,16,0,0,16,0
John Spencer,15,0,1,14,0
Doug Mountjoy,14,0,8,6,0
Steve Davis,13,0,11,2,0
John Virgo,12,0,-1,13,0
Kirk Stevens,11,0,1,10,0
Bill Werbeniuk,10,0,1,9,0
Ray Reardon,1,0,-3,4,0
Chris Ross,0,0,,0,0
Maurice Parkin,0,0,,0,0
Kingsley Kennerley,0,0,,0,0
Jimmy van Rensberg - Not active,0,0,,0,0
Bernie Mikkelsen,0,0,,0,0
Roy Andrewartha,0,0,,0,0
Mario Morra,0,0,,0,0
Ray Edmonds,0,0,,28,0
John Barrie,0,0,,0,0
Jack Karnehm - Not active,0,0,,0,0
Tony Meo,0,0,,18,0
Cliff Wilson,0,0,,23,0
David Greaves,0,0,,31,0
Paul Thornley,0,0,,0,0
Marcus Owen - Not active,0,0,,0,0
Sid Hood,0,0,,0,0
Frank Jonik,0,0,,0,0
Mike Hallett,0,0,,29,0
Jackie Rea,0,0,,0,0
Eddie Sinclair,0,0,,30,0
Derek Mienie - Not active,0,0,,0,0
Mark Wildman,0,0,,0,0
Joe Johnson,0,0,,0,0
John Bear,0,0,,0,0
Roy Amdor - Not active,0,0,,0,0
Kevin Robitaille - Not active,0,0,,0,0
Warren Simpson - Not active,0,0,,0,0
Dave Martin,0,0,,24,0
Jimmy White,0,0,,21,0
Tony Knowles,0,0,,20,0
