player,start_rank,start_points,difference,finish_rank,finish_points
Mark Flowerdew - Not active,63,"8,185",63,0,0
John Higgins,2,"30,867",1,1,"47,422"
Stephen Hendry,1,"43,127",-1,2,"47,247"
Ronnie O'Sullivan,7,"24,217",4,3,"39,407"
Ken Doherty,3,"28,601",-1,4,"36,167"
Mark Williams,4,"27,485",-1,5,"32,755"
John Parrott,6,"25,082",0,6,"31,757"
Peter Ebdon,5,"25,282",-2,7,"25,426"
Alan McManus,10,"20,995",2,8,"24,394"
Stephen Lee,16,"16,079",7,9,"24,264"
Tony Drago,11,"19,959",1,10,"23,809"
Anthony Hamilton,14,"17,004",3,11,"22,524"
Alain Robidoux,9,"21,994",-3,12,"22,387"
Nigel Bond,8,"22,182",-5,13,"22,256"
Steve Davis,13,"18,654",-1,14,"22,252"
James Wattana,12,"18,822",-3,15,"21,542"
Mark King,20,"14,240",4,16,"21,470"
Gary Wilkinson,17,"15,913",0,17,"19,084"
Jimmy White,21,"13,664",3,18,"18,995"
Dave Harold,18,"15,812",-1,19,"18,410"
Fergal O'Brien,23,"13,343",3,20,"18,152"
Andy Hicks,19,"14,823",-2,21,"17,808"
Darren Morgan,15,"16,423",-7,22,"17,804"
Dominic Dale,54,"9,830",31,23,"17,622"
Paul Hunter,43,"10,883",19,24,"17,155"
Chris Small,25,"13,036",0,25,"17,026"
Matthew Stevens,53,"9,870",27,26,"16,935"
Brian Morgan,28,"12,693",1,27,"16,227"
Martin Clark,27,"12,744",-1,28,"16,134"
Terry Murphy,29,"12,644",0,29,"16,047"
Graeme Dott,33,"12,086",3,30,"15,589"
Jamie Burnett,38,"11,635",7,31,"15,542"
Billy Snaddon,32,"12,266",0,32,"15,042"
Mick Price,31,"12,372",-2,33,"14,976"
Neal Foulds,30,"12,570",-4,34,"14,915"
Jason Ferguson,37,"11,691",2,35,"14,802"
Joe Swail,22,"13,481",-14,36,"14,595"
Steve James,24,"13,204",-13,37,"14,209"
Euan Henderson,44,"10,810",6,38,"14,084"
Jason Prince,42,"10,893",3,39,"13,992"
Rod Lawler,26,"12,896",-14,40,"13,122"
Paul Davies,48,"10,347",7,41,"12,814"
Jonathan Birch,45,"10,675",3,42,"12,742"
Drew Henry,40,"10,945",-3,43,"12,647"
Bradley Jones,80,"7,192",36,44,"12,345"
Quinten Hann,104,"6,275",59,45,"12,182"
Karl Broughton,41,"10,943",-5,46,"12,027"
Tony Chappel,46,"10,674",-1,47,"11,952"
David Roe,49,"10,083",1,48,"11,875"
Shokat Ali,59,"8,633",10,49,"11,817"
Lee Walker,79,"7,261",29,50,"11,761"
Willie Thorne,36,"11,739",-15,51,"11,715"
Dennis Taylor,34,"12,042",-18,52,"11,648"
Peter Lines,90,"6,710",37,53,"11,642"
Dean Reynolds,51,"9,942",-3,54,"11,534"
Joe Johnson,52,"9,871",-3,55,"11,515"
Mark Davis,47,"10,390",-9,56,"11,511"
Dene O'Kane,35,"11,873",-22,57,"11,500"
Michael Judge,56,"9,230",-2,58,"11,477"
Gerard Greene,62,"8,405",3,59,"11,332"
Ian McCulloch,76,"7,302",16,60,"11,115"
David Gray,152,"4,427",91,61,"11,089"
Paul Wykes,69,"7,825",7,62,"11,077"
Tony Jones,60,"8,565",-3,63,"11,035"
Nick Pearce,57,"8,804",-7,64,"10,930"
Stefan Mazrocis,65,"8,040",0,65,"10,910"
Mark Bennett,50,"9,975",-16,66,"10,834"
Chris Scanlon,64,"8,050",-3,67,"10,752"
Dave Finbow,39,"11,498",-29,68,"10,692"
Jimmy Michie,55,"9,262",-26,81,"9,464"
Wayne Jones,58,"8,730",-24,82,"9,374"
Anthony Davies,61,"8,428",-24,85,"8,787"
Karl Burrows,78,"7,267",9,69,"10,640"
John Read,86,"6,793",16,70,"10,567"
Nick Walker,67,"7,900",-4,71,"10,540"
Sean Storey,82,"7,085",10,72,"10,487"
Marcus Campbell,97,"6,468",24,73,"10,195"
Joe Perry,123,"5,289",49,74,"10,184"
Gary Ponting,85,"6,870",10,75,"10,180"
Stuart Pettman,87,"6,720",11,76,"9,890"
Alfie Burden,122,"5,309",45,77,"9,841"
Matthew Couch,94,"6,663",16,78,"9,775"
Steve Judd,92,"6,683",13,79,"9,650"
Wayne Brown,99,"6,454",19,80,"9,595"
Martin Dziewialtowski,116,"5,640",33,83,"9,022"
Jamie Woodman,71,"7,655",-13,84,"8,957"
Stephen O'Connor,106,"6,203",20,86,"8,612"
Darren Clarke,84,"6,978",-3,87,"8,492"
Troy Shaw,131,"5,140",43,88,"8,252"
Lee Richardson,105,"6,250",16,89,"8,047"
Ian Brumby,101,"6,328",11,90,"7,957"
Karl Payne,77,"7,290",-14,91,"7,719"
Mark Gray,150,"4,469",58,92,"7,710"
Leigh Griffin,143,"4,702",50,93,"7,508"
John Lardner,130,"5,193",36,94,"7,389"
Peter McCullagh,162,"4,188",67,95,"6,936"
Craig MacGillivray,159,"4,222",63,96,"6,434"
Graham Horne,73,"7,522",-24,97,"5,837"
Stephen Murphy,66,"7,988",-32,98,"5,607"
Robert Milkins,91,"6,697",-8,99,"5,600"
David McLellan,75,"7,453",-25,100,"5,492"
Simon Bedford,215,"3,005",215,0,0
Joe Delaney,137,"4,887",137,0,0
Andrew Higginson,334,"1,574",334,0,0
