player,start_rank,start_points,difference,finish_rank,finish_points
Ronnie O'Sullivan,1,"53,575",-2,3,"47,835"
Stephen Maguire,2,"48,050",-4,6,"40,495"
Shaun Murphy,3,"47,175",-4,7,"38,655"
John Higgins,4,"45,825",3,1,"57,820"
Ali Carter,5,"42,525",1,4,"46,620"
Ryan Day,6,"40,675",-6,12,"33,410"
Mark Selby,7,"37,975",-2,9,"35,445"
Marco Fu,8,"37,350",-6,14,"29,635"
Neil Robertson,9,"35,225",7,2,"48,405"
Stephen Hendry,10,"33,125",-1,11,"33,785"
Mark Allen,11,"32,875",1,10,"35,380"
Joe Perry,12,"32,875",-7,19,"27,385"
Ding Junhui,13,"29,644",8,5,"40,975"
Peter Ebdon,14,"29,400",-4,18,"27,545"
Mark Williams,15,"29,319",7,8,"37,699"
Mark King,16,"28,300",1,15,"29,085"
Barry Hawkins,17,"27,175",-4,21,"25,245"
Jamie Cope,18,"26,632",1,17,"27,983"
Dave Harold,19,"26,607",-12,31,"20,248"
Ricky Walden,20,"26,050",0,20,"26,055"
Stuart Bingham,21,"25,419",-8,29,"21,659"
Joe Swail,22,"24,894",-17,39,"18,134"
Steve Davis,23,"24,544",1,22,"25,205"
Michael Holt,24,"23,225",0,24,"23,460"
Stephen Lee,25,"23,188",2,23,"23,604"
Matthew Stevens,26,"23,132",1,25,"23,384"
Liang Wenbo,27,"22,825",11,16,"28,065"
Graeme Dott,28,"22,494",15,13,"30,890"
Nigel Bond,29,"22,357",-9,38,"18,307"
Judd Trump,30,"21,901",3,27,"22,560"
Fergal O'Brien,31,"20,795",-16,47,"16,772"
Gerard Greene,32,"20,751",4,28,"22,008"
Anthony Hamilton,33,"20,688",-9,42,"18,073"
Dominic Dale,34,"20,620",-11,45,"17,297"
Ian McCulloch,35,"19,263",-13,48,"16,159"
Michael Judge,36,"19,007",-16,52,"15,267"
Stuart Pettman,37,"18,770",2,35,"19,147"
Mike Dunn,38,"18,739",5,33,"19,478"
Rory McLeod,39,"18,163",5,34,"19,148"
Jamie Burnett,40,"17,888",3,37,"18,500"
Alan McManus,41,"17,801",-5,46,"16,903"
Adrian Gunnell,42,"17,500",-2,44,"17,370"
Andrew Higginson,43,"17,438",11,32,"19,740"
Ken Doherty,44,"17,363",14,30,"21,354"
Marcus Campbell,45,"16,863",5,40,"18,133"
Martin Gould,46,"16,645",3,43,"18,072"
Mark Davis,47,"16,588",21,26,"23,145"
Jimmy Michie,48,"16,000",-8,56,"14,505"
Tom Ford,49,"15,963",8,41,"18,078"
Andy Hicks,50,"15,832",-3,53,"15,092"
David Gilbert,51,"15,625",-4,55,"14,525"
Barry Pinches,52,"15,570",-5,57,"14,240"
John Parrott,53,"15,225",-12,65,"11,985"
Paul Davies,54,"14,326",-10,64,"12,253"
Robert Milkins,55,"14,107",19,36,"19,117"
Jimmy White,56,"14,038",-4,60,"13,120"
Mark Joyce,57,"14,001",-1,58,"14,178"
David Morris,58,"13,445",-1,59,"13,647"
Liu Song,59,"13,370",-23,82,"9,635"
Jin Long,60,"12,976",-7,67,"11,898"
Rod Lawler,61,"12,783",12,49,"15,845"
David Roe,62,"12,620",-31,93,"8,330"
Joe Delaney,63,"12,558",2,61,"13,017"
Peter Lines,64,"12,238",14,50,"15,450"
David Gray,65,"12,208",-14,79,"9,740"
Ian Preece,66,"12,170",-29,95,"8,035"
Matthew Selt,67,"12,113",16,51,"15,295"
Lee Spick,68,"11,975",-12,80,"9,715"
Matthew Couch,69,"11,838",0,69,"11,820"
Daniel Wells,70,"11,688",-13,83,"9,620"
Li Hang,71,"11,338",-10,81,"9,660"
Simon Bedford,72,"11,288",6,66,"11,940"
Patrick Wallace,73,"11,150",3,70,"11,745"
Andrew Norman,74,"11,126",-22,96,"8,003"
Atthasit Mahitthi,75,"10,938",-11,86,"9,180"
Tony Drago,0,"5,850",,54,"14,970"
Bjorn Haneveer,0,"5,850",,62,"12,650"
Jimmy Robertson,0,"5,850",,63,"12,390"
James Wattana,0,"5,850",,68,"11,860"
Zhang Anda,0,"5,850",,71,"11,690"
Joe Jogia,0,"5,850",,72,"11,550"
Michael White,0,"5,850",,73,"11,370"
Ben Woollaston,0,"5,850",,74,"10,890"
Xiao Guodong,0,"5,850",,75,"10,640"
Sam Baird,0,"5,850",,76,"10,560"
Craig Steadman,0,"5,850",,77,"10,460"
Thepchaiya Un-Nooh,0,"5,850",,77,"10,460"
Noppadol Sangnil,0,"5,850",,84,"9,490"
David Hogan,0,"5,850",,85,"9,230"
Brendan O'Donoghue,0,"5,850",,87,"9,140"
Mark Boyle,0,"5,850",,88,"8,940"
Mei Xiwen,0,"5,850",,89,"8,860"
Jordan Brown,0,"5,850",,90,"8,780"
Stephen Rowlings,0,"5,850",,91,"8,690"
Chris Norbury,0,"5,850",,92,"8,590"
Lee Page,0,"5,850",,94,"8,060"
