player,start_rank,start_points,difference,finish_rank,finish_points
Mark Selby,1,"1,298,425",0,1,"1,315,275"
John Higgins,2,"563,000",-2,4,"751,525"
Judd Trump,3,"538,000",-2,5,"660,250"
Ding Junhui,4,"510,950",-2,6,"590,525"
Barry Hawkins,5,"395,250",-2,7,"543,225"
Marco Fu,6,"393,625",-12,18,"282,150"
Neil Robertson,7,"358,125",-3,10,"356,125"
Shaun Murphy,8,"357,350",0,8,"453,875"
Stuart Bingham,9,"313,762",-4,13,"324,587"
Mark Allen,10,"307,650",-2,12,"332,450"
Liang Wenbo,11,"305,500",-8,19,"258,900"
Ali Carter,12,"302,575",1,11,"333,525"
Kyren Wilson,13,"301,925",4,9,"416,250"
Ronnie O'Sullivan,14,"298,750",12,2,"905,750"
Mark Williams,15,"211,975",12,3,"878,750"
Martin Gould,16,"210,975",-8,24,"194,050"
Anthony McGill,17,"200,150",3,14,"320,300"
Ryan Day,18,"197,087",2,16,"303,862"
David Gilbert,19,"194,650",-8,27,"178,550"
Mark King,20,"191,475",-1,21,"221,050"
Ricky Walden,21,"187,400",-7,28,"177,975"
Joe Perry,22,"181,700",2,20,"237,950"
Michael Holt,23,"178,500",-8,31,"163,050"
Stephen Maguire,24,"178,275",7,17,"291,025"
Anthony Hamilton,25,"142,925",-5,30,"166,425"
Michael White,26,"135,825",-3,29,"175,625"
Luca Brecel,27,"132,075",12,15,"310,150"
Ben Woollaston,28,"130,525",-9,37,"135,275"
Alan McManus,29,"128,850",-35,64,"86,900"
Graeme Dott,30,"127,875",8,22,"219,175"
Tom Ford,31,"122,500",-1,32,"159,775"
Zhou Yuelong,32,"118,325",-1,33,"159,450"
Dominic Dale,33,"116,850",-13,46,"113,125"
Matthew Selt,34,"110,000",-25,59,"94,900"
Robert Milkins,35,"109,475",0,35,"148,025"
Jamie Jones,36,"108,987",-3,39,"127,587"
Mark Davis,37,"107,250",-4,41,"124,500"
Jimmy Robertson,38,"105,487",4,34,"148,587"
Xiao Guodong,39,"101,775",14,25,"191,025"
Peter Ebdon,40,"99,387",-15,55,"101,712"
Rory McLeod,41,"97,687",-21,62,"89,387"
Thepchaiya Un-Nooh,42,"95,675",-14,56,"98,000"
Mike Dunn,43,"94,400",-10,53,"102,525"
David Grace,44,"93,475",-27,71,"72,225"
Fergal O'Brien,45,"92,062",-6,51,"102,987"
Stuart Carrington,46,"84,450",-4,50,"104,075"
Yu Delu,47,"84,175",4,43,"117,225"
Mark Joyce,48,"83,662",6,42,"121,837"
Andrew Higginson,49,"79,200",-4,53,"102,525"
Tian Pengfei,50,"77,575",-20,70,"74,075"
Sam Baird,51,"76,025",-23,74,"64,850"
Kurt Maflin,52,"75,687",8,44,"116,837"
Robbie Williams,53,"74,650",-4,57,"97,325"
Jack Lisowski,54,"74,162",28,26,"180,862"
Matthew Stevens,55,"72,412",8,47,"107,587"
Yan Bingtao,56,"71,125",33,23,"215,125"
Gary Wilson,57,"68,862",17,40,"124,887"
Li Hang,58,"68,075",22,36,"136,450"
Hossein Vafaei,59,"65,625",14,45,"114,000"
Oliver Lines,60,"64,787",-5,65,"83,312"
Alfie Burden,61,"64,350",-11,72,"71,850"
Daniel Wells,62,"63,512",-1,63,"89,212"
Chris Wakelin,63,"61,275",15,48,"106,300"
Noppon Saengkham,64,"60,050",12,52,"102,650"
Scott Donaldson,65,"59,525",7,58,"95,025"
John Astley,66,"39,125",0,66,"81,725"
Zhang Anda,67,"38,500",0,67,"75,750"
Liam Highfield,68,"35,225",8,60,"94,325"
Lee Walker,69,"33,825",0,69,"74,825"
Mei Xiwen,70,"32,212",-3,73,"71,712"
Hammad Miah,71,"25,837",-7,78,"54,837"
Zhao Xintong,72,"23,537",-5,77,"56,262"
James Wattana,73,"23,500",-13,86,"33,500"
Michael Georgiou,74,"23,237",25,49,"105,737"
Mitchell Mann,75,"22,025",-4,79,"54,525"
Jak Jones,76,"18,862",-6,82,"43,962"
Sam Craigie,76,"18,862",-4,80,"54,462"
Aditya Mehta,78,"17,500",-5,83,"43,600"
Ian Preece,79,"17,000",-5,84,"39,100"
Fang Xiongman,80,"15,550",-10,90,"32,150"
Wang Yuchen,81,"15,500",-13,94,"27,000"
Craig Steadman,82,"14,050",-7,89,"32,550"
Alex Borg,83,"13,000",-20,103,"18,100"
Thor Chuan Leong,84,"11,900",-17,101,"20,400"
Adam Duffy,85,"9,362",-2,87,"33,362"
Elliot Slessor,86,"9,362",18,68,"75,362"
Josh Boileau,87,"8,312",-24,111,"12,812"
Kritsanut Lertsattayathorn,88,"8,000",-33,121,"8,000"
Cao Yupeng,89,"6,525",51,38,"132,525"
Christopher Keogan,90,"5,050",-29,119,"8,550"
Boonyarit Keattikun,91,"4,000",-32,123,"6,000"
Jamie Barrett,92,"3,500",-23,115,"11,100"
Chen Zhe,93,"3,500",-12,105,"17,500"
Kurt Dunham,94,"3,025",-23,117,"10,025"
David John,95,"2,337",-33,128,"2,337"
Leo Fernandez,96,0,-30,126,"5,000"
Rouzi Maimaiti - Not active,96,0,96,0,0
Lyu Haotian,0,0,,61,"94,000"
Ken Doherty,0,0,,75,"61,000"
Akani Songsermsawad,0,0,,76,"60,000"
Martin O'Donnell,0,0,,81,"46,100"
Gerard Greene,0,0,,85,"36,500"
Alexander Ursenbacher,0,0,,88,"33,100"
Xu Si,0,0,,91,"29,500"
Yuan Sijun,0,0,,92,"28,000"
Jimmy White,0,0,,93,"27,500"
Ian Burns,0,0,,94,"27,000"
Zhang Yong,0,0,,94,"27,000"
