player,start_rank,start_points,difference,finish_rank,finish_points
Stephen Hendry,1,"50,042",0,1,"36,911"
Steve Davis,2,"42,395",-8,10,"18,252"
Ronnie O'Sullivan,3,"41,255",-5,8,"21,007"
John Parrott,4,"38,939",0,4,"24,339"
James Wattana,5,"38,904",-7,12,"17,641"
Alan McManus,6,"36,310",0,6,"21,492"
Jimmy White,7,"36,225",-6,13,"16,620"
Darren Morgan,8,"34,970",-1,9,"19,142"
Ken Doherty,9,"34,507",2,7,"21,161"
Peter Ebdon,10,"33,645",7,3,"28,115"
John Higgins,11,"29,962",9,2,"32,341"
Nigel Bond,12,"29,394",7,5,"22,699"
Dave Harold,13,"28,840",2,11,"18,247"
Tony Drago,14,"25,944",-1,15,"16,031"
Terry Griffiths,15,"25,259",-8,23,"14,226"
David Roe,16,"24,156",-18,34,"11,804"
Andy Hicks,17,"23,775",-1,18,"15,371"
Dene O'Kane,18,"23,654",-9,27,"13,176"
Joe Swail,19,"23,169",2,17,"15,966"
Alain Robidoux,20,"23,127",6,14,"16,058"
Mick Price,21,"22,440",-11,32,"12,101"
Martin Clark,22,"21,762",-11,33,"11,840"
Gary Wilkinson,23,"21,498",4,19,"15,251"
Tony Knowles,24,"21,455",-18,42,"10,853"
Willie Thorne,25,"21,196",0,25,"13,534"
Steve James,26,"20,699",2,24,"13,699"
Brian Morgan,27,"20,453",-22,49,"9,719"
Neal Foulds,28,"20,290",7,21,"14,430"
Jason Ferguson,29,"20,183",0,29,"12,839"
Dean Reynolds,30,"20,057",-8,38,"11,019"
Anthony Hamilton,31,"19,670",9,22,"14,415"
Dennis Taylor,32,"19,095",6,26,"13,229"
Billy Snaddon,33,"18,720",-2,35,"11,487"
Mike Hallett,34,"18,425",-12,46,"10,035"
Drew Henry,35,"18,095",-5,40,"10,913"
Doug Mountjoy,36,"17,569",-23,59,"8,445"
Stephen Lee,37,"17,447",6,31,"12,751"
Fergal O'Brien,38,"17,285",2,36,"11,415"
Mark Williams,39,"16,815",23,16,"15,988"
Rod Lawler,40,"16,735",20,20,"14,565"
Cliff Thorburn,41,"16,337",-50,91,"6,456"
Mark Bennett,42,"16,091",-1,43,"10,786"
Tony Jones,43,"16,075",-20,63,"8,168"
Nigel Gilbert,44,"15,667",-38,82,"6,811"
Anthony Davies,45,"15,577",8,37,"11,288"
Nick Terry,46,"15,455",-6,52,"9,320"
Dave Finbow,47,"15,282",19,28,"12,946"
Peter Francisco - Not active,48,"15,267",-160,208,"3,184"
Mark Johnston-Allen,49,"14,852",5,44,"10,541"
Stephen Murphy,50,"14,572",-11,61,"8,238"
Alex Higgins,51,"14,350",-48,99,"6,202"
Mark King,52,"14,305",13,39,"10,943"
Tony Chappel,53,"14,302",8,45,"10,358"
Mark Flowerdew,54,"14,300",4,50,"9,510"
Jason Prince,55,"13,897",-1,56,"8,864"
Joe Johnson,56,"13,695",9,47,"9,785"
Wayne Jones,57,"13,660",9,48,"9,725"
Les Dodd,58,"13,525",-49,107,"5,870"
Mark Davis,59,"13,495",4,55,"8,950"
Steve Newbury,60,"13,312",-10,70,"7,473"
Terry Murphy,61,"13,130",20,41,"10,855"
Chris Small,62,"12,740",32,30,"12,788"
Jonathan Birch,63,"12,727",-1,64,"8,044"
Paul McPhillips,64,"12,697",-1,65,"7,863"
Danny Fowler,65,"12,085",-25,90,"6,500"
Paul Davies,66,"12,070",13,53,"9,165"
Brian Rowswell,67,"11,805",-42,109,"5,750"
Jimmy Michie,68,"11,700",8,60,"8,410"
Ian Brumby,69,"11,600",0,69,"7,718"
Stephen O'Connor,70,"11,570",-18,88,"6,563"
Jim Wych,71,"11,540",-191,262,"2,420"
Stefan Mazrocis,72,"11,320",-9,81,"6,820"
Jamie Burnett,73,"10,790",19,54,"9,115"
Steve Judd,74,"10,675",-34,108,"5,823"
Tony Meo,75,"10,640",0,75,"7,215"
Matthew Couch,76,"10,408",-7,83,"6,783"
Eddie Charlton,77,"10,227",-212,289,"2,064"
Karl Broughton,78,"10,145",21,57,"8,643"
Dominic Dale,79,"10,025",-8,87,"6,653"
Karl Payne,80,"9,700",29,51,"9,438"
Silvino Francisco,81,"9,697",-44,125,"4,919"
Craig Edwards,82,"9,660",-67,149,"4,170"
Sean Lanigan,83,"9,625",-47,130,"4,760"
Lee Richardson,84,"9,450",-26,110,"5,625"
Roger Garrett - Not active,85,"9,435",85,0,0
Chris Scanlon,86,"9,260",20,66,"7,840"
Shokat Ali,87,"9,105",11,76,"7,213"
Mark Rowing,88,"9,055",-4,92,"6,413"
Darren Clarke,89,"9,050",-4,93,"6,345"
Euan Henderson,90,"9,035",28,62,"8,173"
Darryn Walker,91,"9,010",-23,114,"5,213"
John Read,92,"8,840",15,77,"7,040"
Joe Grech,93,"8,625",-35,128,"4,795"
Nick Walker,94,"8,555",14,80,"6,848"
Ian Graham,95,"8,540",-20,115,"5,200"
Jamie Woodman,96,"8,525",28,68,"7,748"
Antony Bolsover,97,"8,345",11,86,"6,660"
Surinder Gill,98,"8,255",1,97,"6,305"
Eugene Hughes,99,"8,220",-42,141,"4,380"
Michael Judge,100,"8,120",29,71,"7,330"
Andrew Cairns,101,"8,105",0,101,"6,060"
Nick Dyson,102,"7,980",18,84,"6,688"
Noppadon Noppachorn,103,"7,820",-19,122,"4,965"
Colin Morton,104,"7,815",-13,117,"5,100"
Nick Fruin,105,"7,795",-16,121,"4,980"
David Taylor,106,"7,780",-45,151,"4,140"
Yasin Merchant,107,"7,780",34,73,"7,270"
Jack McLaughlin - Not active,108,"7,600",108,0,0
Peter Daubney,109,"7,500",109,0,0
Gerard Greene,110,"7,390",38,72,"7,285"
Jason Weston,111,"7,265",-12,123,"4,960"
Paul Cavney,112,"7,245",18,94,"6,333"
Gary Ponting,113,"7,200",39,74,"7,252"
Jeff Cundy,114,"7,145",11,103,"6,003"
David McDonnell,115,"7,070",-47,162,"3,970"
Marcus Campbell,116,"7,035",31,85,"6,680"
Sean Storey,117,"7,030",-12,129,"4,780"
Ken Owers,118,"6,855",-8,126,"4,830"
Jim Chambers,119,"6,820",-18,137,"4,550"
Jason Wallace,120,"6,785",22,98,"6,290"
Bob Chaperon - Not active,121,"6,740",-278,399,"1,020"
Oliver King,122,"6,730",22,100,"6,140"
Stuart Pettman,123,"6,694",34,89,"6,515"
Dylan Leary,124,"6,615",-3,127,"4,815"
Troy Shaw,125,"6,590",-8,133,"4,670"
Adrian Rosa,126,"6,525",7,119,"5,013"
Robby Foldvari,127,"6,315",-7,134,"4,660"
Robin Hull,128,"6,270",-4,132,"4,680"
Peter Lines,129,"6,250",18,111,"5,588"
Barry West,130,"6,225",-9,139,"4,488"
Stuart Reardon,131,"6,090",13,118,"5,020"
Barry Pinches,132,"6,040",53,79,"6,865"
John Giles,133,"5,825",21,112,"5,405"
Matt Wilson,134,"5,625",38,96,"6,316"
Anthony Harris,135,"5,470",-62,197,"3,374"
Jamie Bodle,136,"5,465",-19,155,"4,128"
Pat Kenny,137,"5,415",13,124,"4,952"
Joe O'Boye,138,"5,410",-60,198,"3,356"
Karl Burrows,139,"5,395",23,116,"5,163"
Steve Duggan,140,"5,329",-88,228,"2,926"
Scott MacFarlane,141,"5,275",-36,177,"3,732"
Paul Wykes,142,"5,219",40,102,"6,007"
Nick Marsh,143,"5,200",12,131,"4,719"
Daniel Murphy - Not active,144,"5,200",144,0,0
Graham Horne,145,"5,189",32,113,"5,287"
Amrik Cheema,146,"5,105",-125,271,"2,223"
Bradley Jones,147,"5,070",-52,199,"3,339"
David McLellan,148,"5,060",42,106,"5,877"
Anton Bishop,149,"5,060",-31,180,"3,612"
Mark Gray,150,"5,050",-6,156,"4,102"
Craig MacGillivray,151,"4,980",13,138,"4,538"
Colin Kelly,152,"4,965",152,0,0
Neil Mosley,153,"4,960",1,152,"4,138"
Steve Meakin,154,"4,885",-16,170,"3,827"
David Rippon,155,"4,870",155,0,0
Mike Dunn,156,"4,840",6,150,"4,169"
Roger Leighton - Not active,157,"4,790",157,0,0
Suriya Suwannasingh,158,"4,779",12,146,"4,274"
Murdo Macleod,159,"4,745",-15,174,"3,767"
Mark O'Sullivan,160,"4,745",-24,184,"3,538"
Robert Foxall,161,"4,705",25,136,"4,557"
Robert Marshall - Not active,162,"4,649",162,0,0
Gary Lees,163,"4,549",-9,172,"3,797"
Martin O'Neill,164,"4,546",11,153,"4,132"
Stuart Parnell,165,"4,540",18,147,"4,213"
Joe Delaney,166,"4,365",18,148,"4,188"
John Burns,167,"4,359",-46,213,"3,127"
Bjorn L'Orange,168,"4,300",-24,192,"3,431"
Michael Duffy,169,"4,284",34,135,"4,593"
Leigh Robinson,170,"4,250",26,144,"4,312"
Tai Pichit,171,"4,072",31,140,"4,462"
