player,start_rank,start_points,difference,finish_rank,finish_points
Fred Davis,9,0,3,6,0
Graham Miles,8,0,-1,9,0
John Pulman,7,0,-3,10,0
Cliff Thorburn,6,0,1,5,0
Alex Higgins,5,0,-2,7,0
Dennis Taylor,4,0,-4,8,0
Eddie Charlton,3,0,0,3,0
Paddy Morgan,25,0,-1,26,0
Bernard Bennett,24,0,-1,25,0
Marcus Owen - Not active,23,0,-1,24,0
Warren Simpson,22,0,0,22,0
Ian Anderson,21,0,-2,23,0
Willie Thorne,20,0,5,15,0
John Spencer,2,0,-2,4,0
Patsy Fagan,19,0,8,11,0
John Virgo,18,0,-1,19,0
Bill Werbeniuk,17,0,5,12,0
John Dunning,16,0,-4,20,0
Jim Meadowcroft,15,0,-1,16,0
Doug Mountjoy,14,0,0,14,0
Gary Owen,13,0,-8,21,0
David Taylor,12,0,-1,13,0
Rex Williams,11,0,-6,17,0
Perrie Mans,10,0,8,2,0
Ray Reardon,1,0,0,1,0
Ron Mares - Not active,0,0,,0,0
Rex King - Not active,0,0,,0,0
Dennis Wheelwright,0,0,,0,0
Lou Condo,0,0,,0,0
Ron Gross - Not active,0,0,,0,0
Roy Andrewartha,0,0,,0,0
Maurice Parkin,0,0,,0,0
Chris Ross,0,0,,0,0
Jack Karnehm,0,0,,0,0
David Greaves,0,0,,0,0
Jackie Rea,0,0,,0,0
Philip Tarrant,0,0,,0,0
Pat Houlihan,0,0,,18,0
John Barrie,0,0,,0,0
