player,start_rank,start_points,difference,finish_rank,finish_points
Mark Selby,1,"74,925",0,1,"79,740"
Judd Trump,2,"68,975",-1,3,"76,720"
Mark Williams,3,"63,560",-12,15,"53,260"
Stephen Maguire,4,"61,400",-1,5,"66,940"
John Higgins,5,"61,320",-6,11,"56,355"
Shaun Murphy,6,"59,685",2,4,"68,220"
Neil Robertson,7,"59,540",5,2,"79,460"
Stephen Lee,8,"56,550",-13,21,"44,335"
Ronnie O'Sullivan,9,"53,060",-10,19,"46,360"
Matthew Stevens,10,"52,760",-4,14,"53,660"
Ding Junhui,11,"52,340",1,10,"57,900"
Mark Allen,12,"50,065",5,7,"62,460"
Graeme Dott,13,"49,445",1,12,"54,900"
Martin Gould,14,"47,290",-11,25,"43,515"
Ricky Walden,15,"46,945",7,8,"59,765"
Stuart Bingham,16,"46,600",10,6,"62,940"
Ali Carter,17,"46,220",1,16,"52,895"
Andrew Higginson,18,"43,170",-4,22,"44,055"
Mark Davis,19,"41,490",6,13,"54,280"
Peter Ebdon,20,"40,645",-10,30,"40,135"
Stephen Hendry - Not active,21,"40,035",-37,58,"22,175"
Barry Hawkins,22,"39,940",13,9,"58,880"
Dominic Dale,23,"39,855",0,23,"43,915"
Joe Perry,24,"38,670",4,20,"44,580"
Marcus Campbell,25,"38,395",-3,28,"42,045"
Tom Ford,26,"37,080",2,24,"43,715"
Jamie Cope,27,"37,080",-11,38,"34,145"
Marco Fu,28,"36,825",11,17,"49,790"
Jamie Jones,29,"34,945",-11,40,"32,510"
Ryan Day,30,"34,930",-1,31,"39,575"
Mark King,31,"33,550",2,29,"41,665"
Anthony Hamilton,32,"32,970",-11,43,"31,440"
Michael Holt,33,"32,480",7,26,"43,155"
Fergal O'Brien,34,"32,275",-2,36,"35,590"
Ken Doherty,35,"32,145",8,27,"42,130"
Robert Milkins,36,"31,245",18,18,"48,580"
Liang Wenbo,37,"29,990",5,32,"37,600"
Rory McLeod,38,"29,965",-7,45,"30,900"
Jamie Burnett,39,"29,110",0,39,"34,005"
Jack Lisowski,40,"28,870",5,35,"35,625"
Xiao Guodong,41,"28,455",4,37,"34,185"
Gerard Greene,42,"28,210",-14,56,"23,145"
Ben Woollaston,43,"27,775",10,33,"37,590"
Matthew Selt,44,"27,770",0,44,"30,965"
Nigel Bond,45,"26,875",-1,46,"30,695"
Jimmy White,46,"26,455",-9,55,"25,225"
Joe Jogia - Not active,47,"26,405",47,0,0
Dave Harold,48,"25,955",-2,50,"29,285"
Mike Dunn,49,"25,450",-14,63,"19,590"
Anthony McGill,50,"25,420",2,48,"29,580"
Steve Davis,51,"25,225",0,51,"28,270"
Alan McManus,52,"24,695",3,49,"29,505"
Peter Lines,53,"24,510",-4,57,"22,620"
Michael White,54,"24,495",20,34,"36,495"
Jimmy Robertson,55,"24,275",3,52,"27,895"
Lyu Chuang,56,"24,110",2,54,"27,145"
David Gilbert,57,"23,420",16,41,"32,055"
Yu Delu,58,"23,015",11,47,"29,805"
Mark Joyce,59,"22,810",17,42,"31,620"
Alfie Burden,60,"22,760",7,53,"27,740"
Andy Hicks,61,"21,815",-4,65,"18,265"
Adam Duffy,62,"20,865",2,60,"21,235"
James Wattana,63,"20,610",2,61,"21,215"
Barry Pinches,64,"20,495",2,62,"20,415"
Li Yan,0,0,,84,"9,360"
Passakorn Suwannawat,0,0,,91,"5,590"
Simon Bedford,0,0,,85,"8,345"
Dechawat Poomjaeng,0,0,,67,"16,990"
Craig Steadman,0,0,,83,"10,105"
Kurt Maflin,0,0,,64,"18,690"
David Grace,0,0,,88,"7,905"
Liam Highfield,0,0,,76,"13,050"
Sam Baird,0,0,,81,"10,940"
Martin O'Donnell,0,0,,86,"8,340"
Chen Zhe,0,0,,78,"11,890"
Ian Burns,0,0,,68,"15,960"
Sean O'Sullivan,0,0,,91,"5,590"
Paul Davison,0,0,,75,"13,110"
Jamie O'Neill,0,0,,93,"4,060"
Daniel Wells,0,0,,87,"8,170"
Joel Walker,0,0,,90,"5,890"
Rod Lawler,0,0,,59,"21,535"
Michael Wasley,0,0,,80,"11,420"
Robbie Williams,0,0,,79,"11,460"
Hossein Vafaei,0,0,,97,360
Thanawat Thirapongpaiboon,0,0,,71,"14,140"
Michael Leslie,0,0,,94,"3,890"
Pankaj Advani,0,0,,74,"13,230"
Zhang Anda,0,0,,77,"11,910"
Cao Yupeng,0,0,,66,"17,305"
Tian Pengfei,0,0,,70,"15,660"
Thepchaiya Un-Nooh,0,0,,69,"15,715"
Aditya Mehta,0,0,,73,"13,360"
Tony Drago,0,0,,82,"10,350"
Luca Brecel,0,0,,72,"13,500"
Floyd Ziegler,0,0,,98,0
Ben Judge,0,0,,95,"3,560"
Mohamed Khairy,0,0,,96,"1,410"
Scott Donaldson,0,0,,89,"7,110"
