player,start_rank,start_points,difference,finish_rank,finish_points
Neil Robertson,13,"27,000",6,7,"33,125"
Robin Hull,50,"13,863",-5,55,"13,113"
Lee Spick,0,"4,100",,65,"11,050"
Ding Junhui,27,"21,700",18,9,"30,800"
Tom Ford,44,"15,325",-6,50,"13,475"
Ricky Walden,36,"18,400",0,36,"16,975"
James Wattana,25,"21,725",-8,33,"17,688"
Mike Dunn,53,"13,263",-6,59,"12,288"
Andy Hicks,31,"20,538",-10,41,"14,976"
Adrian Gunnell,40,"16,900",0,40,"15,500"
Mark Williams,8,"31,137",-4,12,"27,125"
Barry Hawkins,12,"27,825",-7,19,"23,750"
Issara Kachaiwong,0,"4,100",,79,"8,575"
Jimmy White,34,"19,237",-26,60,"12,175"
David Gray,23,"21,813",-12,35,"17,163"
Matthew Stevens,14,"23,862",-6,20,"23,550"
Mark King,29,"21,175",8,21,"22,425"
Scott MacKenzie,59,"12,175",-4,63,"11,325"
Joe Swail,30,"20,737",13,17,"24,350"
Judd Trump,0,"4,100",,51,"13,450"
Stuart Bingham,24,"21,775",1,23,"22,150"
Jamie Burnett,54,"13,100",8,46,"14,500"
John Parrott,42,"16,313",3,39,"16,288"
Peter Ebdon,7,"31,200",1,6,"33,550"
Barry Pinches,33,"20,263",-23,56,"12,638"
Jeff Cundy,0,"4,100",,92,"6,475"
Stephen Hendry,1,"36,437",-7,8,"32,475"
Jimmy Michie,60,"12,138",-1,61,"11,988"
Paul Davison,0,"4,100",,83,"8,100"
Tian Pengfei,0,"4,100",,69,"10,225"
Marco Fu,22,"21,912",-5,27,"20,425"
Andrew Higginson,0,"4,100",,44,"14,725"
Joe Delaney,63,"10,625",5,58,"12,400"
Shaun Murphy,5,"32,725",2,3,"37,700"
Michael Holt,21,"21,937",-3,24,"21,613"
Sean Storey,64,"10,425",-16,80,"8,500"
Robert Stephen,0,"4,100",,91,"6,700"
Drew Henry,41,"16,887",-16,57,"12,500"
Paul Davies,57,"12,250",-5,62,"11,713"
Mark Allen,61,"12,087",32,29,"18,900"
Jamie Cope,47,"14,212",25,22,"22,250"
Anthony Hamilton,16,"23,725",-10,26,"20,451"
Chris Norbury,0,"4,100",,78,"8,663"
Robert Milkins,32,"20,338",-15,47,"14,201"
Ronnie O'Sullivan,3,"36,012",-2,5,"34,500"
Gerard Greene,38,"18,087",6,32,"17,900"
Joe Jogia,62,"11,325",-5,67,"10,738"
Roy Stolk,0,"4,100",,96,"5,800"
Fergal O'Brien,45,"14,650",8,37,"16,950"
Dene O'Kane,0,"4,100",,89,"6,775"
Mark Davis,37,"18,375",-6,43,"14,775"
Dominic Dale,39,"17,275",8,31,"18,075"
Chris Melling,0,"4,100",,85,"7,650"
James Leadbetter,0,"4,100",,76,"8,775"
Jamie Jones,0,"4,100",,82,"8,325"
Rod Lawler,46,"14,475",-3,49,"13,650"
Ali Carter,15,"23,725",1,14,"25,300"
Graeme Dott,6,"32,600",4,2,"37,775"
Ken Doherty,2,"36,137",-2,4,"35,800"
Tony Drago,51,"13,537",-17,68,"10,450"
Lee Page,0,"4,100",,88,"7,150"
Mark Selby,28,"21,450",17,11,"27,400"
Ben Woollaston,0,"4,100",,75,"9,075"
Patrick Einsle,0,"4,100",,94,"6,250"
Shokat Ali,55,"12,963",-31,86,"7,426"
David Morris,0,"4,100",,71,"9,600"
Ian McCulloch,26,"21,725",-2,28,"19,126"
Ian Preece,0,"4,100",,64,"11,050"
Mark Joyce,0,"4,100",,73,"9,500"
Liang Wenbo,0,"4,100",,66,"10,900"
Marcus Campbell,48,"14,150",-4,52,"13,325"
Alan McManus,19,"22,175",-19,38,"16,525"
Mark Boyle,0,"4,100",,95,"6,250"
Liu Song,0,"4,100",,72,"9,525"
John Higgins,4,"34,962",3,1,"42,250"
Rory McLeod,49,"14,100",1,48,"14,025"
Nigel Bond,20,"22,075",-5,25,"20,688"
Stephen Maguire,9,"30,725",-1,10,"30,550"
Matthew Couch,0,"4,100",,70,"9,975"
Joe Perry,18,"23,000",0,18,"23,925"
Stephen Lee,10,"29,125",-3,13,"25,450"
Alfie Burden,0,"4,100",,74,"9,500"
Ryan Day,17,"23,075",1,16,"24,500"
Dermot McGlinchey,0,"4,100",,87,"7,400"
Passakorn Suwannawat,0,"4,100",,81,"8,325"
Paul Wykes,0,"4,100",,93,"6,250"
Stuart Pettman,52,"13,350",-1,53,"13,288"
Alex Borg,0,"4,100",,84,"7,750"
Michael Judge,43,"15,750",9,34,"17,550"
Peter Lines,0,"4,100",,77,"8,700"
David Roe,56,"12,787",2,54,"13,113"
Andrew Norman,58,"12,225",16,42,"14,888"
David Gilbert,0,"4,100",,45,"14,550"
Dave Harold,35,"18,700",5,30,"18,875"
Steve Davis,11,"28,875",-4,15,"24,950"
Mohammed Shehab,0,"4,100",,90,"6,700"
