player,start_rank,start_points,difference,finish_rank,finish_points
Graham Miles,9,0,0,9,0
Dennis Taylor,8,0,6,2,0
Alex Higgins,7,0,-4,11,0
Fred Davis,6,0,0,6,0
Cliff Thorburn,5,0,0,5,0
John Spencer,4,0,0,4,0
Eddie Charlton,3,0,0,3,0
Paddy Morgan,26,0,-2,28,0
Bernard Bennett,25,0,-2,27,0
Marcus Owen - Not active,24,0,-2,26,0
Ian Anderson,23,0,-2,25,0
Warren Simpson,22,0,-2,24,0
Gary Owen - Not active,21,0,21,0,0
John Dunning,20,0,-3,23,0
Perrie Mans,2,0,-5,7,0
John Virgo,19,0,9,10,0
Pat Houlihan,18,0,-2,20,0
Rex Williams,17,0,-4,21,0
Jim Meadowcroft,16,0,-6,22,0
Willie Thorne,15,0,-2,17,0
Doug Mountjoy,14,0,1,13,0
David Taylor,13,0,-2,15,0
Bill Werbeniuk,12,0,0,12,0
Patsy Fagan,11,0,-5,16,0
John Pulman,10,0,-4,14,0
Ray Reardon,1,0,0,1,0
Lou Condo,0,0,,0,0
Ron Gross - Not active,0,0,,0,0
Jackie Rea,0,0,,0,0
Jack Karnehm - Not active,0,0,,0,0
Chris Ross - Not active,0,0,,0,0
David Greaves,0,0,,0,0
Maurice Parkin,0,0,,0,0
Roy Andrewartha,0,0,,0,0
John Barrie,0,0,,0,0
Dennis Wheelwright,0,0,,0,0
Terry Griffiths,0,0,,8,0
Kirk Stevens,0,0,,19,0
Steve Davis,0,0,,18,0
Derek Mienie,0,0,,0,0
Roy Amdor,0,0,,0,0
Jimmy van Rensberg,0,0,,0,0
Ray Edmonds,0,0,,0,0
