player,start_rank,start_points,difference,finish_rank,finish_points
Bill Werbeniuk,9,0,0,9,0
Eddie Charlton,8,0,3,5,0
David Taylor,7,0,-1,8,0
Doug Mountjoy,6,0,-1,7,0
Dennis Taylor,5,0,-8,13,0
Ray Reardon,4,0,3,1,0
John Pulman,32,0,32,0,0
David Greaves,31,0,31,0,0
Eddie Sinclair,30,0,30,0,0
Terry Griffiths,3,0,-11,14,0
Mike Hallett,29,0,-2,31,0
Ray Edmonds,28,0,28,0,0
Patsy Fagan,27,0,4,23,0
Jim Meadowcroft,26,0,-2,28,0
John Dunning,25,0,-5,30,0
Dave Martin,24,0,-3,27,0
Cliff Wilson,23,0,-3,26,0
Willie Thorne,22,0,6,16,0
Jimmy White,21,0,11,10,0
Tony Knowles,20,0,5,15,0
Steve Davis,2,0,-2,4,0
Rex Williams,19,0,-14,33,0
Tony Meo,18,0,-6,24,0
Jim Wych,17,0,-4,21,0
Graham Miles,16,0,-2,18,0
Perrie Mans,15,0,4,11,0
John Spencer,14,0,2,12,0
John Virgo,13,0,-6,19,0
Fred Davis,12,0,-8,20,0
Alex Higgins,11,0,9,2,0
Kirk Stevens,10,0,4,6,0
Cliff Thorburn,1,0,-2,3,0
John Barrie,0,0,,0,0
Pat Houlihan,0,0,,0,0
Jackie Rea,0,0,,0,0
Derek Mienie,0,0,,0,0
John Bear,0,0,,25,0
Roy Amdor - Not active,0,0,,0,0
Kevin Robitaille - Not active,0,0,,0,0
Paul Thornley - Not active,0,0,,0,0
Kingsley Kennerley,0,0,,0,0
Jimmy van Rensberg - Not active,0,0,,0,0
Chris Ross,0,0,,0,0
Frank Jonik,0,0,,0,0
Paddy Morgan,0,0,,0,0
Bernard Bennett,0,0,,0,0
Maurice Parkin,0,0,,0,0
Mario Morra,0,0,,0,0
Sid Hood,0,0,,0,0
Joe Johnson,0,0,,0,0
Bernie Mikkelsen,0,0,,0,0
Roy Andrewartha,0,0,,0,0
Mark Wildman,0,0,,0,0
Ian Anderson,0,0,,0,0
Jack Fitzmaurice,0,0,,32,0
Jim Donnelly,0,0,,29,0
Dean Reynolds,0,0,,22,0
Silvino Francisco,0,0,,17,0
Vic Harris,0,0,,0,0
Clive Everton,0,0,,0,0
Dessie Sheehan,0,0,,0,0
Tommy Murphy,0,0,,0,0
Bert Demarco,0,0,,0,0
John Phillips,0,0,,0,0
Eddie McLaughlin,0,0,,0,0
Mike Watterson,0,0,,0,0
Eugene Hughes,0,0,,0,0
Murdo Macleod,0,0,,0,0
Doug French,0,0,,0,0
Paul Medati,0,0,,0,0
Billy Kelly,0,0,,0,0
Matt Gibson,0,0,,0,0
Geoff Foulds,0,0,,0,0
Colin Roscoe,0,0,,0,0
Ian Black,0,0,,0,0
Dennis Hughes,0,0,,0,0
