player,start_rank,start_points,difference,finish_rank,finish_points
Mark Selby,1,"79,740",0,1,"93,920"
Judd Trump,3,"76,720",-4,7,"71,300"
Shaun Murphy,4,"68,220",-1,5,"74,540"
Stephen Maguire,5,"66,940",-12,17,"54,740"
Stuart Bingham,6,"62,940",-2,8,"70,920"
Mark Allen,7,"62,460",-3,10,"61,900"
Ricky Walden,8,"59,765",-1,9,"63,840"
Barry Hawkins,9,"58,880",5,4,"75,400"
Ding Junhui,10,"57,900",7,3,"86,810"
John Higgins,11,"56,355",0,11,"60,995"
Graeme Dott,12,"54,900",-3,15,"56,070"
Mark Davis,13,"54,280",1,12,"58,410"
Matthew Stevens,14,"53,660",-8,22,"46,590"
Mark Williams,15,"53,260",-3,18,"51,815"
Ali Carter,16,"52,895",2,14,"56,395"
Marco Fu,17,"49,790",11,6,"71,905"
Robert Milkins,18,"48,580",2,16,"55,945"
Ronnie O'Sullivan,19,"46,360",-20,39,"37,140"
Joe Perry,20,"44,580",7,13,"57,810"
Stephen Lee - Not active,21,"44,335",-75,96,"12,220"
Andrew Higginson,22,"44,055",-15,37,"37,775"
Dominic Dale,23,"43,915",0,23,"46,570"
Tom Ford,24,"43,715",-10,34,"38,900"
Martin Gould,25,"43,515",-8,33,"39,095"
Michael Holt,26,"43,155",6,20,"48,300"
Ken Doherty,27,"42,130",-1,28,"41,030"
Marcus Campbell,28,"42,045",-12,40,"36,770"
Mark King,29,"41,665",4,25,"44,810"
Peter Ebdon,30,"40,135",-6,36,"38,060"
Ryan Day,31,"39,575",12,19,"48,910"
Liang Wenbo,32,"37,600",11,21,"46,910"
Ben Woollaston,33,"37,590",1,32,"39,205"
Michael White,34,"36,495",8,26,"42,995"
Jack Lisowski,35,"35,625",-6,41,"36,280"
Fergal O'Brien,36,"35,590",6,30,"39,825"
Xiao Guodong,37,"34,185",13,24,"45,370"
Jamie Cope,38,"34,145",-14,52,"32,340"
Jamie Burnett,39,"34,005",-4,43,"35,630"
Jamie Jones,40,"32,510",-13,53,"31,435"
David Gilbert,41,"32,055",6,35,"38,695"
Mark Joyce,42,"31,620",13,29,"40,110"
Anthony Hamilton,43,"31,440",-2,45,"34,480"
Matthew Selt,44,"30,965",-11,55,"31,010"
Rory McLeod,45,"30,900",-4,49,"32,810"
Nigel Bond,46,"30,695",-8,54,"31,255"
Yu Delu,47,"29,805",-1,48,"33,005"
Anthony McGill,48,"29,580",6,42,"35,925"
Alan McManus,49,"29,505",22,27,"42,090"
Dave Harold,50,"29,285",-9,59,"29,160"
Steve Davis,51,"28,270",-22,73,"24,980"
Jimmy Robertson,52,"27,895",1,51,"32,590"
Alfie Burden,53,"27,740",9,44,"34,800"
Lyu Chuang,54,"27,145",-10,64,"27,675"
Jimmy White,55,"25,225",-11,66,"27,605"
Gerard Greene,56,"23,145",-14,70,"25,835"
Peter Lines,57,"22,620",-3,60,"28,765"
Stephen Hendry,58,"22,175",-73,131,0
Rod Lawler,59,"21,535",21,38,"37,345"
Adam Duffy,60,"21,235",-25,85,"18,785"
James Wattana,61,"21,215",-14,75,"24,280"
Barry Pinches,62,"20,415",-7,69,"26,115"
Mike Dunn,63,"19,590",-5,68,"26,640"
Kurt Maflin,64,"18,690",33,31,"39,215"
Cao Yupeng,65,"17,305",18,47,"33,510"
Dechawat Poomjaeng,66,"16,990",20,46,"33,885"
Ian Burns,67,"15,960",5,62,"27,930"
Thepchaiya Un-Nooh,68,"15,715",11,57,"30,290"
Tian Pengfei,69,"15,660",19,50,"32,790"
Thanawat Thirapongpaiboon,70,"14,140",-8,78,"22,885"
Luca Brecel,71,"13,500",8,63,"27,760"
Aditya Mehta,72,"13,360",16,56,"30,830"
Pankaj Advani,73,"13,230",15,58,"29,510"
Paul Davison,74,"13,110",2,72,"25,150"
Liam Highfield,75,"13,050",-2,77,"23,970"
Zhang Anda,76,"11,910",2,74,"24,950"
Chen Zhe,77,"11,890",-2,79,"22,000"
Robbie Williams,78,"11,460",17,61,"28,580"
Michael Wasley,79,"11,420",14,65,"27,670"
Sam Baird,80,"10,940",9,71,"25,365"
Tony Drago,81,"10,350",0,81,"20,930"
Craig Steadman,82,"10,105",6,76,"24,155"
Li Yan,83,"9,360",1,82,"20,600"
Simon Bedford,84,"8,345",-11,95,"12,315"
Martin O'Donnell,85,"8,340",1,84,"19,260"
Daniel Wells,86,"8,170",0,86,"18,530"
David Grace,87,"7,905",0,87,"18,445"
Scott Donaldson,88,"7,110",21,67,"27,530"
Joel Walker,89,"5,890",9,80,"20,950"
Passakorn Suwannawat,90,"5,590",-21,111,"6,630"
Sean O'Sullivan,91,"5,590",-3,94,"12,970"
Jamie O'Neill,92,"4,060",2,90,"14,500"
Michael Leslie,93,"3,890",1,92,"13,120"
Mohamed Khairy,94,"1,410",-28,122,"4,470"
Hossein Vafaei,95,360,-35,130,360
Lyu Haotian,0,0,,101,"9,940"
James Cahill,0,0,,112,"6,500"
Ratchayothin Yotharuck,0,0,,116,"6,140"
Noppon Saengkham,0,0,,98,"10,740"
Igor Figueiredo,0,0,,127,"1,800"
Vinnie Calabrese,0,0,,106,"8,200"
Joe Swail,0,0,,99,"10,730"
Andrew Pagett,0,0,,103,"9,410"
Gary Wilson,0,0,,83,"19,820"
Andrew Norman,0,0,,107,"7,850"
John Astley,0,0,,97,"11,420"
Allan Taylor,0,0,,117,"6,030"
Kyren Wilson,0,0,,88,"17,480"
Chris Norbury,0,0,,109,"7,230"
Patrick Einsle,0,0,,124,"3,160"
Jak Jones,0,0,,121,"5,040"
Stuart Carrington,0,0,,93,"13,050"
