player,start_rank,start_points,difference,finish_rank,finish_points
Ronnie O'Sullivan,1,"1,196,500",-1,2,"1,101,000"
Judd Trump,2,"1,166,500",1,1,"1,648,500"
Mark Williams,3,"1,028,000",-7,10,"447,750"
Neil Robertson,4,"842,500",1,3,"965,000"
John Higgins,5,"795,500",-2,7,"534,500"
Mark Selby,6,"752,225",2,4,"722,000"
Mark Allen,7,"677,000",2,5,"659,500"
Kyren Wilson,8,"561,225",2,6,"621,500"
Barry Hawkins,9,"409,500",-8,17,"258,250"
Ding Junhui,10,"403,500",-2,12,"399,750"
Jack Lisowski,11,"398,600",-3,14,"333,250"
David Gilbert,12,"394,000",1,11,"401,000"
Stuart Bingham,13,"390,500",0,13,"385,500"
Shaun Murphy,14,"375,000",6,8,"481,000"
Luca Brecel,15,"350,600",-23,38,"147,500"
Stephen Maguire,16,"346,000",7,9,"478,500"
Ali Carter,17,"308,000",-2,19,"256,000"
Ryan Day,18,"295,000",-19,37,"147,750"
Joe Perry,19,"282,000",3,16,"276,500"
Gary Wilson,20,"242,600",2,18,"258,100"
Yan Bingtao,21,"236,000",6,15,"328,500"
Graeme Dott,22,"228,500",1,21,"220,250"
Anthony McGill,23,"223,000",1,22,"215,000"
Jimmy Robertson,24,"222,725",-4,28,"179,225"
Xiao Guodong,25,"203,100",-6,31,"161,600"
Lyu Haotian,26,"190,500",-17,43,"134,750"
Tom Ford,27,"186,225",3,24,"198,750"
Mark King,28,"178,725",-8,36,"148,500"
Li Hang,29,"176,000",-15,44,"132,500"
Ricky Walden,30,"173,600",-16,46,"128,750"
Zhou Yuelong,31,"169,500",6,25,"193,250"
Martin Gould,32,"169,000",-21,53,"107,250"
Mark Davis,33,"163,725",-6,39,"142,725"
Matthew Selt,34,"163,100",8,26,"186,350"
Scott Donaldson,35,"161,500",12,23,"206,250"
Robert Milkins,36,"159,600",-13,49,"115,100"
Thepchaiya Un-Nooh,37,"157,725",17,20,"248,225"
Noppon Saengkham,38,"156,600",6,32,"161,500"
Ben Woollaston,39,"155,600",-3,42,"136,850"
Hossein Vafaei,40,"151,500",-1,41,"137,500"
Liang Wenbo,41,"148,500",6,35,"158,500"
Martin O'Donnell,42,"146,100",8,34,"159,250"
Matthew Stevens,43,"139,000",10,33,"160,750"
Michael Holt,44,"136,000",14,30,"174,500"
Michael White,45,"131,500",-26,71,"71,750"
Michael Georgiou,46,"130,600",-24,70,"72,600"
Peter Ebdon,47,"129,000",47,0,0
Chris Wakelin,48,"125,950",-9,57,"96,475"
Kurt Maflin,49,"124,700",22,27,"181,100"
Alan McManus,50,"120,500",2,48,"115,250"
Stuart Carrington,50,"120,500",4,46,"128,750"
Akani Songsermsawad,52,"115,500",0,52,"109,000"
Yuan Sijun,53,"113,000",8,45,"129,500"
Mark Joyce,54,"111,000",-10,64,"84,750"
Marco Fu,55,"110,500",5,50,"111,250"
Ken Doherty,56,"106,500",-12,68,"76,250"
Andrew Higginson,57,"100,600",-2,59,"92,750"
Daniel Wells,58,"100,500",2,56,"96,750"
Zhao Xintong,58,"100,500",29,29,"177,250"
Robbie Williams,60,"99,600",-5,65,"84,500"
Liam Highfield,61,"94,600",-2,63,"85,000"
Anthony Hamilton,62,"93,500",22,40,"137,750"
Fergal O'Brien,63,"89,200",-3,66,"83,100"
Mike Dunn,64,"86,500",-17,81,"45,750"
Lu Ning,65,"77,500",14,51,"110,250"
Sam Craigie,66,"63,000",8,58,"95,500"
Tian Pengfei,67,"61,000",13,54,"105,750"
Joe O'Connor,68,"60,000",6,62,"86,750"
Mei Xiwen,69,"54,000",14,55,"97,500"
Luo Honghao,70,"51,500",9,61,"87,000"
Sam Baird,71,"40,000",-1,72,"62,750"
Craig Steadman,72,"38,500",-3,75,"55,500"
John Astley,73,"37,000",-7,80,"46,000"
Zhang Anda,74,"35,000",2,72,"62,750"
Jak Jones,75,"32,000",8,67,"82,750"
Elliot Slessor,76,"31,000",16,60,"92,000"
Alfie Burden,77,"29,000",3,74,"62,000"
Oliver Lines,78,"26,000",-9,87,"34,000"
Jordan Brown,79,"21,500",10,69,"73,000"
Lee Walker,80,"21,000",-5,85,"38,000"
Ashley Carty,81,"18,000",4,77,"49,750"
James Wattana,82,"17,500",-13,95,"24,500"
Thor Chuan Leong,83,"16,500",-15,98,"22,000"
Jamie Clarke,84,"15,500",8,76,"53,500"
Zhang Jiankang,85,"13,600",-14,99,"21,100"
Chen Feilong,86,"10,500",-8,94,"25,000"
Harvey Chandler,87,"9,725",-2,89,"29,475"
Kishan Hirani,88,"8,600",-5,93,"25,350"
Hammad Miah,89,"7,725",-8,97,"23,475"
Adam Stefanow,90,"7,500",-23,113,"12,500"
Andy Lee,91,"6,500",-13,104,"16,500"
Fan Zhengyi,92,"5,500",-4,96,"24,000"
Simon Lichtenberg,93,"4,600",-19,112,"12,600"
Alex Borg,0,0,,125,"5,000"
Alexander Ursenbacher,0,0,,79,"47,250"
Andy Hicks,0,0,,121,"8,000"
Barry Pinches,0,0,,100,"20,000"
Billy Joe Castle,0,0,,114,"12,000"
Chang Bingyu,0,0,,103,"17,250"
Brandon Sargeant,0,0,,119,"9,000"
David Grace,0,0,,84,"38,250"
David Lilley,0,0,,118,"9,500"
Dominic Dale,0,0,,86,"37,750"
Duane Jones,0,0,,116,"11,750"
Eden Sharav,0,0,,88,"30,000"
Fraser Patrick,0,0,,120,"8,500"
Gerard Greene,0,0,,91,"26,500"
Ian Burns,0,0,,78,"49,000"
Igor Figueiredo,0,0,,108,"14,500"
Jackson Page,0,0,,90,"28,000"
James Cahill,0,0,,108,"14,500"
Jamie O'Neill,0,0,,114,"12,000"
Si Jiahui,0,0,,102,"17,500"
Jimmy White,0,0,,110,"13,000"
Kacper Filipiak,0,0,,101,"19,000"
Bai Langning,0,0,,121,"8,000"
Louis Heathcote,0,0,,82,"40,250"
Mitchell Mann,0,0,,91,"26,500"
Nigel Bond,0,0,,83,"39,750"
Peifan Lei,0,0,,124,"6,000"
Peter Lines,0,0,,117,"10,000"
Riley Parsons,0,0,,126,0
Rod Lawler,0,0,,107,"15,000"
Xu Si,0,0,,110,"13,000"
Soheil Vahedi,0,0,,106,"15,500"
Steve Mifsud,0,0,,126,0
Chen Zifan,0,0,,105,"16,000"
Amine Amiri,0,0,,123,"7,000"
