player,start_rank,start_points,difference,finish_rank,finish_points
Gary Wilson,79,"4,275",2,77,"8,075"
Bjorn Haneveer,71,"3,837",-10,81,"7,787"
Michael Holt,24,"10,662",3,21,"21,937"
Matthew Couch,89,"3,837",18,71,"9,362"
Jimmy White,8,"12,787",-27,35,"19,237"
Ding Junhui,62,"7,225",35,27,"21,700"
Ryan Day,33,"13,025",16,17,"23,075"
Paul Hunter,5,"13,200",-29,34,"20,000"
Alfie Burden,70,"6,075",3,67,"10,175"
Chris Norbury,0,"3,837",,76,"8,500"
Liang Wenbo,0,"3,837",,78,"7,962"
Hugh Abernethy,81,"4,050",-7,88,"6,750"
Lee Walker,58,"4,337",-21,79,"7,850"
Stuart Mann,92,"3,837",2,90,"6,487"
Mark King,20,"11,075",-9,29,"21,175"
Rod Lawler,60,"8,625",13,47,"14,475"
Joe Delaney,73,"5,650",9,64,"10,625"
Shokat Ali,54,"8,875",-2,56,"12,963"
Fergal O'Brien,44,"7,525",-2,46,"14,650"
Robin Hull,55,"7,525",4,51,"13,863"
Mike Dunn,53,"8,025",-1,54,"13,263"
Stephen Maguire,3,"19,725",-6,9,"30,725"
Lee Spick,0,"3,837",,73,"9,287"
Andy Hicks,31,"12,925",0,31,"20,538"
Ali Carter,19,"14,175",4,15,"23,725"
Jamie Cope,85,"3,837",37,48,"14,212"
David Roe,61,"5,412",4,57,"12,787"
Mark Selby,38,"12,325",10,28,"21,450"
Gary Wilkinson,78,"3,587",-7,85,"7,212"
David McDonnell,79,"4,600",-7,86,"7,050"
Mark Davis,42,"9,975",4,38,"18,375"
Ronnie O'Sullivan,1,"23,162",-2,3,"36,012"
Brian Morgan,59,"5,475",-23,82,"7,388"
Steve James,85,"3,600",-8,93,"4,150"
James Tatton,0,"3,837",,83,"7,350"
Michael Judge,43,"8,275",-1,44,"15,750"
Anthony Hamilton,17,"14,312",1,16,"23,725"
Judd Trump,0,"3,837",,75,"8,637"
Tom Ford,51,"9,025",6,45,"15,325"
Dominic Dale,34,"8,575",-6,40,"17,275"
Ken Doherty,11,"15,887",9,2,"36,137"
Marcus Campbell,52,"8,950",3,49,"14,150"
Joe Perry,14,"11,250",-4,18,"23,000"
Paul Davies,65,"6,750",7,58,"12,250"
David Gray,23,"12,100",0,23,"21,813"
Nick Dyson,67,"4,075",-20,87,"6,975"
Drew Henry,35,"10,062",-7,42,"16,887"
Jin Long,93,"2,500",-1,94,"3,650"
Darren Morgan,66,"6,700",0,66,"10,300"
Barry Pinches,18,"12,700",-15,33,"20,263"
Ian McCulloch,16,"14,537",-10,26,"21,725"
Graeme Dott,13,"13,500",7,6,"32,600"
Peter Ebdon,7,"15,650",0,7,"31,200"
Paul Wykes,77,"5,250",7,70,"9,500"
Stuart Bingham,37,"9,475",13,24,"21,775"
John Parrott,29,"9,650",-14,43,"16,313"
Keen Hoo Moh,0,"3,837",,92,"4,787"
Nigel Bond,27,"11,725",7,20,"22,075"
Jimmy Michie,57,"7,725",-4,61,"12,138"
Matthew Stevens,4,"15,262",-10,14,"23,862"
Stephen Hendry,2,"21,337",1,1,"36,437"
Sean Storey,68,"6,725",3,65,"10,425"
Jamie Burnett,56,"7,975",1,55,"13,100"
Mark Allen,98,"3,837",36,62,"12,087"
Robert Milkins,26,"14,000",-6,32,"20,338"
Dave Harold,45,"9,075",9,36,"18,700"
Habib Subah,0,"3,837",,91,"5,387"
Andrew Norman,72,"5,625",13,59,"12,225"
Mark Williams,9,"12,837",1,8,"31,137"
Steve Davis,15,"15,775",4,11,"28,875"
Marco Fu,25,"10,412",3,22,"21,912"
Joe Jogia,63,"6,275",0,63,"11,325"
Shaun Murphy,21,"16,375",16,5,"32,725"
Justin Astley,99,"3,837",15,84,"7,350"
Gerard Greene,37,"9,487",-2,39,"18,087"
Alex Borg,0,"3,837",,80,"7,837"
Joe Swail,40,"8,137",10,30,"20,737"
Adam Davies,80,"4,200",-9,89,"6,650"
David Gilbert,90,"3,837",22,68,"9,812"
Scott MacKenzie,69,"6,125",9,60,"12,175"
Neil Robertson,28,"14,425",15,13,"27,000"
Ricky Walden,48,"10,175",11,37,"18,400"
Stephen Lee,10,"15,625",0,10,"29,125"
Rory McLeod,49,"8,275",-1,50,"14,100"
Stuart Pettman,47,"5,375",-6,53,"13,350"
James Wattana,32,"10,575",7,25,"21,725"
Leo Fernandez,74,"5,675",2,72,"9,300"
Adrian Gunnell,46,"10,225",5,41,"16,900"
Alan McManus,12,"15,975",-7,19,"22,175"
Barry Hawkins,30,"13,225",18,12,"27,825"
Simon Bedford,64,"6,950",-5,69,"9,650"
Patrick Wallace,50,"5,525",-24,74,"9,088"
John Higgins,6,"15,812",2,4,"34,962"
Tony Drago,36,"9,012",-16,52,"13,537"
Quinten Hann,0,0,,0,0
James McBain,0,0,,0,0
