player,start_rank,start_points,difference,finish_rank,finish_points
Mick Fisher,99,0,-10,109,0
Stephen Murphy,98,0,33,65,0
Alex Higgins,97,0,-23,120,0
Pat Houlihan,96,0,-8,104,0
Ken Owers,95,0,28,67,0
Graham Miles,94,0,-7,101,0
Eddie Sinclair,93,0,-9,102,0
Bob Harris,92,0,13,79,0
Steve Campbell,91,0,11,80,0
Dave Martin,90,0,-15,105,0
Steve James,9,0,2,7,0
Anthony Harris,89,0,-33,122,0
George Scott,88,0,-26,114,0
Graham Cripsey,87,0,-16,103,0
Nick Terry,86,0,-11,97,0
John Rea,85,0,-15,100,0
Jon Wright,84,0,-12,96,0
Ian Brumby,83,0,-11,94,0
Barry Pinches,82,0,9,73,0
Mario Morra,81,0,-7,88,0
Andrew Cairns,80,0,10,70,0
Dean Reynolds,8,0,-4,12,0
Martin Smith,79,0,-13,92,0
Paul Medati,78,0,-15,93,0
Bill Oliver,77,0,-10,87,0
Mick Price,76,0,-6,82,0
Tommy Murphy,75,0,-15,90,0
Dave Gilbert,74,0,-17,91,0
Ray Reardon,73,0,-53,126,0
Ray Edmonds,72,0,-23,95,0
Marcel Gauvreau,71,0,-18,89,0
Tony Wilson,70,0,-16,86,0
Mike Hallett,7,0,-1,8,0
Roger Bales,69,0,-15,84,0
Kirk Stevens,68,0,10,58,0
Joe Grech,67,0,-9,76,0
Paul Gibson,66,0,-12,78,0
Jason Smith,65,0,-10,75,0
Nick Dyson,64,0,4,60,0
Brian Rowswell,63,0,-14,77,0
Joe O'Boye,62,0,-9,71,0
Craig Edwards,61,0,0,61,0
Mark Rowing,60,0,-4,64,0
Terry Griffiths,6,0,-5,11,0
Mark Johnston-Allen,59,0,7,52,0
Jim Chambers,58,0,-4,62,0
Steve Longworth,57,0,-41,98,0
Murdo Macleod,56,0,-16,72,0
John Spencer,55,0,-30,85,0
Brady Gollan,54,0,19,35,0
Paddy Browne,53,0,-30,83,0
Jim Wych,52,0,-5,57,0
Nigel Gilbert,51,0,-8,59,0
Ian Graham,50,0,8,42,0
Doug Mountjoy,5,0,-5,10,0
Jack McLaughlin,49,0,0,49,0
Colin Roscoe,48,0,4,44,0
John Campbell,47,0,4,43,0
Robert Marshall,46,0,0,46,0
Les Dodd,45,0,5,40,0
David Taylor,44,0,-30,74,0
Tony Chappel,43,0,6,37,0
Brian Morgan,42,0,-5,47,0
Steve Duggan,41,0,-22,63,0
Darren Morgan,40,0,7,33,0
Jimmy White,4,0,1,3,0
Warren King,39,0,0,39,0
Nigel Bond,38,0,17,21,0
Rex Williams,37,0,-11,48,0
David Roe,36,0,-14,50,0
Tony Jones,35,0,20,15,0
Eugene Hughes,34,0,-11,45,0
Mark Bennett,33,0,4,29,0
James Wattana,32,0,12,20,0
Eddie Charlton,31,0,4,27,0
Tony Drago,30,0,8,22,0
John Parrott,3,0,-1,4,0
Danny Fowler,29,0,1,28,0
Cliff Wilson,28,0,-4,32,0
Barry West,27,0,-11,38,0
Silvino Francisco,26,0,2,24,0
Bob Chaperon,25,0,-5,30,0
Peter Francisco,24,0,5,19,0
Dene O'Kane,23,0,5,18,0
Wayne Jones,22,0,-3,25,0
Tony Knowles,21,0,5,16,0
Steve Newbury,20,0,-3,23,0
Steve Davis,2,0,0,2,0
Gary Wilkinson,19,0,14,5,0
Cliff Thorburn,18,0,-18,36,0
Joe Johnson,17,0,-9,26,0
Alain Robidoux,16,0,3,13,0
Tony Meo,15,0,-19,34,0
Derek Heaton,142,0,0,142,0
Bernard Bennett,141,0,-7,148,0
Ian Anderson - Not active,140,0,-7,147,0
John Virgo,14,0,-17,31,0
Dave Chalmers - Not active,139,0,-12,151,0
Jim Rempe,138,0,-28,166,0
Pascal Burke,137,0,-12,149,0
Patsy Fagan,136,0,136,0,0
Derek Mienie,135,0,-8,143,0
Clive Everton,134,0,-6,140,0
Ian Black,133,0,-11,144,0
Bernie Mikkelsen - Not active,132,0,-13,145,0
Jackie Rea - Not active,131,0,131,0,0
Greg Jenkins - Not active,130,0,-9,139,0
Neal Foulds,13,0,7,6,0
Geoff Foulds - Not active,129,0,-8,137,0
Fred Davis,128,0,-3,131,0
Jim Meadowcroft,127,0,-3,130,0
Billy Kelly,126,0,-1,127,0
Mark Wildman,125,0,-4,129,0
Paul Thornley,124,0,-17,141,0
Mike Watterson,123,0,-10,133,0
Dennis Hughes,122,0,-14,136,0
Dessie Sheehan,121,0,-13,134,0
Mike Darrington,120,0,-5,125,0
