player,start_rank,start_points,difference,finish_rank,finish_points
Stephen Hendry,1,"53,300",0,1,"50,042"
Steve Davis,2,"52,300",0,2,"42,395"
James Wattana,3,"49,000",-2,5,"38,904"
Jimmy White,4,"49,000",-3,7,"36,225"
John Parrott,5,"48,300",1,4,"38,939"
Alan McManus,6,"46,750",0,6,"36,310"
Ken Doherty,7,"42,020",-2,9,"34,507"
Darren Morgan,8,"41,500",0,8,"34,970"
Ronnie O'Sullivan,9,"37,520",6,3,"41,255"
Peter Ebdon,10,"35,240",0,10,"33,645"
Nigel Bond,11,"34,730",-1,12,"29,394"
Joe Swail,12,"33,680",-7,19,"23,169"
David Roe,13,"33,560",-3,16,"24,156"
Terry Griffiths,14,"31,250",-1,15,"25,259"
Willie Thorne,15,"31,250",-10,25,"21,196"
Tony Drago,16,"30,250",2,14,"25,944"
Steve James,17,"30,200",-9,26,"20,699"
Martin Clark,18,"29,560",-4,22,"21,762"
Dave Harold,19,"28,920",6,13,"28,840"
Dene O'Kane,20,"23,920",2,18,"23,654"
Tony Knowles,21,"28,090",-3,24,"21,455"
Gary Wilkinson,22,"27,610",-1,23,"21,498"
Mike Hallett,23,"27,330",-11,34,"18,425"
Dennis Taylor,24,"26,700",-8,32,"19,095"
Neal Foulds,25,"25,620",-3,28,"20,290"
Doug Mountjoy,26,"24,560",-10,36,"17,569"
Mick Price,27,"24,420",6,21,"22,440"
Jason Ferguson,28,"24,300",-1,29,"20,183"
Dean Reynolds,29,"23,750",-1,30,"20,057"
Brian Morgan,30,"23,720",3,27,"20,453"
Mark Bennett,31,"23,530",-11,42,"16,091"
Alain Robidoux,32,"23,170",12,20,"23,127"
Andy Hicks,33,"22,515",16,17,"23,775"
Tony Jones,34,"22,510",-9,43,"16,075"
Anthony Hamilton,35,"22,230",4,31,"19,670"
Billy Snaddon,36,"21,940",3,33,"18,720"
Joe Johnson,37,"20,260",-19,56,"13,695"
Nick Terry,38,"20,040",-8,46,"15,455"
Drew Henry,39,"19,980",4,35,"18,095"
Stephen Lee,40,"19,530",3,37,"17,447"
Dave Finbow,41,"19,530",-6,47,"15,282"
Fergal O'Brien,42,"19,115",4,38,"17,285"
Les Dodd,43,"18,820",-15,58,"13,525"
Mark Johnston-Allen,44,"18,700",-5,49,"14,852"
Rod Lawler,45,"18,630",5,40,"16,735"
Danny Fowler,46,"18,380",-19,65,"12,085"
Jason Prince,47,"18,380",-8,55,"13,897"
Alex Higgins,48,"17,820",-3,51,"14,350"
Nigel Gilbert,49,"17,430",5,44,"15,667"
Jonathan Birch,50,"17,320",-13,63,"12,727"
John Higgins,51,"17,300",40,11,"29,962"
Wayne Jones,52,"17,200",-5,57,"13,660"
Tony Chappel,53,"17,150",0,53,"14,302"
Cliff Thorburn,54,"17,000",13,41,"16,337"
Paul Davies,55,"16,970",-11,66,"12,070"
Jim Wych,56,"16,800",-15,71,"11,540"
Silvino Francisco,57,"16,560",-24,81,"9,697"
Mark Williams,58,"16,376",19,39,"16,815"
Paul McPhillips,59,"15,935",-5,64,"12,697"
Eddie Charlton,60,"15,890",-17,77,"10,227"
Peter Francisco,61,"15,650",13,48,"15,267"
Steve Newbury,62,"15,280",2,60,"13,312"
Stephen Murphy,63,"15,280",13,50,"14,572"
Anthony Davies,64,"15,230",19,45,"15,577"
Mark Davis,65,"14,860",6,59,"13,495"
Cliff Wilson - Not active,66,"14,790",66,0,0
Karl Broughton,67,"14,725",-11,78,"10,145"
Stephen O'Connor,68,"14,605",-2,70,"11,570"
Tony Meo,69,"14,430",-6,75,"10,640"
Ian Graham,70,"13,220",-25,95,"8,540"
Eugene Hughes,71,"13,080",-28,99,"8,220"
Bob Chaperon,72,"12,600",-49,121,"6,740"
Stefan Mazrocis,73,"11,995",1,72,"11,320"
Troy Shaw,74,"11,985",-51,125,"6,590"
Brian Rowswell,75,"11,915",8,67,"11,805"
Jimmy Michie,76,"11,755",8,68,"11,700"
Jack McLaughlin,77,"11,710",-31,108,"7,600"
Karl Payne,78,"11,625",-2,80,"9,700"
Craig Edwards,79,"11,255",-3,82,"9,660"
Sean Lanigan,80,"11,210",-3,83,"9,625"
Joe Grech,81,"11,145",-12,93,"8,625"
