player,start_rank,start_points,difference,finish_rank,finish_points
Mark Selby,1,"680,041",0,1,"1,298,425"
Stuart Bingham,2,"586,720",-7,9,"313,762"
Judd Trump,3,"453,166",0,3,"538,000"
Shaun Murphy,4,"450,058",-4,8,"357,350"
Neil Robertson,5,"406,360",-2,7,"358,125"
John Higgins,6,"400,925",4,2,"563,000"
Mark Allen,7,"392,700",-3,10,"307,650"
Ricky Walden,8,"324,752",-13,21,"187,400"
Ding Junhui,9,"314,925",5,4,"510,950"
Ronnie O'Sullivan,10,"296,250",-4,14,"298,750"
Joe Perry,11,"290,083",-11,22,"181,700"
Marco Fu,12,"253,241",6,6,"393,625"
Mark Williams,13,"237,375",-2,15,"211,975"
Barry Hawkins,14,"228,025",9,5,"395,250"
Martin Gould,15,"217,759",-1,16,"210,975"
Kyren Wilson,16,"195,899",3,13,"301,925"
Liang Wenbo,17,"187,101",6,11,"305,500"
Stephen Maguire,18,"181,450",-6,24,"178,275"
Michael White,19,"178,033",-7,26,"135,825"
Alan McManus,20,"163,951",-9,29,"128,850"
Robert Milkins,21,"163,644",-14,35,"109,475"
David Gilbert,22,"155,683",3,19,"194,650"
Ryan Day,23,"153,807",5,18,"197,087"
Graeme Dott,24,"151,483",-6,30,"127,875"
Matthew Selt,25,"150,000",-9,34,"110,000"
Mark Davis,26,"139,877",-11,37,"107,250"
Ben Woollaston,27,"137,699",-1,28,"130,525"
Anthony McGill,28,"135,017",11,17,"200,150"
Michael Holt,29,"133,533",6,23,"178,500"
Luca Brecel,30,"130,357",3,27,"132,075"
Peter Ebdon,31,"123,842",-9,40,"99,387"
Ali Carter,32,"121,050",20,12,"302,575"
Thepchaiya Un-Nooh,33,"103,207",-9,42,"95,675"
Jimmy Robertson,34,"98,372",-4,38,"105,487"
Jamie Jones,35,"98,183",-1,36,"108,987"
Mark King,36,"97,717",16,20,"191,475"
Mike Dunn,37,"87,430",-6,43,"94,400"
Dominic Dale,38,"87,308",5,33,"116,850"
Jack Lisowski,39,"86,149",-15,54,"74,162"
Fergal O'Brien,40,"85,925",-5,45,"92,062"
Mark Joyce,41,"79,691",-7,48,"83,662"
Gary Wilson,42,"79,674",-15,57,"68,862"
Tom Ford,43,"79,533",12,31,"122,500"
Matthew Stevens,44,"79,018",-11,55,"72,412"
Dechawat Poomjaeng,45,"78,290",-25,70,"51,275"
Sam Baird,46,"76,107",-5,51,"76,025"
Rod Lawler,47,"75,724",-21,68,"52,437"
Tian Pengfei,48,"74,616",-2,50,"77,575"
Rory McLeod,49,"72,716",8,41,"97,687"
Kurt Maflin,50,"72,283",-2,52,"75,687"
Xiao Guodong,51,"71,045",12,39,"101,775"
Li Hang,52,"70,925",-6,58,"68,075"
Joe Swail,53,"66,997",-18,71,"49,387"
Zhou Yuelong,54,"65,658",22,32,"118,325"
Robbie Williams,55,"65,174",2,53,"74,650"
Andrew Higginson,56,"64,358",7,49,"79,200"
Ken Doherty,57,"63,983",-16,73,"47,400"
Jamie Burnett,58,"60,608",-26,84,"26,025"
Robin Hull,59,"60,566",-10,69,"52,375"
David Grace,60,"59,516",16,44,"93,475"
Oliver Lines,61,"50,808",1,60,"64,787"
Ian Burns,62,"50,622",-4,66,"57,812"
Yu Delu,63,"50,400",16,47,"84,175"
Stuart Carrington,64,"49,431",18,46,"84,450"
Alfie Burden,65,"30,100",4,61,"64,350"
Martin O'Donnell,66,"26,875",-8,74,"46,950"
Jamie Cope,67,"25,100",-9,76,"39,125"
Ross Muir,68,"24,150",1,67,"55,150"
Noppon Saengkham,69,"23,500",5,64,"60,050"
Chris Wakelin,70,"21,700",7,63,"61,275"
Nigel Bond,71,"18,775",-1,72,"48,275"
Daniel Wells,72,"14,300",10,62,"63,512"
Hossein Vafaei,73,"13,625",14,59,"65,625"
Sean O'Sullivan,74,"13,250",-15,89,"23,300"
Darryl Hill,75,"11,550",-29,104,"15,050"
Rhys Clark,76,"9,825",1,75,"42,250"
Sanderson Lam,77,"8,700",-16,93,"20,950"
Zhang Yong,78,"8,000",-17,95,"19,550"
Paul Davison,79,"7,750",-12,91,"22,250"
Sydney Wilson,80,"6,750",-20,100,"17,250"
Hamza Akbar,81,"6,600",-31,112,"10,100"
Michael Wild,83,"4,000",-34,117,"6,625"
James Cahill,84,"3,700",-22,106,"14,125"
Allan Taylor,85,"3,500",-1,86,"23,737"
Gareth Allen,86,"2,775",-24,110,"11,800"
Eden Sharav,87,"2,700",4,83,"30,225"
Jason Weston,88,"2,100",-36,124,"2,600"
Fraser Patrick,89,"2,050",-16,105,"14,600"
Duane Jones,90,775,-8,98,"17,612"
Jimmy White,91,500,-3,94,"20,025"
Igor Figueiredo,0,0,,111,"11,725"
Akani Songsermsawad,0,0,,79,"37,500"
Itaro Santos,0,0,,126,0
Hatem Yassen,0,0,,126,0
Thor Chuan Leong,0,0,,109,"11,900"
Lee Walker,0,0,,81,"33,825"
Mitchell Mann,0,0,,92,"22,025"
Aditya Mehta,0,0,,99,"17,500"
Scott Donaldson,0,0,,65,"59,525"
Hammad Miah,0,0,,85,"25,837"
Anthony Hamilton,0,0,,25,"142,925"
Liam Highfield,0,0,,80,"35,225"
Zhang Anda,0,0,,78,"38,500"
Leo Fernandez,0,0,,126,0
Cao Yupeng,0,0,,118,"6,525"
Chen Zhe,0,0,,121,"3,500"
Fang Xiongman,0,0,,102,"15,550"
Christopher Keogan,0,0,,119,"5,050"
Michael Georgiou,0,0,,90,"23,237"
John Astley,0,0,,76,"39,125"
Alex Borg,0,0,,108,"13,000"
David John,0,0,,125,"2,337"
Craig Steadman,0,0,,107,"14,050"
Jamie Barrett,0,0,,121,"3,500"
Ian Preece,0,0,,101,"17,000"
Adam Duffy,0,0,,113,"9,362"
Sam Craigie,0,0,,96,"18,862"
Elliot Slessor,0,0,,113,"9,362"
Zhao Xintong,0,0,,87,"23,537"
Boonyarit Keattikun,0,0,,120,"4,000"
Jak Jones,0,0,,96,"18,862"
Josh Boileau,0,0,,115,"8,312"
Kritsanut Lertsattayathorn,0,0,,116,"8,000"
Wang Yuchen,0,0,,103,"15,500"
Kurt Dunham,0,0,,123,"3,025"
Yan Bingtao,0,0,,56,"71,125"
James Wattana,82,"5,300",-6,88,"23,500"
Mei Xiwen,0,0,,82,"32,212"
Rouzi Maimaiti - Not active,0,0,,126,0
