player,start_rank,start_points,difference,finish_rank,finish_points
Chris Cookson,99,0,-14,113,0
Steve Longworth,98,0,-25,123,0
Nick Terry,97,0,26,71,0
Jon Wright,96,0,-13,109,0
Ray Edmonds,95,0,-16,111,0
Ian Brumby,94,0,-33,127,0
Paul Medati,93,0,-22,115,0
Martin Smith,92,0,-22,114,0
Dave Gilbert,91,0,-63,154,0
Tommy Murphy,90,0,-60,150,0
Dennis Taylor,9,0,-2,11,0
Marcel Gauvreau,89,0,3,86,0
Mario Morra,88,0,-29,117,0
Bill Oliver,87,0,-21,108,0
Tony Wilson,86,0,-20,106,0
John Spencer,85,0,-70,155,0
Roger Bales,84,0,-32,116,0
Paddy Browne,83,0,-29,112,0
Mick Price,82,0,47,35,0
Gary Natale,81,0,-21,102,0
Steve Campbell,80,0,15,65,0
Mike Hallett,8,0,-9,17,0
Bob Harris,79,0,-20,99,0
Paul Gibson,78,0,-44,122,0
Brian Rowswell,77,0,-6,83,0
Joe Grech,76,0,-31,107,0
Jason Smith,75,0,-35,110,0
David Taylor,74,0,-30,104,0
Barry Pinches,73,0,-30,103,0
Murdo Macleod,72,0,-28,100,0
Joe O'Boye,71,0,-30,101,0
Andrew Cairns,70,0,-6,76,0
Steve James,7,0,-3,10,0
Jason Whittaker,69,0,-13,82,0
Robby Foldvari,68,0,-13,81,0
Ken Owers,67,0,-12,79,0
Duncan Campbell,66,0,-12,78,0
Stephen Murphy,65,0,9,56,0
Mark Rowing,64,0,-41,105,0
Steve Duggan,63,0,-21,84,0
Jim Chambers,62,0,-4,66,0
Craig Edwards,61,0,-19,80,0
Nick Dyson,60,0,-8,68,0
Neal Foulds,6,0,1,5,0
Nigel Gilbert,59,0,9,50,0
Kirk Stevens,58,0,-1,59,0
Jim Wych,57,0,14,43,0
Jason Prince,56,0,15,41,0
Jonathan Birch,55,0,11,44,0
Rod Lawler,54,0,9,45,0
Franky Chan,53,0,11,42,0
Mark Johnston-Allen,52,0,21,31,0
Ken Doherty,51,0,30,21,0
David Roe,50,0,18,32,0
Gary Wilkinson,5,0,-3,8,0
Jack McLaughlin,49,0,-5,54,0
Rex Williams,48,0,-21,69,0
Brian Morgan,47,0,-14,61,0
Robert Marshall,46,0,-31,77,0
Eugene Hughes,45,0,-10,55,0
Colin Roscoe,44,0,-7,51,0
John Campbell,43,0,-17,60,0
Ian Graham,42,0,-4,46,0
Alan McManus,41,0,28,13,0
Les Dodd,40,0,-18,58,0
John Parrott,4,0,2,2,0
Warren King,39,0,-28,67,0
Barry West,38,0,-19,57,0
Tony Chappel,37,0,-15,52,0
Cliff Thorburn,36,0,0,36,0
Brady Gollan,35,0,-4,39,0
Tony Meo,34,0,-4,38,0
Darren Morgan,33,0,17,16,0
Cliff Wilson,32,0,-1,33,0
John Virgo,31,0,-18,49,0
Bob Chaperon,30,0,-10,40,0
Jimmy White,3,0,0,3,0
Mark Bennett,29,0,2,27,0
Danny Fowler,28,0,-2,30,0
Eddie Charlton,27,0,-2,29,0
Joe Johnson,26,0,3,23,0
Wayne Jones,25,0,-9,34,0
Silvino Francisco,24,0,-4,28,0
Steve Newbury,23,0,-14,37,0
Tony Drago,22,0,-2,24,0
Nigel Bond,21,0,12,9,0
James Wattana,20,0,13,7,0
Steve Davis,2,0,-2,4,0
Peter Francisco,19,0,-6,25,0
Dene O'Kane,18,0,0,18,0
Willie Thorne,17,0,2,15,0
Gerry Watson - Not active,168,0,168,0,0
Gordon Robinson - Not active,167,0,167,0,0
Jim Rempe - Not active,166,0,166,0,0
Maurice Parkin - Not active,164,0,164,0,0
Paddy Morgan,163,0,163,0,0
Steve Mizerak - Not active,162,0,162,0,0
Eddie McLaughlin - Not active,161,0,161,0,0
Perrie Mans - Not active,160,0,160,0,0
Tony Knowles,16,0,-4,20,0
Leon Heywood - Not active,159,0,159,0,0
John Hargreaves - Not active,158,0,158,0,0
David Greaves - Not active,157,0,157,0,0
James Giannaros - Not active,156,0,156,0,0
Sam Frangie - Not active,155,0,155,0,0
Mannie Francisco - Not active,154,0,154,0,0
Bert Demarco,153,0,-85,238,0
Lou Condo - Not active,152,0,152,0,0
Dave Chalmers - Not active,151,0,151,0,0
Joe Cagianello - Not active,150,0,150,0,0
Tony Jones,15,0,-7,22,0
Pascal Burke - Not active,149,0,149,0,0
Bernard Bennett,148,0,-116,264,0
Ian Anderson - Not active,147,0,147,0,0
Bill Werbeniuk,146,0,-85,231,0
Bernie Mikkelsen - Not active,145,0,145,0,0
Ian Black,144,0,-95,239,0
Derek Mienie - Not active,143,0,143,0,0
Derek Heaton,142,0,-52,194,0
Paul Thornley - Not active,141,0,-81,222,0
Clive Everton - Not active,140,0,140,0,0
Martin Clark,14,0,2,12,0
Greg Jenkins - Not active,139,0,139,0,0
Vladimir Potazsnyk - Not active,138,0,138,0,0
Geoff Foulds - Not active,137,0,137,0,0
Dennis Hughes,136,0,-96,232,0
Glen Wilkinson - Not active,135,0,135,0,0
Dessie Sheehan,134,0,-33,167,0
Mike Watterson,133,0,-56,189,0
Terry Whitthread,132,0,-8,140,0
Fred Davis,131,0,-59,190,0
Jim Meadowcroft - Not active,130,0,130,0,0
Alain Robidoux,13,0,-1,14,0
Mark Wildman - Not active,129,0,-111,240,0
Jim Bear - Not active,128,0,128,0,0
Billy Kelly,127,0,-61,188,0
Ray Reardon - Not active,126,0,-61,187,0
Mike Darrington,125,0,-35,160,0
John Dunning,124,0,-39,163,0
Jack Fitzmaurice,123,0,-43,166,0
Anthony Harris,122,0,-34,156,0
Malcolm Bradley,121,0,-9,130,0
Alex Higgins,120,0,48,72,0
Dean Reynolds,12,0,-7,19,0
François Ellis,119,0,119,0,0
Jim Donnelly,118,0,-73,191,0
Robbie Grace,117,0,-76,193,0
Vic Harris,116,0,-49,165,0
Matt Gibson,115,0,-44,159,0
George Scott,114,0,-44,158,0
Eric Lawlor,113,0,113,0,0
Gino Rigitano - Not active,112,0,-74,186,0
Tony Kearney,111,0,-18,129,0
Paul Watchorn,110,0,-54,164,0
Terry Griffiths,11,0,5,6,0
Mick Fisher,109,0,-22,131,0
Jason Ferguson,108,0,46,62,0
Steve Meakin,107,0,-44,151,0
Ian Williamson,106,0,-19,125,0
Dave Martin,105,0,15,90,0
Pat Houlihan,104,0,-49,153,0
Graham Cripsey,103,0,-23,126,0
Eddie Sinclair,102,0,-55,157,0
Graham Miles,101,0,-51,152,0
John Rea,100,0,-24,124,0
Doug Mountjoy,10,0,-16,26,0
Stephen Hendry,1,0,0,1,0
Jimmy van Rensberg - Not active,0,0,,0,0
Jackie Rea - Not active,0,0,,0,0
Patsy Fagan - Not active,0,0,,0,0
Mike Hines - Not active,0,0,,0,0
Frank Jonik - Not active,0,0,,0,0
Jason Weston,0,0,,98,0
Mehmet Husnu,0,0,,97,0
David McDonnell,0,0,,96,0
Amrik Cheema,0,0,,95,0
Anthony Davies,0,0,,94,0
Dave Harold,0,0,,93,0
Peter Daubney,0,0,,92,0
Paul McPhillips,0,0,,91,0
Jamie Woodman,0,0,,89,0
Stuart Reardon,0,0,,88,0
Drew Henry,0,0,,87,0
Anthony Hamilton,0,0,,85,0
Chris Small,0,0,,75,0
Billy Snaddon,0,0,,74,0
Peter Lines,0,0,,73,0
Andy Hicks,0,0,,70,0
John Read,0,0,,64,0
Dave Finbow,0,0,,63,0
Joe Swail,0,0,,53,0
Peter Cadogan,0,0,,495,0
Del Smith,0,0,,494,0
Sean Seymour,0,0,,493,0
Don Watson,0,0,,492,0
Stephen Phillips,0,0,,491,0
Christopher Flight,0,0,,490,0
Declan Healy,0,0,,489,0
Nicholas Segal,0,0,,488,0
Lawrence Lillie,0,0,,487,0
Anup Amin,0,0,,486,0
John Mulready,0,0,,485,0
Gareth Esprit,0,0,,484,0
Russell Toombes,0,0,,483,0
Neil Shaw,0,0,,482,0
Andreas Ahmed,0,0,,481,0
Dave Andrew,0,0,,480,0
