player,start_rank,start_points,difference,finish_rank,finish_points
Mark King,15,"26,000",-1,16,"28,300"
Nigel Bond,23,"23,613",-6,29,"22,357"
Stephen Craigie,0,0,,79,"9,901"
Aditya Mehta,0,0,,84,"9,313"
Robert Stephen,0,0,,88,"9,138"
David Morris,64,"11,538",6,58,"13,445"
Steve Davis,29,"21,419",6,23,"24,544"
Lewis Roberts,0,0,,86,"9,288"
Andrew Pagett,0,0,,85,"9,288"
Michael Judge,30,"20,825",-6,36,"19,007"
Jimmy Michie,46,"15,550",-2,48,"16,000"
Jin Long,0,0,,60,"12,976"
Supoj Saenla,72,"10,488",-10,82,"9,488"
Dave Harold,28,"21,494",9,19,"26,607"
Stefan Mazrocis,0,0,,91,"8,751"
Simon Bedford,0,0,,72,"11,288"
Andrew Norman,54,"13,801",-20,74,"11,126"
Neil Robertson,10,"32,950",1,9,"35,225"
Jamie Jones,0,0,,78,"10,388"
Barry Hawkins,27,"22,125",10,17,"27,175"
Ryan Day,8,"33,875",2,6,"40,675"
Chris Mcbreen,0,0,,95,"7,038"
Stuart Pettman,62,"12,476",25,37,"18,770"
Rory McLeod,44,"16,125",5,39,"18,163"
Joe Perry,12,"30,425",0,12,"32,875"
Ian McCulloch,25,"22,432",-10,35,"19,263"
Anthony Hamilton,31,"20,813",-2,33,"20,688"
Liang Wenbo,40,"17,275",13,27,"22,825"
Shaun Murphy,3,"45,050",0,3,"47,175"
Andrew Higginson,38,"17,513",-5,43,"17,438"
Ali Carter,7,"34,175",2,5,"42,525"
Daniel Wells,0,0,,70,"11,688"
Liu Song,53,"13,900",-6,59,"13,370"
Lee Spick,67,"10,950",-1,68,"11,975"
Peter Ebdon,9,"32,975",-5,14,"29,400"
Jimmy White,65,"11,513",9,56,"14,038"
Matthew Stevens,17,"25,413",-9,26,"23,132"
Ricky Walden,35,"18,975",15,20,"26,050"
Michael Holt,34,"19,288",10,24,"23,225"
David Roe,52,"14,038",-10,62,"12,620"
David Gilbert,43,"16,225",-8,51,"15,625"
Ding Junhui,11,"32,194",-2,13,"29,644"
Rodney Goggins,70,"10,563",-7,77,"10,413"
Stephen Lee,26,"22,219",1,25,"23,188"
Rod Lawler,60,"12,713",-1,61,"12,783"
Andy Lee,0,0,,83,"9,313"
Andy Hicks,56,"13,263",6,50,"15,832"
Atthasit Mahitthi,0,0,,75,"10,938"
Stephen Maguire,2,"45,525",0,2,"48,050"
Mark Davis,58,"13,088",11,47,"16,588"
Matthew Selt,68,"10,688",1,67,"12,113"
Stephen Hendry,6,"34,275",-4,10,"33,125"
John Higgins,5,"37,925",1,4,"45,825"
Martin Gould,63,"11,813",17,46,"16,645"
John Parrott,39,"17,450",-14,53,"15,225"
Robert Milkins,51,"14,113",-4,55,"14,107"
Joe Swail,20,"24,725",-2,22,"24,894"
David Gray,49,"14,338",-16,65,"12,208"
Barry Pinches,50,"14,250",-2,52,"15,570"
Mark Joyce,59,"12,963",2,57,"14,001"
Lyu Chuang,73,"10,050",-19,92,"8,725"
Mark Williams,22,"23,925",7,15,"29,319"
Marco Fu,14,"27,000",6,8,"37,350"
Ken Doherty,18,"25,119",-26,44,"17,363"
Kuldesh Johal,0,0,,80,"9,688"
Ronnie O'Sullivan,1,"50,450",0,1,"53,575"
Ian Preece,55,"13,475",-11,66,"12,170"
Matthew Couch,0,0,,69,"11,838"
Michael Georgiou,0,0,,94,"7,038"
Adrian Gunnell,36,"18,375",-6,42,"17,500"
Paul Davies,57,"13,101",3,54,"14,326"
Judd Trump,41,"16,351",11,30,"21,901"
Graeme Dott,13,"27,144",-15,28,"22,494"
Fergal O'Brien,24,"22,538",-7,31,"20,795"
Dominic Dale,32,"20,688",-2,34,"20,620"
Peter Lines,0,0,,64,"12,238"
Joe Delaney,61,"12,701",-2,63,"12,558"
Mark Selby,4,"38,325",-3,7,"37,975"
Vincent Muldoon,0,0,,81,"9,513"
Li Hang,0,0,,71,"11,338"
Patrick Wallace,69,"10,675",-4,73,"11,150"
Stuart Bingham,21,"24,625",0,21,"25,419"
Marcus Campbell,42,"16,325",-3,45,"16,863"
Mark Allen,16,"25,725",5,11,"32,875"
Alan McManus,37,"18,263",-4,41,"17,801"
David Grace,0,0,,93,"7,913"
Tom Ford,48,"14,825",-1,49,"15,963"
Scott MacKenzie,66,"10,688",-21,87,"9,226"
Wayne Cooper,0,0,,90,"8,838"
Gerard Greene,33,"19,538",1,32,"20,751"
Jamie Burnett,45,"16,013",5,40,"17,888"
Mike Dunn,47,"15,501",9,38,"18,739"
Declan Hughes,0,0,,96,"6,638"
Jamie Cope,19,"24,744",1,18,"26,632"
Paul Davison,0,0,,89,"9,063"
James McBain,71,"10,550",-5,76,"10,413"
