player,start_rank,start_points,difference,finish_rank,finish_points
Mark Williams,1,"57,100",0,1,"53,390"
Ronnie O'Sullivan,4,"32,640",2,2,"45,599"
John Higgins,2,"44,445",-1,3,"43,724"
Ken Doherty,7,"29,255",3,4,"38,339"
Stephen Hendry,3,"42,570",-2,5,"35,603"
Matthew Stevens,6,"31,105",0,6,"32,884"
Peter Ebdon,12,"23,355",5,7,"32,662"
Stephen Lee,5,"31,605",-3,8,"29,924"
Paul Hunter,14,"22,497",5,9,"25,884"
Joe Swail,16,"21,590",6,10,"24,872"
Jimmy White,18,"20,587",7,11,"23,584"
Alan McManus,8,"25,510",-4,12,"21,940"
Mark King,22,"19,450",9,13,"21,875"
Graeme Dott,19,"20,112",5,14,"21,764"
Dave Harold,13,"22,737",-2,15,"21,430"
Fergal O'Brien,9,"24,702",-7,16,"21,131"
Marco Fu,15,"22,329",-2,17,"20,800"
Drew Henry,29,"16,200",11,18,"20,626"
Anthony Hamilton,11,"23,515",-8,19,"20,621"
Dominic Dale,20,"19,947",0,20,"19,514"
Steve Davis,17,"21,500",-4,21,"19,505"
John Parrott,10,"24,065",-12,22,"19,413"
Nigel Bond,23,"18,822",0,23,"18,863"
Chris Small,21,"19,497",-3,24,"18,365"
Quinten Hann,32,"15,445",7,25,"17,765"
Billy Snaddon,24,"18,412",-2,26,"17,153"
Joe Perry,31,"15,470",4,27,"17,014"
Michael Judge,46,"11,815",18,28,"16,808"
Tony Drago,26,"17,072",-3,29,"16,521"
David Gray,52,"11,345",22,30,"16,206"
Anthony Davies,40,"12,610",9,31,"15,716"
James Wattana,27,"16,975",-5,32,"15,634"
Brian Morgan,28,"16,235",-5,33,"15,063"
Patrick Wallace,59,"10,855",25,34,"15,014"
Terry Murphy,30,"15,632",-5,35,"14,628"
Jamie Burnett,33,"15,315",-3,36,"14,150"
Gary Wilkinson,34,"15,072",-3,37,"14,033"
Alfie Burden,50,"11,399",12,38,"13,887"
Darren Morgan,25,"17,194",-14,39,"13,695"
Shokat Ali,68,"10,115",28,40,"13,641"
Marcus Campbell,47,"11,799",6,41,"13,486"
Jimmy Michie,41,"12,554",-1,42,"12,815"
Bradley Jones,37,"13,355",-6,43,"12,759"
Stuart Bingham,43,"12,320",-1,44,"12,675"
Michael Holt,62,"10,805",17,45,"12,654"
Andy Hicks,36,"13,650",-10,46,"12,636"
Dave Finbow,39,"12,845",-8,47,"12,115"
Ian McCulloch,38,"13,096",-10,48,"12,002"
David Roe,55,"11,120",6,49,"11,913"
Jonathan Birch,44,"12,264",-6,50,"11,688"
Nick Dyson,114,"6,473",63,51,"11,408"
Stephen Maguire,100,"7,153",48,52,"11,219"
Gary Ponting,53,"11,325",0,53,"10,952"
Robert Milkins,75,"9,400",21,54,"10,853"
Stuart Pettman,60,"10,830",5,55,"10,800"
Jason Ferguson,54,"11,240",-2,56,"10,763"
Paul Davies,35,"14,410",-22,57,"10,712"
Lee Walker,42,"12,489",-16,58,"10,639"
Peter Lines,45,"12,010",-14,59,"10,563"
Mark Davis,77,"9,285",17,60,"10,440"
Ali Carter,92,"7,825",31,61,"10,364"
Steve James,64,"10,636",2,62,"10,258"
Gerard Greene,58,"10,951",-5,63,"10,242"
Rod Lawler,51,"11,390",-13,64,"10,195"
Bjorn Haneveer,145,"3,458",80,65,"10,161"
Paul Wykes,56,"11,089",-10,66,"10,144"
Adrian Gunnell,88,"8,095",21,67,"10,020"
Martin Dziewialtowski,78,"9,115",10,68,"9,719"
Wayne Brown,83,"8,665",14,69,"9,696"
Kristjan Helgason,74,"9,432",4,70,"9,629"
Neal Foulds,73,"9,665",2,71,"9,623"
Mike Dunn,93,"7,825",21,72,"9,612"
Joe Johnson,61,"10,824",-12,73,"9,451"
Phaitoon Phonbun,70,"10,045",-4,74,"9,424"
Euan Henderson,48,"11,615",-27,75,"9,292"
John Read,63,"10,722",-13,76,"9,179"
Matthew Couch,57,"10,970",-20,77,"8,882"
Alain Robidoux,49,"11,415",-29,78,"8,847"
Noppadon Noppachorn,120,"6,093",41,79,"8,793"
Hugh Abernethy,103,"7,005",23,80,"8,782"
Paul Sweeny,81,"8,820",0,81,"8,742"
Barry Pinches,97,"7,335",15,82,"8,726"
Mick Price,72,"9,889",-11,83,"8,660"
Jason Prince,89,"8,064",5,84,"8,602"
Barry Hawkins,189,0,104,85,"8,569"
Robin Hull,102,"7,040",16,86,"8,423"
Nick Walker,65,"10,484",-22,87,"8,422"
Antony Bolsover,151,0,63,88,"8,340"
Sean Storey,99,"7,175",10,89,"8,330"
John Lardner,67,"10,377",-23,90,"8,303"
Mark Fenton,91,"7,955",0,91,"8,254"
Mark Gray,82,"8,710",-10,92,"8,236"
Andrew Higginson,191,0,98,93,"8,221"
Willie Thorne,76,"9,320",-18,94,"8,183"
Mark Selby,122,"5,763",27,95,"8,180"
Tony Jones,79,"9,010",-17,96,"8,149"
Troy Shaw,116,"6,355",19,97,"8,145"
Nick Pearce,86,"8,240",-12,98,"8,127"
Leo Fernandez,71,"10,027",-28,99,"7,959"
Steve Judd,95,"7,655",-5,100,"7,917"
David McLellan,98,"7,280",-3,101,"7,875"
David McDonnell,132,"4,200",30,102,"7,863"
Darren Clarke,87,"8,160",-16,103,"7,799"
Philip Williams,142,"3,760",38,104,"7,769"
Jeff Cundy,149,"3,310",44,105,"7,763"
Leigh Griffin,80,"8,995",-26,106,"7,589"
Mehmet Husnu,118,"6,200",11,107,"7,553"
Stephen O'Connor,94,"7,670",-14,108,"7,519"
Dean Reynolds,69,"10,115",-40,109,"7,502"
Simon Bedford,139,"3,830",29,110,"7,479"
Patrick Delsemme,107,"6,860",-4,111,"7,437"
James Reynolds,119,"6,195",7,112,"7,430"
Craig Butler,0,0,,113,"7,404"
Paul McPhillips,135,"4,015",21,114,"7,368"
Tony Chappel,90,"8,005",-25,115,"7,244"
Ryan Day,124,"5,393",8,116,"7,186"
Craig Harrison,109,"6,720",-8,117,"7,165"
Neil Robertson,0,0,,118,"7,146"
Karl Broughton,84,"8,625",-35,119,"7,128"
Munraj Pal,123,"5,460",3,120,"7,123"
Karl Burrows,111,"6,640",-10,121,"7,022"
Stefan Mazrocis,105,"6,965",-17,122,"7,005"
Tony Knowles,106,"6,945",-17,123,"6,986"
Jason Weston,131,"4,255",7,124,"6,974"
Stuart Mann,203,0,78,125,"6,931"
Joe Jogia,190,0,64,126,"6,872"
Darryn Walker,133,"4,150",6,127,"6,864"
Eddie Manning,121,"5,835",-7,128,"6,835"
Dene O'Kane,96,"7,525",-33,129,"6,791"
Jason Barton,218,0,88,130,"6,742"
