player,start_rank,start_points,difference,finish_rank,finish_points
Nigel Gilbert,99,0,43,56,0
Paul Gibson,98,0,29,69,0
Pascal Burke,97,0,-8,105,0
Glen Wilkinson,96,0,1,95,0
Frank Jonik,95,0,-11,106,0
Dessie Sheehan,94,0,-21,115,0
Greg Jenkins,93,0,-11,104,0
Mick Fisher,92,0,34,58,0
Jim Meadowcroft,91,0,-3,94,0
Brian Rowswell,90,0,20,70,0
Alex Higgins,9,0,-8,17,0
Mike Darrington,89,0,-11,100,0
Jack Fitzmaurice,88,0,-26,114,0
Jim Donnelly,87,0,13,74,0
Jim Bear,86,0,0,86,0
Gino Rigitano,85,0,-6,91,0
Bill Oliver,84,0,0,84,0
David Roe,83,0,44,39,0
Dave Gilbert,82,0,25,57,0
Mike Watterson,81,0,-27,108,0
Ian Williamson,80,0,-9,89,0
Dennis Taylor,8,0,-2,10,0
Robby Foldvari,79,0,13,66,0
Colin Roscoe,78,0,11,67,0
Mario Morra,77,0,-5,82,0
Eddie Sinclair,76,0,-9,85,0
Patsy Fagan,75,0,-28,103,0
Ian Black,74,0,-22,96,0
Bernie Mikkelsen,73,0,-24,97,0
Vic Harris,72,0,1,71,0
Jimmy van Rensberg,71,0,-16,87,0
Matt Gibson,70,0,-18,88,0
Tony Knowles,7,0,-1,8,0
John Rea,69,0,-12,81,0
Graham Miles,68,0,3,65,0
Paul Medati,67,0,-1,68,0
Steve James,66,0,34,32,0
Tony Kearney,65,0,-15,80,0
Pat Houlihan,64,0,5,59,0
Robbie Grace,63,0,-16,79,0
Geoff Foulds,62,0,-16,78,0
Fred Davis,61,0,-22,83,0
George Scott,60,0,-30,90,0
Terry Griffiths,6,0,1,5,0
Ray Edmonds,59,0,4,55,0
Tony Chappel,58,0,7,51,0
Roger Bales,57,0,-3,60,0
Malcolm Bradley,56,0,-19,75,0
Joe O'Boye,55,0,20,35,0
Mark Bennett,54,0,2,52,0
Jon Wright,53,0,-8,61,0
Ken Owers,52,0,-1,53,0
Les Dodd,51,0,-11,62,0
Jack McLaughlin,50,0,-14,64,0
Joe Johnson,5,0,-6,11,0
Bob Harris,49,0,-28,77,0
Graham Cripsey,48,0,2,46,0
Mark Wildman,47,0,-29,76,0
Tony Jones,46,0,-3,49,0
Steve Newbury,45,0,20,25,0
Tommy Murphy,44,0,2,42,0
Paddy Browne,43,0,-11,54,0
Marcel Gauvreau,42,0,-21,63,0
Bob Chaperon,41,0,12,29,0
Danny Fowler,40,0,-3,43,0
Cliff Thorburn,4,0,-2,6,0
Warren King,39,0,-5,44,0
Ray Reardon,38,0,-2,40,0
Steve Duggan,37,0,-13,50,0
Jim Wych,36,0,-2,38,0
Dene O'Kane,35,0,12,23,0
Wayne Jones,34,0,0,34,0
Bill Werbeniuk,33,0,-14,47,0
Tony Drago,32,0,12,20,0
Steve Longworth,31,0,1,30,0
Murdo Macleod,30,0,-18,48,0
Neal Foulds,3,0,0,3,0
Barry West,29,0,3,26,0
John Spencer,28,0,1,27,0
Dave Martin,27,0,-9,36,0
Eddie Charlton,26,0,7,19,0
David Taylor,25,0,-3,28,0
Eugene Hughes,24,0,3,21,0
Stephen Hendry,23,0,19,4,0
John Campbell,22,0,-11,33,0
Kirk Stevens,21,0,-16,37,0
Tony Meo,20,0,-11,31,0
Jimmy White,2,0,0,2,0
John Virgo,19,0,4,15,0
Peter Francisco,18,0,4,14,0
Cliff Wilson,17,0,1,16,0
Mike Hallett,16,0,7,9,0
Dean Reynolds,15,0,-7,22,0
Doug Mountjoy,14,0,-10,24,0
John Parrott,13,0,6,7,0
Wayne Sanderson,128,0,128,0,0
Steve Mizerak,127,0,127,0,0
Mannie Francisco - Not active,126,0,126,0,0
Lou Condo,125,0,125,0,0
James Giannaros - Not active,124,0,124,0,0
Bernard Bennett,123,0,-6,129,0
Maurice Parkin,122,0,-5,127,0
Paddy Morgan,121,0,121,0,0
Bert Demarco,120,0,-8,128,0
Rex Williams,12,0,-6,18,0
Mike Hines - Not active,119,0,-7,126,0
Joe Cagianello,118,0,-12,130,0
David Greaves,117,0,-8,125,0
François Ellis,116,0,3,113,0
Terry Whitthread,115,0,14,101,0
Derek Mienie,114,0,-7,121,0
Paul Watchorn,113,0,15,98,0
Clive Everton,112,0,-8,120,0
Jackie Rea,111,0,12,99,0
Dave Chalmers,110,0,-2,112,0
Willie Thorne,11,0,-2,13,0
Paul Thornley,109,0,-15,124,0
Gerry Watson,108,0,108,0,0
Martin Smith,107,0,35,72,0
Eddie McLaughlin,106,0,-25,131,0
Dennis Hughes,105,0,-6,111,0
John Hargreaves,104,0,-18,122,0
John Dunning,103,0,11,92,0
Billy Kelly,102,0,-8,110,0
Jim Rempe,101,0,-8,109,0
Ian Anderson,100,0,-7,107,0
Silvino Francisco,10,0,-2,12,0
Steve Davis,1,0,0,1,0
Leon Heywood,0,0,,0,0
Omprakesh Agrawal - Not active,0,0,,0,0
Sakchai Sim Ngam - Not active,0,0,,0,0
Perrie Mans,0,0,,0,0
Gordon Robinson - Not active,0,0,,0,0
Eric Lawlor,0,0,,93,0
Jim Chambers,0,0,,73,0
Gary Wilkinson,0,0,,45,0
Martin Clark,0,0,,41,0
Derek Heaton,0,0,,123,0
Robert Marshall,0,0,,119,0
Jason Smith,0,0,,118,0
Steve Meakin,0,0,,117,0
Anthony Harris,0,0,,116,0
Alain Robidoux,0,0,,102,0
