player,start_rank,start_points,difference,finish_rank,finish_points
Mark Rowing,99,0,39,60,0
Steve Campbell,98,0,7,91,0
Mark Wildman,97,0,-28,125,0
Eric Lawlor,96,0,-9,105,0
John Dunning,95,0,-22,117,0
Eddie Sinclair,94,0,1,93,0
Bob Harris,93,0,1,92,0
Ian Williamson,92,0,-11,103,0
Glen Wilkinson,91,0,-17,108,0
Mick Price,90,0,14,76,0
Willie Thorne,9,0,-2,11,0
Fred Davis,89,0,-39,128,0
Jim Bear,88,0,-31,119,0
Malcolm Bradley,87,0,-20,107,0
Mario Morra,86,0,5,81,0
Bill Oliver,85,0,8,77,0
Jim Donnelly,84,0,-30,114,0
Vic Harris,83,0,-28,111,0
Paul Gibson,82,0,16,66,0
Pat Houlihan,81,0,-15,96,0
Paul Medati,80,0,2,78,0
Dennis Taylor,8,0,-2,10,0
Brian Rowswell,79,0,16,63,0
Graham Miles,78,0,-16,94,0
Robby Foldvari,77,0,-23,100,0
Martin Smith,76,0,-3,79,0
Ken Owers,75,0,-20,95,0
Anthony Harris,74,0,-15,89,0
George Scott,73,0,-15,88,0
Nick Terry,72,0,-14,86,0
Tony Wilson,71,0,1,70,0
Robert Marshall,70,0,24,46,0
Cliff Thorburn,7,0,-11,18,0
Craig Edwards,69,0,8,61,0
Marcel Gauvreau,68,0,-3,71,0
Jon Wright,67,0,-17,84,0
John Rea,66,0,-19,85,0
Les Dodd,65,0,20,45,0
Mick Fisher,64,0,-35,99,0
Dave Gilbert,63,0,-11,74,0
Tony Jones,62,0,27,35,0
Roger Bales,61,0,-8,69,0
Jim Chambers,60,0,2,58,0
Mike Hallett,6,0,-1,7,0
Ian Graham,59,0,9,50,0
Jack McLaughlin,58,0,9,49,0
Tommy Murphy,57,0,-18,75,0
Dave Martin,56,0,-34,90,0
Warren King,55,0,16,39,0
Ray Reardon,54,0,-19,73,0
Darren Morgan,53,0,13,40,0
Mark Johnston-Allen,52,0,-7,59,0
Graham Cripsey,51,0,-36,87,0
Kirk Stevens,50,0,-18,68,0
Terry Griffiths,5,0,-1,6,0
Ray Edmonds,49,0,-23,72,0
Colin Roscoe,48,0,0,48,0
Mark Bennett,47,0,14,33,0
Nigel Gilbert,46,0,-5,51,0
Murdo Macleod,45,0,-11,56,0
Paddy Browne,44,0,-9,53,0
Steve Duggan,43,0,2,41,0
John Campbell,42,0,-5,47,0
Tony Chappel,41,0,-2,43,0
Joe O'Boye,40,0,-22,62,0
Jimmy White,4,0,0,4,0
Gary Wilkinson,39,0,20,19,0
John Spencer,38,0,-17,55,0
Jim Wych,37,0,-15,52,0
Danny Fowler,36,0,7,29,0
