player,start_rank,start_points,difference,finish_rank,finish_points
Stephen Hendry,1,"36,911",0,1,"43,127"
John Higgins,2,"32,341",0,2,"30,867"
Peter Ebdon,3,"28,115",-2,5,"25,282"
John Parrott,4,"24,339",-2,6,"25,082"
Nigel Bond,5,"22,699",-3,8,"22,182"
Alan McManus,6,"21,492",-4,10,"20,995"
Ken Doherty,7,"21,161",4,3,"28,601"
Ronnie O'Sullivan,8,"21,007",1,7,"24,217"
Darren Morgan,9,"19,142",-6,15,"16,423"
Steve Davis,10,"18,252",-3,13,"18,654"
Dave Harold,11,"18,247",-7,18,"15,812"
James Wattana,12,"17,641",0,12,"18,822"
Jimmy White,13,"16,620",-8,21,"13,664"
Alain Robidoux,14,"16,058",5,9,"21,994"
Tony Drago,15,"16,031",4,11,"19,959"
Mark Williams,16,"15,988",12,4,"27,485"
Joe Swail,17,"15,966",-5,22,"13,481"
Andy Hicks,18,"15,371",-1,19,"14,823"
Gary Wilkinson,19,"15,251",2,17,"15,913"
Rod Lawler,20,"14,565",-6,26,"12,896"
Neal Foulds,21,"14,430",-9,30,"12,570"
Anthony Hamilton,22,"14,415",8,14,"17,004"
Terry Griffiths,23,"14,226",-72,95,"6,650"
Steve James,24,"13,699",0,24,"13,204"
Willie Thorne,25,"13,534",-11,36,"11,739"
Dennis Taylor,26,"13,229",-8,34,"12,042"
Dene O'Kane,27,"13,176",-8,35,"11,873"
Dave Finbow,28,"12,946",-11,39,"11,498"
Jason Ferguson,29,"12,839",-8,37,"11,691"
Chris Small,30,"12,788",5,25,"13,036"
Stephen Lee,31,"12,788",15,16,"16,079"
Mick Price,32,"12,101",1,31,"12,372"
Martin Clark,33,"11,840",6,27,"12,744"
David Roe,34,"11,804",-15,49,"10,083"
Billy Snaddon,35,"11,487",3,32,"12,266"
Fergal O'Brien,36,"11,415",13,23,"13,343"
Anthony Davies,37,"11,288",-24,61,"8,428"
Dean Reynolds,38,"11,019",-13,51,"9,942"
Mark King,39,"10,943",19,20,"14,240"
Drew Henry,40,"10,913",0,40,"10,945"
Terry Murphy,41,"10,855",12,29,"12,644"
Tony Knowles,42,"10,853",-30,72,"7,590"
Mark Bennett,43,"10,786",-7,50,"9,975"
Mark Johnston-Allen,44,"10,541",-26,70,"7,692"
Tony Chappel,45,"10,358",-1,46,"10,674"
Mike Hallett,46,"10,035",-43,89,"6,718"
Joe Johnson,47,"9,785",-5,52,"9,671"
Wayne Jones,48,"9,725",-10,58,"8,730"
Brian Morgan,49,"9,719",21,28,"12,693"
Mark Flowerdew,50,"9,510",-13,63,"8,185"
Karl Payne,51,"9,438",-26,77,"7,290"
Nick Terry,52,"9,320",-16,68,"7,826"
Paul Davies,53,"9,165",5,48,"10,347"
Jamie Burnett,54,"9,115",16,38,"11,635"
Mark Davis,55,"8,950",8,47,"10,390"
Jason Prince,56,"8,864",14,42,"10,893"
Karl Broughton,57,"8,643",16,41,"10,943"
Graeme Dott,58,"8,584",25,33,"12,086"
Doug Mountjoy,59,"8,445",-39,98,"6,457"
Jimmy Michie,60,"8,410",5,55,"9,262"
Stephen Murphy,61,"8,238",-5,66,"7,988"
Euan Henderson,62,"8,173",18,44,"10,810"
Tony Jones,63,"8,168",3,60,"8,565"
Jonathan Birch,64,"8,044",19,45,"10,675"
Paul McPhillips,65,"7,863",-9,74,"7,508"
Chris Scanlon,66,"7,840",2,64,"8,050"
Matthew Stevens,67,"7,811",14,53,"9,870"
Jamie Woodman,68,"7,748",-3,71,"7,655"
Ian Brumby,69,"7,718",-32,101,"6,328"
Steve Newbury,70,"7,473",-30,100,"6,369"
Michael Judge,71,"7,330",15,56,"9,230"
Gerard Greene,72,"7,285",10,62,"8,405"
Yasin Merchant,73,"7,270",-23,96,"6,540"
Gary Ponting,74,"7,252",-11,85,"6,870"
Tony Meo,75,"7,215",-85,160,"4,203"
Shokat Ali,76,"7,213",17,59,"8,633"
John Read,77,"7,040",-9,86,"6,793"
Paul Hunter,78,"6,885",35,43,"10,883"
Barry Pinches,79,"6,865",-4,83,"6,988"
Nick Walker,80,"6,848",13,67,"7,900"
Stefan Mazrocis,81,"6,820",16,65,"8,040"
Nigel Gilbert,82,"6,811",-29,111,"5,879"
Matthew Couch,83,"6,783",-11,94,"6,663"
Nick Dyson,84,"6,688",-19,103,"6,290"
Marcus Campbell,85,"6,680",-12,97,"6,468"
Antony Bolsover,86,"6,660",5,81,"7,170"
Dominic Dale,87,"6,653",33,54,"9,830"
Stephen O'Connor,88,"6,563",-18,106,"6,203"
Stuart Pettman,89,"6,515",2,87,"6,720"
Danny Fowler,90,"6,500",-24,114,"5,774"
Cliff Thorburn,91,"6,456",-234,325,"1,619"
Mark Rowing,92,"6,413",92,0,0
Darren Clarke,93,"6,345",9,84,"6,978"
Paul Cavney,94,"6,333",-30,124,"5,280"
Nick Pearce,95,"6,318",38,57,"8,804"
Matt Wilson,96,"6,316",-22,118,"5,567"
Surinder Gill,97,"6,305",-23,120,"5,448"
Jason Wallace,98,"6,290",-12,110,"5,970"
