player,start_rank,start_points,difference,finish_rank,finish_points
John Higgins,1,"57,820",-1,2,"58,820"
Mark Williams,8,"37,699",7,1,"60,360"
Neil Robertson,2,"48,405",-3,5,"48,100"
Mark Selby,9,"35,445",6,3,"55,965"
Ding Junhui,5,"40,975",1,4,"55,960"
Stephen Maguire,6,"40,495",-2,8,"45,300"
Shaun Murphy,7,"38,655",0,7,"46,965"
Ali Carter,4,"46,620",-2,6,"47,040"
Graeme Dott,13,"30,890",3,10,"40,930"
Ronnie O'Sullivan,3,"47,835",-8,11,"40,660"
Mark Allen,10,"35,380",-2,12,"37,305"
Peter Ebdon,18,"27,545",5,13,"36,480"
Stephen Hendry,11,"33,785",-5,16,"35,420"
Jamie Cope,17,"27,983",2,15,"35,580"
Ricky Walden,20,"26,055",0,20,"33,450"
Marco Fu,14,"29,635",-9,23,"31,120"
Stuart Bingham,29,"21,659",12,17,"35,275"
Matthew Stevens,25,"23,384",11,14,"36,395"
Mark King,15,"29,085",-11,26,"29,210"
Ryan Day,12,"33,410",-16,28,"28,185"
Stephen Lee,23,"23,604",5,18,"34,420"
Mark Davis,26,"23,145",7,19,"33,630"
Andrew Higginson,32,"19,740",7,25,"29,420"
Judd Trump,27,"22,560",18,9,"41,715"
Barry Hawkins,21,"25,245",-1,22,"31,125"
Martin Gould,43,"18,072",22,21,"32,950"
Liang Wenbo,16,"28,065",-14,30,"27,950"
Gerard Greene,28,"22,008",-4,32,"26,430"
Ken Doherty,30,"21,354",1,29,"28,060"
Joe Perry,19,"27,385",-8,27,"28,750"
Dominic Dale,45,"17,297",14,31,"27,715"
Marcus Campbell,40,"18,133",16,24,"30,215"
Tom Ford,41,"18,078",7,34,"25,105"
Nigel Bond,38,"18,307",-2,40,"21,675"
Rory McLeod,34,"19,148",-1,35,"25,005"
Robert Milkins,36,"19,117",3,33,"25,660"
Jamie Burnett,37,"18,500",-2,39,"21,770"
Mike Dunn,33,"19,478",-5,38,"22,570"
Fergal O'Brien,47,"16,772",10,37,"23,145"
Steve Davis,22,"25,205",-22,44,"21,085"
Anthony Hamilton,42,"18,073",6,36,"23,900"
Tony Drago,54,"14,970",8,46,"20,940"
Michael Holt,24,"23,460",-21,45,"20,950"
Peter Lines,50,"15,450",0,50,"19,815"
Dave Harold,31,"20,248",-17,48,"20,285"
Matthew Selt,51,"15,295",8,43,"21,195"
Mark Joyce,58,"14,178",16,42,"21,285"
Alan McManus,46,"16,903",-5,51,"19,780"
Joe Swail,39,"18,134",-15,54,"18,405"
Barry Pinches,57,"14,240",16,41,"21,520"
Andy Hicks,53,"15,092",-8,61,"17,095"
Jamie Jones,0,"8,697",,47,"20,315"
Adrian Gunnell,44,"17,370",-12,56,"18,390"
Rod Lawler,49,"15,845",-9,58,"17,680"
Anthony McGill,0,"8,697",,59,"17,670"
Jack Lisowski,0,"8,697",,52,"19,635"
Jimmy White,60,"13,120",5,55,"18,395"
Ian McCulloch,48,"16,159",-15,63,"16,895"
Alfie Burden,0,"8,697",,57,"18,240"
Joe Jogia,70,"11,550",21,49,"19,825"
Jimmy Robertson,63,"12,390",10,53,"18,770"
Stuart Pettman,35,"19,147",-42,77,"14,325"
Bjorn Haneveer,62,"12,650",-3,65,"16,625"
Matthew Couch,67,"11,820",-3,70,"15,460"
Xiao Guodong,73,"10,640",9,64,"16,650"
Liam Highfield,0,"8,697",,68,"15,645"
Patrick Wallace,68,"11,745",-6,74,"14,730"
Liu Song,0,0,,62,"17,030"
Lyu Chuang,0,"8,697",,60,"17,290"
David Morris,59,"13,647",-19,78,"13,525"
Michael White,71,"11,370",5,66,"16,150"
Simon Bedford,65,"11,940",-14,79,"13,370"
Jimmy Michie,56,"14,505",-26,82,"12,140"
Igor Figueiredo,0,"8,697",,80,"13,365"
Ben Woollaston,72,"10,890",3,69,"15,575"
James Wattana,66,"11,860",-1,67,"15,935"
Kyren Wilson,77,"12,147",5,72,"15,020"
Andrew Pagett,0,"8,697",,71,"15,300"
Paul Davison,0,"8,697",,73,"14,835"
James McBain,0,"8,697",,75,"14,655"
Thanawat Thirapongpaiboon,0,"8,697",,83,"12,140"
Joe Delaney,61,"13,017",-20,81,"13,025"
David Gilbert,55,"14,525",-21,76,"14,495"
Zhang Anda,69,"11,690",-15,84,"11,900"
Michael Judge,52,"15,267",-37,89,"10,665"
Adam Wicheard,0,"8,697",,88,"10,795"
Justin Astley,0,"8,697",,90,"10,305"
Issara Kachaiwong,0,"8,697",,87,"11,190"
Kuldesh Johal,0,"8,697",,86,"11,365"
Paul Davies,64,"12,253",-32,96,"7,920"
Kurt Maflin,0,"8,697",,85,"11,430"
Dermot McGlinchey,0,"8,697",,91,"9,545"
Noppon Saengkham,0,"8,697",,92,"9,525"
Jamie O'Neill,0,"8,697",,93,"9,405"
Jak Jones,0,"8,697",,94,"9,230"
Patrick Einsle,0,"8,697",,95,"8,365"
Reanne Evans,0,"8,697",,97,"7,300"
