player,start_rank,start_points,difference,finish_rank,finish_points
Mark Selby,1,"1,315,275",-5,6,"752,225"
Ronnie O'Sullivan,2,"905,750",1,1,"1,196,500"
Mark Williams,3,"878,750",0,3,"1,028,000"
John Higgins,4,"751,525",-1,5,"795,500"
Judd Trump,5,"660,250",3,2,"1,166,500"
Ding Junhui,6,"590,525",-4,10,"403,500"
Barry Hawkins,7,"543,225",-2,9,"409,500"
Shaun Murphy,8,"453,875",-6,14,"375,000"
Kyren Wilson,9,"416,250",1,8,"561,225"
Neil Robertson,10,"356,125",6,4,"842,500"
Ali Carter,11,"333,525",-6,17,"308,000"
Mark Allen,12,"332,450",5,7,"677,000"
Stuart Bingham,13,"324,587",0,13,"390,500"
Anthony McGill,14,"320,300",-9,23,"223,000"
Luca Brecel,15,"310,150",0,15,"350,600"
Ryan Day,16,"303,862",-2,18,"295,000"
Stephen Maguire,17,"291,025",1,16,"346,000"
Marco Fu,18,"282,150",-37,55,"110,500"
Liang Wenbo,19,"258,900",-22,41,"148,500"
Joe Perry,20,"237,950",1,19,"282,000"
Mark King,21,"221,050",-7,28,"178,725"
Graeme Dott,22,"219,175",0,22,"228,500"
Yan Bingtao,23,"215,125",2,21,"236,000"
Martin Gould,24,"194,050",-8,32,"169,000"
Xiao Guodong,25,"191,025",0,25,"203,100"
Jack Lisowski,26,"180,862",15,11,"398,600"
David Gilbert,27,"178,550",15,12,"394,000"
Ricky Walden,28,"177,975",-2,30,"173,600"
Michael White,29,"175,625",-16,45,"131,500"
Anthony Hamilton,30,"166,425",-32,62,"93,500"
Michael Holt,31,"163,050",-13,44,"136,000"
Tom Ford,32,"159,775",5,27,"186,225"
Zhou Yuelong,33,"159,450",2,31,"169,500"
Jimmy Robertson,34,"148,587",10,24,"222,725"
Robert Milkins,35,"148,025",-1,36,"159,600"
Li Hang,36,"136,450",7,29,"176,000"
Ben Woollaston,37,"135,275",-2,39,"155,600"
Cao Yupeng - Not active,38,"132,525",38,,0
Jamie Jones,39,"127,587",-27,66,"81,600"
Gary Wilson,40,"124,887",20,20,"242,600"
Mark Davis,41,"124,500",8,33,"163,725"
Mark Joyce,42,"121,837",-12,54,"111,000"
Yu Delu - Not active,43,"117,225",43,,0
Kurt Maflin,44,"116,837",-5,49,"124,700"
Hossein Vafaei,45,"114,000",5,40,"151,500"
Dominic Dale,46,"113,125",-19,65,"82,600"
Matthew Stevens,47,"107,587",4,43,"139,000"
Chris Wakelin,48,"106,300",0,48,"125,950"
Michael Georgiou,49,"105,737",3,46,"130,600"
Stuart Carrington,50,"104,075",0,50,"120,500"
Fergal O'Brien,51,"102,987",-12,63,"89,200"
Noppon Saengkham,52,"102,650",14,38,"156,600"
Andrew Higginson,53,"102,525",-4,57,"100,600"
Mike Dunn,53,"102,525",-11,64,"86,500"
Peter Ebdon,55,"101,712",8,47,"129,000"
Thepchaiya Un-Nooh,56,"98,000",19,37,"157,725"
Robbie Williams,57,"97,325",-3,60,"99,600"
Scott Donaldson,58,"95,025",23,35,"161,500"
Matthew Selt,59,"94,900",25,34,"163,100"
Liam Highfield,60,"94,325",-1,61,"94,600"
Lyu Haotian,61,"94,000",35,26,"190,500"
Rory McLeod,62,"89,387",-9,71,"66,500"
Daniel Wells,63,"89,212",5,58,"100,500"
Alan McManus,64,"86,900",14,50,"120,500"
Oliver Lines,0,0,,97,"26,000"
John Astley,0,0,,87,"37,000"
Zhang Anda,0,0,,88,"35,000"
Elliot Slessor,0,0,,94,"31,000"
Lee Walker,0,0,,105,"21,000"
Tian Pengfei,0,0,,74,"61,000"
Alfie Burden,0,0,,96,"29,000"
Mei Xiwen,0,0,,78,"54,000"
Ken Doherty,65,"61,000",9,56,"106,500"
Akani Songsermsawad,66,"60,000",14,52,"115,500"
Martin O'Donnell,67,"46,100",25,42,"146,100"
Gerard Greene,68,"36,500",-1,69,"73,600"
Alexander Ursenbacher,69,"33,100",-4,73,"62,700"
Xu Si,70,"29,500",-7,77,"55,000"
Yuan Sijun,71,"28,000",18,53,"113,000"
Jimmy White,72,"27,500",-7,79,"53,500"
Ian Burns,73,"27,000",3,70,"73,100"
Zhang Yong,74,"27,000",-6,80,"53,000"
Peter Lines,75,"23,725",-8,83,"47,725"
Robin Hull,76,"22,500",-14,90,"34,500"
Li Yuan,76,"22,500",-21,97,"26,000"
Allan Taylor,78,"20,750",-13,91,"32,850"
Duane Jones,79,"20,000",3,76,"58,500"
Nigel Bond,80,"17,600",-2,82,"50,600"
Chen Zifan,81,"17,500",-21,102,"22,100"
Ashley Hugill,82,"16,000",-24,106,"20,500"
Niu Zhuang,82,"16,000",-19,101,"23,600"
Chris Totten,84,"14,500",-16,100,"24,000"
Eden Sharav,85,"13,500",18,67,"79,600"
Paul Davison,86,"12,500",-6,92,"32,500"
Soheil Vahedi,86,"12,500",86,,0
Billy Joe Castle,88,"11,500",-11,99,"24,725"
Hamza Akbar,89,"10,500",-18,107,"19,000"
Ross Muir,90,"10,000",-5,95,"30,600"
Joe Swail,91,"8,500",2,89,"34,600"
Sanderson Lam,92,"8,000",-22,114,"11,500"
Sean O'Sullivan,93,"6,000",-22,115,"11,000"
Rod Lawler,94,"5,600",10,84,"40,600"
Rhys Clark,95,"2,500",-26,121,"6,500"
Lukas Kleckers,96,"2,000",-15,111,"15,600"
Basem Eltahhan,97,500,-28,125,500
Luo Honghao,0,0,,81,"51,500"
Adam Stefanow,0,0,,120,"7,500"
Fan Zhengyi,0,0,,123,"5,500"
Harvey Chandler,0,0,,117,"9,725"
Simon Lichtenberg,0,0,,124,"4,600"
Mohamed Ibrahim,0,0,,,0
Jamie Clarke,0,0,,112,"15,500"
Joe O'Connor,0,0,,75,"60,000"
Zhang Jiankang,0,0,,113,"13,600"
Chen Feilong,0,0,,116,"10,500"
Sam Baird,0,0,,85,"40,000"
Sam Craigie,0,0,,72,"63,000"
Hammad Miah,0,0,,119,"7,725"
Jak Jones,0,0,,93,"32,000"
Jordan Brown,0,0,,103,"21,500"
Craig Steadman,0,0,,86,"38,500"
Lu Ning,0,0,,68,"77,500"
Zhao Xintong,0,0,,58,"100,500"
Thor Chuan Leong,0,0,,110,"16,500"
Kishan Hirani,0,0,,118,"8,600"
Andy Lee,0,0,,121,"6,500"
Ashley Carty,0,0,,108,"18,000"
James Wattana,0,0,,109,"17,500"
Soheil Vahedi - Not active,,0,,103,"21,500"
