player,start_rank,start_points,difference,finish_rank,finish_points
Judd Trump,1,"1,648,500",,,0
Ronnie O'Sullivan - Not active,2,"1,101,000",,,0
Neil Robertson - Not active,3,"965,000",,,0
Mark Selby - Not active,4,"722,000",,,0
Mark Allen - Not active,5,"659,500",,,0
Kyren Wilson - Not active,6,"621,500",,,0
John Higgins - Not active,7,"534,500",,,0
Shaun Murphy,8,"481,000",,,0
Stephen Maguire,9,"478,500",,,0
Mark Williams - Not active,10,"447,750",,,0
David Gilbert,11,"401,000",,,0
Ding Junhui - Not active,12,"399,750",,,0
Stuart Bingham,13,"385,500",,,0
Jack Lisowski,14,"333,250",,,0
Yan Bingtao - Not active,15,"328,500",,,0
Joe Perry - Not active,16,"276,500",,,0
Barry Hawkins,17,"258,250",,,0
Gary Wilson,18,"258,100",,,0
Ali Carter - Not active,19,"256,000",,,0
Thepchaiya Un-Nooh - Not active,20,"248,225",,,0
Graeme Dott - Not active,21,"220,250",,,0
Anthony McGill - Not active,22,"215,000",,,0
Scott Donaldson - Not active,23,"206,250",,,0
Tom Ford - Not active,24,"198,750",,,0
Zhou Yuelong,25,"193,250",,,0
Matthew Selt,26,"186,350",,,0
Kurt Maflin - Not active,27,"181,100",,,0
Jimmy Robertson - Not active,28,"179,225",,,0
Zhao Xintong,29,"177,250",,,0
Michael Holt - Not active,30,"174,500",,,0
Xiao Guodong,31,"161,600",,,0
Noppon Saengkham - Not active,32,"161,500",,,0
Matthew Stevens,33,"160,750",,,0
Martin O'Donnell,34,"159,250",,,0
Liang Wenbo - Not active,35,"158,500",,,0
Mark King - Not active,36,"148,500",,,0
Ryan Day,37,"147,750",,,0
Luca Brecel - Not active,38,"147,500",,,0
Mark Davis - Not active,39,"142,725",,,0
Anthony Hamilton - Not active,40,"137,750",,,0
Hossein Vafaei,41,"137,500",,,0
Ben Woollaston,42,"136,850",,,0
Lyu Haotian - Not active,43,"134,750",,,0
Li Hang - Not active,44,"132,500",,,0
Yuan Sijun,45,"129,500",,,0
Ricky Walden,46,"128,750",,,0
Stuart Carrington - Not active,46,"128,750",,,0
Alan McManus,48,"115,250",,,0
Robert Milkins,49,"115,100",,,0
Marco Fu - Not active,50,"111,250",,,0
Lu Ning,51,"110,250",,,0
Akani Songsermsawad - Not active,52,"109,000",,,0
Martin Gould - Not active,53,"107,250",,,0
Tian Pengfei - Not active,54,"105,750",,,0
Mei Xiwen - Not active,55,"97,500",,,0
Daniel Wells - Not active,56,"96,750",,,0
Chris Wakelin - Not active,57,"96,475",,,0
Sam Craigie,58,"95,500",,,0
Andrew Higginson - Not active,59,"92,750",,,0
Elliot Slessor - Not active,60,"92,000",,,0
Luo Honghao - Not active,61,"87,000",,,0
Joe O'Connor - Not active,62,"86,750",,,0
Liam Highfield,63,"85,000",,,0
Mark Joyce - Not active,64,"84,750",,,0
Ian Burns,65,"49,000",,,0
Alexander Ursenbacher - Not active,66,"47,250",,,0
Louis Heathcote,67,"40,250",,,0
Nigel Bond,68,"39,750",,,0
David Grace - Not active,69,"38,250",,,0
Dominic Dale,70,"37,750",,,0
Eden Sharav - Not active,71,"30,000",,,0
Jackson Page,72,"28,000",,,0
Gerard Greene,73,"26,500",,,0
Mitchell Mann - Not active,73,"26,500",,,0
Barry Pinches - Not active,75,"20,000",,,0
Kacper Filipiak - Not active,76,"19,000",,,0
Si Jiahui,77,"17,500",,,0
Chang Bingyu - Not active,78,"17,250",,,0
Chen Zifan,79,"16,000",,,0
Soheil Vahedi - Not active,80,"15,500",,,0
Rod Lawler,81,"15,000",,,0
Igor Figueiredo - Not active,82,"14,500",,,0
James Cahill,82,"14,500",,,0
Jimmy White,84,"13,000",,,0
Xu Si,84,"13,000",,,0
Billy Joe Castle - Not active,86,"12,000",,,0
Jamie O'Neill - Not active,86,"12,000",,,0
Duane Jones - Not active,88,"11,750",,,0
Peter Lines - Not active,89,"10,000",,,0
David Lilley,90,"9,500",,,0
Brandon Sargeant - Not active,91,"9,000",,,0
Fraser Patrick,92,"8,500",,,0
Andy Hicks - Not active,93,"8,000",,,0
Bai Langning - Not active,93,"8,000",,,0
Amine Amiri - Not active,95,"7,000",,,0
Peifan Lei - Not active,96,"6,000",,,0
Alex Borg - Not active,97,"5,000",,,0
Aaron Hill,0,0,,,0
Allan Taylor - Not active,0,0,,,0
Andrew Pagett - Not active,0,0,,,0
Ashley Carty - Not active,0,0,,,0
Ashley Hugill - Not active,0,0,,,0
Ben Hancorn,0,0,,,0
Fan Zhengyi,0,0,,,0
Farakh Ajaib,0,0,,,0
Fergal O'Brien - Not active,0,0,,,0
Gao Yang,0,0,,,0
Iulian Boiko - Not active,0,0,,,0
Jak Jones,0,0,,,0
Jamie Clarke - Not active,0,0,,,0
Jamie Jones,0,0,,,0
Jamie Wilson - Not active,0,0,,,0
Jordan Brown - Not active,0,0,,,0
Ken Doherty - Not active,0,0,,,0
Lee Walker - Not active,0,0,,,0
Lukas Kleckers - Not active,0,0,,,0
Oliver Lines - Not active,0,0,,,0
Pang Junxu,0,0,,,0
Peter Devlin,0,0,,,0
Riley Parsons - Not active,0,0,,,0
Robbie Williams - Not active,0,0,,,0
Rory McLeod,0,0,,,0
Sean Maddocks - Not active,0,0,,,0
Simon Lichtenberg - Not active,0,0,,,0
Stephen Hendry - Not active,0,0,,,0
Steve Mifsud - Not active,0,0,,,0
Steven Hallworth - Not active,0,0,,,0
Zak Surety - Not active,0,0,,,0
Jianbo Zhao,0,0,,,0
