player,start_rank,start_points,difference,finish_rank,finish_points
Ray Edmonds,0,0,,34,0
Dennis Hughes,0,0,,0,0
Pat Houlihan,0,0,,0,0
Ian Black,0,0,,40,0
Paddy Morgan,0,0,,0,0
Colin Roscoe,0,0,,46,0
Geoff Foulds,0,0,,0,0
Matt Gibson,0,0,,0,0
Billy Kelly,0,0,,44,0
Mark Wildman,0,0,,24,0
Paul Medati,0,0,,0,0
Doug French,0,0,,0,0
Eddie Sinclair,0,0,,26,0
David Greaves,0,0,,0,0
John Pulman - Not active,0,0,,0,0
Joe Johnson,0,0,,23,0
Murdo Macleod,0,0,,27,0
Mario Morra,0,0,,0,0
Eugene Hughes,0,0,,35,0
Mike Watterson,0,0,,42,0
Eddie McLaughlin,0,0,,0,0
Maurice Parkin,0,0,,0,0
Derek Mienie - Not active,0,0,,0,0
Sid Hood - Not active,0,0,,0,0
Roy Andrewartha,0,0,,0,0
Jackie Rea,0,0,,48,0
Roy Amdor - Not active,0,0,,0,0
Kevin Robitaille - Not active,0,0,,0,0
Paul Thornley - Not active,0,0,,0,0
Kingsley Kennerley - Not active,0,0,,0,0
Jimmy van Rensberg - Not active,0,0,,0,0
Chris Ross,0,0,,0,0
John Phillips,0,0,,0,0
Bernie Mikkelsen - Not active,0,0,,0,0
Bert Demarco,0,0,,0,0
Ian Anderson,0,0,,0,0
Tommy Murphy,0,0,,0,0
Dessie Sheehan,0,0,,0,0
Frank Jonik,0,0,,45,0
Clive Everton,0,0,,47,0
Vic Harris,0,0,,0,0
Bernard Bennett,0,0,,0,0
Ray Reardon,1,0,-1,2,0
Jimmy White,10,0,-1,11,0
Perrie Mans,11,0,-6,17,0
John Spencer,12,0,-4,16,0
Dennis Taylor,13,0,0,13,0
Terry Griffiths,14,0,5,9,0
Tony Knowles,15,0,11,4,0
Willie Thorne,16,0,-2,18,0
Silvino Francisco,17,0,-4,21,0
Graham Miles,18,0,-4,22,0
John Virgo,19,0,5,14,0
Alex Higgins,2,0,-3,5,0
Fred Davis,20,0,-8,28,0
Jim Wych,21,0,-22,43,0
Dean Reynolds,22,0,3,19,0
Patsy Fagan,23,0,-2,25,0
Tony Meo,24,0,9,15,0
John Bear,25,0,25,0,0
Cliff Wilson,26,0,6,20,0
Dave Martin,27,0,-2,29,0
Jim Meadowcroft,28,0,-3,31,0
Jim Donnelly,29,0,-12,41,0
Cliff Thorburn,3,0,0,3,0
John Dunning,30,0,-3,33,0
Mike Hallett,31,0,-1,32,0
Jack Fitzmaurice,32,0,-6,38,0
Rex Williams,33,0,3,30,0
Steve Davis,4,0,3,1,0
Eddie Charlton,5,0,-1,6,0
Kirk Stevens,6,0,-1,7,0
Doug Mountjoy,7,0,-5,12,0
David Taylor,8,0,-2,10,0
Bill Werbeniuk,9,0,1,8,0
George Scott,0,0,,49,0
John Campbell,0,0,,39,0
Mick Fisher,0,0,,37,0
Les Dodd,0,0,,36,0
Marcus Owen,0,0,,0,0
Bob Harris,0,0,,0,0
Mike Darrington,0,0,,0,0
Paul Watchorn,0,0,,0,0
Pascal Burke,0,0,,0,0
Ian Williamson,0,0,,0,0
Graham Cripsey,0,0,,0,0
Warren King,0,0,,0,0
