player,start_rank,start_points,difference,finish_rank,finish_points
Terry Griffiths,9,0,1,8,0
Bill Werbeniuk,8,0,-6,14,0
Kirk Stevens,7,0,3,4,0
Eddie Charlton,6,0,0,6,0
Alex Higgins,5,0,-4,9,0
George Scott,49,0,12,37,0
Jackie Rea,48,0,-13,61,0
Clive Everton,47,0,-13,60,0
Colin Roscoe,46,0,7,39,0
Frank Jonik,45,0,-11,56,0
Billy Kelly,44,0,-15,59,0
Jim Wych,43,0,2,41,0
Mike Watterson,42,0,8,34,0
Jim Donnelly,41,0,5,36,0
Ian Black,40,0,-11,51,0
Tony Knowles,4,0,2,2,0
John Campbell,39,0,11,28,0
Jack Fitzmaurice,38,0,-6,44,0
Mick Fisher,37,0,-5,42,0
Les Dodd,36,0,-7,43,0
Eugene Hughes,35,0,8,27,0
Ray Edmonds,34,0,-16,50,0
John Dunning,33,0,-19,52,0
Mike Hallett,32,0,7,25,0
Jim Meadowcroft,31,0,-9,40,0
Rex Williams,30,0,-1,31,0
Cliff Thorburn,3,0,0,3,0
Dave Martin,29,0,3,26,0
Fred Davis,28,0,-18,46,0
Murdo Macleod,27,0,-2,29,0
Eddie Sinclair,26,0,-7,33,0
Patsy Fagan,25,0,-13,38,0
Mark Wildman,24,0,3,21,0
Joe Johnson,23,0,4,19,0
Graham Miles,22,0,-10,32,0
Silvino Francisco,21,0,4,17,0
Cliff Wilson,20,0,-3,23,0
Ray Reardon,2,0,-3,5,0
Dean Reynolds,19,0,-3,22,0
Willie Thorne,18,0,6,12,0
Perrie Mans,17,0,-7,24,0
John Spencer,16,0,3,13,0
Tony Meo,15,0,5,10,0
John Virgo,14,0,-4,18,0
Dennis Taylor,13,0,2,11,0
Doug Mountjoy,12,0,-3,15,0
Jimmy White,11,0,4,7,0
David Taylor,10,0,-6,16,0
Steve Davis,1,0,0,1,0
David Greaves,0,0,,0,0
Maurice Parkin,0,0,,0,0
John Bear,0,0,,53,0
Marcus Owen,0,0,,0,0
Chris Ross - Not active,0,0,,0,0
Dessie Sheehan,0,0,,0,0
Bob Harris,0,0,,0,0
Roy Andrewartha,0,0,,47,0
Mike Darrington,0,0,,0,0
Paul Watchorn,0,0,,0,0
Pascal Burke,0,0,,0,0
Bernie Mikkelsen,0,0,,0,0
John Phillips - Not active,0,0,,0,0
John Pulman - Not active,0,0,,0,0
Derek Mienie - Not active,0,0,,0,0
Ian Anderson,0,0,,0,0
Bert Demarco,0,0,,0,0
Eddie McLaughlin,0,0,,54,0
Paul Medati,0,0,,0,0
Paddy Morgan,0,0,,58,0
Geoff Foulds,0,0,,0,0
Tommy Murphy,0,0,,55,0
Ian Williamson,0,0,,0,0
Graham Cripsey,0,0,,0,0
Warren King,0,0,,48,0
Mario Morra,0,0,,35,0
Doug French,0,0,,0,0
Vic Harris,0,0,,0,0
Bernard Bennett,0,0,,0,0
Dennis Hughes,0,0,,0,0
Pat Houlihan,0,0,,0,0
Matt Gibson,0,0,,0,0
Sid Hood - Not active,0,0,,0,0
Steve Duggan,0,0,,57,0
Paul Mifsud,0,0,,49,0
Marcel Gauvreau,0,0,,45,0
Neal Foulds,0,0,,30,0
John Parrott,0,0,,20,0
Wayne Sanderson,0,0,,0,0
Mike Hines,0,0,,0,0
George Ganim,0,0,,0,0
John Hargreaves,0,0,,0,0
Tony Jones,0,0,,0,0
Joe Cagianello,0,0,,0,0
Gerry Watson,0,0,,0,0
Leon Heywood,0,0,,0,0
Paul Thornley,0,0,,0,0
James Giannaros,0,0,,0,0
Gino Rigitano,0,0,,0,0
Bill Oliver,0,0,,0,0
Paddy Browne,0,0,,0,0
Jimmy van Rensberg,0,0,,0,0
