player,start_rank,start_points,difference,finish_rank,finish_points
Dennis Taylor,9,0,5,4,0
John Spencer,8,0,6,2,0
Perrie Mans,7,0,-3,10,0
Rex Williams,6,0,-5,11,0
Graham Miles,5,0,-3,8,0
Fred Davis,4,0,-5,9,0
Eddie Charlton,3,0,0,3,0
Paddy Morgan,21,0,-4,25,0
Warren Simpson,20,0,-2,22,0
Alex Higgins,2,0,-3,5,0
Ian Anderson - Not active,19,0,-2,21,0
Bernard Bennett,18,0,-6,24,0
Marcus Owen - Not active,17,0,-6,23,0
David Taylor,16,0,4,12,0
John Pulman,15,0,8,7,0
Bill Werbeniuk,14,0,-3,17,0
Cliff Thorburn,13,0,7,6,0
Jim Meadowcroft,12,0,-3,15,0
John Dunning,11,0,-5,16,0
Gary Owen,10,0,-3,13,0
Ray Reardon,1,0,0,1,0
Pat Houlihan - Not active,0,0,,0,0
Sydney Lee - Not active,0,0,,0,0
Ernest Geoffrey Thompson - Not active,0,0,,0,0
Kingsley Kennerley - Not active,0,0,,0,0
Philip Tarrant - Not active,0,0,,0,0
Ron Mares,0,0,,0,0
Rex King - Not active,0,0,,0,0
Dennis Wheelwright,0,0,,0,0
Maurice Parkin,0,0,,0,0
David Greaves,0,0,,0,0
Lou Condo,0,0,,0,0
Ron Gross - Not active,0,0,,0,0
Willie Thorne,0,0,,20,0
Jackie Rea,0,0,,0,0
Jack Karnehm,0,0,,0,0
Patsy Fagan,0,0,,19,0
John Virgo,0,0,,18,0
Doug Mountjoy,0,0,,14,0
Roy Andrewartha,0,0,,0,0
Chris Ross,0,0,,0,0
