player,start_rank,start_points,difference,finish_rank,finish_points
Peter Lines,83,"9,375",-12,95,"7,600"
Ryan Day,69,"11,750",24,45,"16,350"
Stephen Lee,5,"42,400",-4,9,"30,700"
Michael Holt,39,"18,450",10,29,"21,600"
Robert Milkins,21,"25,075",-7,28,"21,762"
Dominic Dale,28,"22,750",-4,32,"20,725"
Ken Doherty,6,"40,375",-1,7,"32,212"
Stuart Pettman,47,"16,212",9,38,"17,787"
Nick Dyson,55,"15,050",11,44,"16,375"
Stephen Hendry,2,"44,800",-1,3,"40,950"
Anthony Davies,31,"21,579",-23,54,"13,987"
Paul Davies,74,"10,587",-6,80,"8,650"
Quinten Hann,14,"27,149",-4,18,"25,312"
Steve Davis,11,"28,775",-2,13,"27,087"
Joe Perry,16,"26,637",-4,20,"24,837"
Stuart Bingham,43,"16,925",6,37,"18,675"
Jimmy White,15,"26,887",4,11,"28,137"
Leo Fernandez,72,"10,975",5,67,"11,625"
Kwan Poomjang,71,"11,025",2,69,"11,000"
Michael Judge,37,"18,662",-5,42,"16,987"
John Higgins,4,"42,575",-1,5,"36,487"
Andy Hicks,62,"14,012",11,51,"14,762"
Ding Junhui,0,0,,76,"9,550"
Tom Ford,0,0,,74,"9,700"
Ricky Walden,99,"7,700",21,78,"8,975"
Ian McCulloch,26,"23,400",9,17,"25,350"
Marcus Campbell,56,"14,900",-7,63,"12,600"
Jimmy Michie,60,"14,337",5,55,"13,699"
Simon Bedford,93,"8,100",18,75,"9,600"
Marco Fu,19,"25,300",3,16,"26,212"
Alan McManus,10,"29,975",0,10,"29,250"
Jamie Burnett,46,"16,350",-3,49,"14,850"
Mark Davis,35,"19,050",-5,40,"17,150"
Ronnie O'Sullivan,3,"44,750",2,1,"46,775"
Shaun Murphy,64,"12,900",16,48,"15,187"
Tony Drago,24,"24,225",2,22,"23,675"
Brian Morgan,45,"16,700",-2,47,"15,950"
Sean Storey,51,"15,400",1,50,"14,787"
Jonathan Birch,48,"16,150",-16,64,"12,050"
Dave Finbow,52,"15,387",-10,62,"12,662"
David Gray,12,"28,012",-2,14,"26,912"
James Wattana,34,"19,674",1,33,"20,187"
Chris Small,18,"25,475",6,12,"27,550"
John Parrott,30,"21,862",-1,31,"20,887"
Paul Hunter,8,"36,950",4,4,"40,375"
Gerard Greene,38,"18,662",12,26,"22,325"
Dave Harold,23,"24,662",-11,34,"19,275"
Andrew Norman,92,"8,100",13,79,"8,875"
Mark Williams,1,"52,600",-1,2,"44,462"
Neil Robertson,0,0,,68,"11,400"
Adrian Gunnell,73,"10,950",13,60,"12,825"
Graeme Dott,13,"27,262",-2,15,"26,312"
Barry Hawkins,42,"17,375",-1,43,"16,600"
Barry Pinches,36,"18,675",15,21,"23,750"
Drew Henry,25,"23,600",-2,27,"22,150"
Ali Carter,17,"26,575",-2,19,"24,850"
Craig Butler,87,"8,900",14,73,"9,750"
Nigel Bond,40,"17,524",5,35,"19,162"
Robin Hull,32,"20,500",-14,46,"16,187"
Peter Ebdon,7,"39,900",-1,8,"31,550"
Patrick Wallace,50,"15,500",11,39,"17,762"
Rory McLeod,78,"9,625",12,66,"11,900"
Matthew Stevens,9,"32,875",3,6,"33,325"
Stephen Maguire,41,"17,475",17,24,"23,050"
Shokat Ali,49,"11,817",-16,65,"11,937"
Alfie Burden,59,"14,400",-13,72,"10,062"
Mark Selby,29,"22,000",-7,36,"19,137"
Fergal O'Brien,33,"20,124",-8,41,"17,037"
Rod Lawler,53,"15,137",-4,57,"13,412"
David Roe,57,"14,800",5,52,"14,237"
Joe Delaney,0,0,,81,"8,375"
Mike Dunn,58,"14,512",0,58,"13,224"
Paul Wykes,70,"11,675",0,70,"10,375"
Nick Walker,54,"15,125",-7,61,"12,762"
Anthony Hamilton,20,"24,662",-5,25,"22,974"
Lee Walker,81,"9,587",22,59,"13,050"
Gary Wilkinson,44,"16,850",-12,56,"13,650"
Bjorn Haneveer,61,"14,175",8,53,"14,225"
Mark King,22,"24,774",-1,23,"23,562"
Andrew Higginson,68,"11,775",-3,71,"10,250"
Joe Swail,27,"23,024",-3,30,"20,999"
Darren Morgan,63,"12,912",-14,77,"9,549"
Darryn Walker,0,0,,107,"6,950"
Colm Gilcreest,101,"7,650",17,84,"8,200"
Terry Murphy,65,"12,600",-48,113,"6,375"
Adrian Rosa,0,0,,88,"8,000"
Paul Sweeny,0,0,,103,"7,050"
Michael Wild,0,0,,121,"6,100"
Munraj Pal,95,"7,950",10,85,"8,200"
James Leadbetter,0,0,,125,"5,650"
Steve Mifsud,0,0,,115,"6,350"
Supoj Saenla,0,0,,118,"6,250"
Ian Preece,0,0,,93,"7,700"
Alain Robidoux,91,"8,125",-11,102,"7,075"
David Gilbert,84,"9,300",1,83,"8,250"
Andy Neck,0,0,,127,"5,450"
Gary Hardiman,0,0,,108,"6,800"
Steven Bennie,0,0,,124,"5,850"
Martin Dziewialtowski,89,"8,725",-3,92,"7,750"
Ian Sargeant,0,0,,119,"6,150"
Stephen Croft,0,0,,122,"5,950"
Johl Younger,88,"8,875",-3,91,"7,775"
Martin Gould,0,0,,105,"7,000"
Matthew Couch,79,"9,600",-21,100,"7,400"
Stuart Mann,0,0,,110,"6,550"
Wayne Brown,77,"9,850",-19,96,"7,600"
Mehmet Husnu,0,0,,117,"6,300"
Scott MacKenzie,0,0,,82,"8,350"
Joe Meara,0,0,,116,"6,300"
Gary Thomson,0,0,,87,"8,000"
Michael Rhodes,0,0,,106,"6,950"
Jamie Cope,97,"7,825",8,89,"7,925"
Kurt Maflin,125,0,28,97,"7,550"
Kristjan Helgason,66,"12,525",-35,101,"7,125"
Luke Simmonds,126,0,32,94,"7,600"
Chris Melling,0,0,,114,"6,350"
Jason Prince,80,"9,600",-18,98,"7,500"
Ian Brumby,0,0,,123,"5,900"
Tony Jones,85,"9,250",-26,111,"6,500"
Liu Song,0,0,,90,"7,850"
Philip Williams,0,0,,99,"7,425"
Luke Fisher,90,"8,350",-22,112,"6,425"
Jason Ferguson,86,"9,000",-23,109,"6,600"
Bradley Jones,75,"10,562",-29,104,"7,000"
Joe Johnson,96,"7,875",-30,126,"5,500"
Carlo Giagnacovo,0,0,,120,"6,125"
Atthasit Mahitthi,100,"7,650",14,86,"8,050"
Billy Snaddon,67,"11,787",67,0,0
