player,start_rank,start_points,difference,finish_rank,finish_points
Jackie Rea,99,0,-18,117,0
Paul Watchorn,98,0,-16,114,0
Bernie Mikkelsen,97,0,-25,122,0
Ian Black,96,0,-25,121,0
Glen Wilkinson,95,0,4,91,0
Jim Meadowcroft,94,0,-21,115,0
Eric Lawlor,93,0,-3,96,0
John Dunning,92,0,-3,95,0
Gino Rigitano,91,0,-25,116,0
George Scott,90,0,17,73,0
Mike Hallett,9,0,3,6,0
Ian Williamson,89,0,-3,92,0
Matt Gibson,88,0,-24,112,0
Jimmy van Rensberg,87,0,-22,109,0
Jim Bear,86,0,-2,88,0
Eddie Sinclair,85,0,-9,94,0
Bill Oliver,84,0,-1,85,0
Fred Davis,83,0,-6,89,0
Mario Morra,82,0,-4,86,0
John Rea,81,0,15,66,0
Tony Kearney,80,0,-21,101,0
Tony Knowles,8,0,-4,12,0
Robbie Grace,79,0,-34,113,0
Geoff Foulds,78,0,-40,118,0
Bob Harris,77,0,-16,93,0
Mark Wildman,76,0,-21,97,0
Malcolm Bradley,75,0,-12,87,0
Jim Donnelly,74,0,-10,84,0
Jim Chambers,73,0,13,60,0
Martin Smith,72,0,-4,76,0
Vic Harris,71,0,-12,83,0
Brian Rowswell,70,0,-9,79,0
John Parrott,7,0,5,2,0
Paul Gibson,69,0,-13,82,0
Paul Medati,68,0,-12,80,0
Colin Roscoe,67,0,19,48,0
Robby Foldvari,66,0,-11,77,0
Graham Miles,65,0,-13,78,0
Jack McLaughlin,64,0,6,58,0
Marcel Gauvreau,63,0,-5,68,0
Les Dodd,62,0,-3,65,0
Jon Wright,61,0,-6,67,0
Roger Bales,60,0,-1,61,0
Cliff Thorburn,6,0,-1,7,0
Pat Houlihan,59,0,-22,81,0
Mick Fisher,58,0,-6,64,0
Dave Gilbert,57,0,-6,63,0
Nigel Gilbert,56,0,10,46,0
Ray Edmonds,55,0,6,49,0
Paddy Browne,54,0,10,44,0
Ken Owers,53,0,-22,75,0
Mark Bennett,52,0,5,47,0
Tony Chappel,51,0,10,41,0
Steve Duggan,50,0,7,43,0
Terry Griffiths,5,0,0,5,0
Tony Jones,49,0,-13,62,0
Murdo Macleod,48,0,3,45,0
Bill Werbeniuk,47,0,47,0,0
Graham Cripsey,46,0,-5,51,0
Gary Wilkinson,45,0,6,39,0
Warren King,44,0,-11,55,0
Danny Fowler,43,0,7,36,0
Tommy Murphy,42,0,-15,57,0
Martin Clark,41,0,24,17,0
Ray Reardon,40,0,-14,54,0
Stephen Hendry,4,0,1,3,0
David Roe,39,0,13,26,0
Jim Wych,38,0,1,37,0
Kirk Stevens,37,0,-13,50,0
Dave Martin,36,0,-20,56,0
Joe O'Boye,35,0,-5,40,0
