player,start_rank,start_points,difference,finish_rank,finish_points
Fraser Patrick,0,0,,0,0
Patrick Wallace,0,0,,72,"10,675"
Andy Hicks,41,"14,976",-15,56,"13,263"
Joe Jogia,67,"10,738",-2,69,"10,763"
Ashley Wright,0,0,,0,0
Mark Davis,43,"14,775",-15,58,"13,088"
Marcus Campbell,52,"13,325",10,42,"16,325"
Gerard Greene,32,"17,900",-1,33,"19,538"
Ben Woollaston,75,"9,075",-11,86,"8,363"
Lyu Chuang,0,0,,79,"10,050"
Supoj Saenla,0,0,,77,"10,488"
Michael Holt,24,"21,613",-10,34,"19,288"
Ronnie O'Sullivan,5,"33,600",4,1,"51,150"
David Gilbert,45,"14,550",2,43,"16,225"
David Gray,35,"17,163",-14,49,"14,338"
Barry Hawkins,19,"23,750",-8,27,"22,125"
Jamie Burnett,46,"14,500",1,45,"16,013"
Alan McManus,38,"16,525",1,37,"18,263"
Anthony Hamilton,26,"20,451",-5,31,"20,813"
Xiao Guodong,0,0,,81,"9,425"
Rory McLeod,48,"14,025",4,44,"16,125"
Stephen Maguire,10,"30,550",8,2,"45,525"
Mark King,21,"22,425",6,15,"26,000"
Peter Ebdon,6,"33,550",-3,9,"32,975"
Rodney Goggins,0,0,,75,"10,563"
Jimmy Robertson,0,0,,0,0
Neil Robertson,7,"33,125",-3,10,"32,950"
Ken Doherty,4,"35,800",-14,18,"25,119"
Judd Trump,51,"13,450",10,41,"16,351"
Gareth Coppack,0,0,,83,"9,000"
Munraj Pal,0,0,,0,0
Robert Milkins,47,"14,201",-4,51,"14,113"
Liang Wenbo,66,"10,900",26,40,"17,275"
Mark Allen,29,"18,900",13,16,"25,725"
Mark Williams,12,"27,125",-10,22,"23,925"
Ali Carter,14,"25,300",7,7,"34,175"
Lee Walker,0,0,,82,"9,113"
Michael White,0,0,,0,0
John Parrott,39,"16,288",0,39,"17,450"
David Roe,55,"13,113",3,52,"14,038"
Matthew Stevens,20,"23,550",3,17,"25,413"
Shaun Murphy,3,"37,700",0,3,"45,050"
Scott MacKenzie,63,"11,325",-7,70,"10,688"
Kurt Maflin,0,0,,80,"9,675"
Ding Junhui,9,"30,800",-2,11,"32,194"
Fergal O'Brien,37,"16,950",13,24,"22,538"
Lee Spick,65,"11,050",-3,68,"10,950"
Stuart Pettman,53,"13,288",-9,62,"12,476"
Rod Lawler,49,"13,650",-11,60,"12,713"
Stephen Lee,13,"26,150",-13,26,"22,219"
Mike Dunn,59,"12,288",12,47,"15,501"
Marco Fu,27,"20,425",13,14,"27,000"
Alex Davies,0,0,,84,"8,950"
Jimmy Michie,61,"11,988",15,46,"15,550"
Mark Joyce,73,"9,500",14,59,"12,963"
Jamie Cope,22,"22,250",3,19,"24,744"
Martin Gould,0,0,,63,"11,813"
Alfie Burden,74,"9,500",74,0,0
Tom Ford,50,"13,475",2,48,"14,825"
Andrew Norman,42,"14,888",-12,54,"13,801"
Stuart Bingham,23,"22,150",2,21,"24,625"
Drew Henry,57,"12,500",-17,74,"10,588"
Adrian Gunnell,40,"15,500",4,36,"18,375"
Mark Selby,11,"27,400",7,4,"38,325"
Tian Pengfei,69,"10,225",2,67,"10,963"
John Higgins,1,"42,250",-4,5,"37,925"
Paul Davies,62,"11,713",5,57,"13,101"
Jamie O'Neill,0,0,,0,0
Dave Harold,30,"18,875",2,28,"21,494"
David Morris,71,"9,600",7,64,"11,538"
Issara Kachaiwong,0,0,,85,"8,888"
Jimmy White,60,"12,175",-5,65,"11,513"
Graeme Dott,2,"37,775",-11,13,"27,144"
Tony Drago,68,"10,450",-5,73,"10,650"
James Wattana,33,"17,688",-33,66,"11,426"
Matthew Selt,0,0,,71,"10,688"
Joe Delaney,58,"12,400",-3,61,"12,701"
Ian McCulloch,28,"19,126",3,25,"22,432"
Kevin van Hove,0,0,,0,0
Andrew Higginson,44,"14,725",6,38,"17,513"
Dominic Dale,31,"18,075",-1,32,"20,688"
Leo Fernandez,0,0,,78,"10,150"
Steve Davis,15,"24,950",-14,29,"21,419"
Barry Pinches,56,"12,638",6,50,"14,250"
Joe Swail,17,"24,350",-3,20,"24,725"
James McBain,0,0,,76,"10,550"
Michael Judge,34,"17,550",4,30,"20,825"
Steve Mifsud,0,0,,0,0
Ryan Day,16,"24,500",8,8,"33,875"
Ian Preece,64,"11,050",9,55,"13,475"
Stephen Hendry,8,"32,475",2,6,"34,275"
Ricky Walden,36,"16,965",1,35,"18,975"
Robin Hull,54,"13,113",54,0,0
Nigel Bond,25,"20,688",2,23,"23,613"
Liu Song,72,"9,525",19,53,"13,900"
Joe Perry,18,"23,925",6,12,"30,425"
