player,start_rank,start_points,difference,finish_rank,finish_points
Mark Selby,1,"760,382",0,1,"680,041"
Stuart Bingham,2,"608,028",0,2,"586,720"
Neil Robertson,3,"602,693",-2,5,"406,360"
Ding Junhui,4,"592,100",-5,9,"314,925"
Ronnie O'Sullivan,5,"465,866",-5,10,"296,250"
Shaun Murphy,6,"457,499",2,4,"450,058"
Judd Trump,7,"395,832",4,3,"453,166"
Barry Hawkins,8,"381,433",-6,14,"228,025"
Joe Perry,9,"358,723",-2,11,"290,083"
Ricky Walden,10,"318,171",2,8,"324,752"
Marco Fu,11,"315,566",-1,12,"253,241"
Mark Allen,12,"314,500",5,7,"392,700"
John Higgins,13,"284,000",7,6,"400,925"
Mark Williams,14,"246,233",1,13,"237,375"
Stephen Maguire,15,"200,966",-3,18,"181,450"
Robert Milkins,16,"187,660",-5,21,"163,644"
Michael White,17,"177,220",-2,19,"178,033"
Graeme Dott,18,"175,516",-6,24,"151,483"
Mark Davis,19,"171,985",-7,26,"139,877"
Ryan Day,20,"162,987",-3,23,"153,807"
Xiao Guodong,21,"150,599",-30,51,"71,045"
Liang Wenbo,22,"145,901",5,17,"187,101"
Alan McManus,23,"137,206",3,20,"163,951"
Anthony McGill,24,"137,112",-4,28,"135,017"
Michael Holt,25,"131,475",-4,29,"133,533"
Martin Gould,26,"125,111",11,15,"217,759"
Fergal O'Brien,27,"121,849",-13,40,"85,925"
Matthew Stevens,28,"117,626",-16,44,"79,018"
Ali Carter,29,"114,050",-3,32,"121,050"
Matthew Selt,30,"110,157",5,25,"150,000"
Peter Ebdon,31,"108,917",0,31,"123,842"
Ben Woollaston,32,"108,203",5,27,"137,699"
Dominic Dale,33,"105,824",-5,38,"87,308"
Gary Wilson,34,"102,775",-8,42,"79,674"
David Gilbert,35,"101,716",13,22,"155,683"
Mark King,36,"98,834",0,36,"97,717"
Kurt Maflin,37,"96,730",-13,50,"72,283"
Jamie Jones,38,"96,083",3,35,"98,183"
Rod Lawler,39,"94,870",-8,47,"75,724"
Gerard Greene,40,"87,809",-26,66,"45,132"
Jimmy Robertson,41,"86,610",7,34,"98,372"
Mike Dunn,42,"80,342",5,37,"87,430"
Dechawat Poomjaeng,43,"80,061",-2,45,"78,290"
Luca Brecel,44,"78,431",14,30,"130,357"
Ken Doherty,45,"78,338",-12,57,"63,983"
Jamie Burnett,46,"77,950",-12,58,"60,608"
Mark Joyce,47,"76,331",6,41,"79,691"
Andrew Higginson,48,"75,026",-8,56,"64,358"
Thepchaiya Un-Nooh,49,"71,745",16,33,"103,207"
Robbie Williams,50,"70,164",-5,55,"65,174"
David Morris,51,"70,016",-18,69,"42,233"
Yu Delu,52,"69,819",-11,63,"50,400"
Jack Lisowski,53,"69,332",14,39,"86,149"
Aditya Mehta,54,"68,041",-21,75,"30,556"
Li Hang,55,"65,194",3,52,"70,925"
Kyren Wilson,56,"62,251",40,16,"195,899"
Peter Lines,57,"61,618",-16,73,"36,525"
Anthony Hamilton,58,"61,399",-13,71,"39,223"
Tom Ford,59,"60,324",16,43,"79,533"
Cao Yupeng,60,"59,447",-12,72,"38,175"
Robin Hull,61,"56,166",2,59,"60,566"
Rory McLeod,62,"56,149",13,49,"72,716"
Stuart Carrington,63,"55,733",-1,64,"49,431"
Joe Swail,64,"54,582",11,53,"66,997"
Sam Baird,65,"36,332",19,46,"76,107"
Craig Steadman,66,"30,449",-2,68,"42,999"
Liam Highfield,67,"29,066",0,67,"44,716"
Zhou Yuelong,68,"28,283",14,54,"65,658"
Oliver Lines,69,"27,833",8,61,"50,808"
Tian Pengfei,70,"23,116",22,48,"74,616"
Zhang Anda,71,"21,216",6,65,"45,816"
Joel Walker,72,"17,566",-8,80,"24,666"
Mitchell Mann,73,"17,366",3,70,"40,791"
Ian Burns,74,"16,672",12,62,"50,622"
Michael Georgiou,75,"15,766",-2,77,"28,591"
Michael Wasley,76,"13,582",-11,87,"14,582"
Scott Donaldson,77,"12,866",-5,82,"23,541"
Barry Pinches,78,"12,839",-11,89,"13,639"
Chris Melling,79,"10,832",-13,92,"12,757"
Zak Surety,80,"10,666",-6,86,"14,616"
Tony Drago,81,"10,416",-14,95,"10,941"
Thanawat Thirapongpaiboon,82,"8,000",-15,97,"8,800"
Lee Walker,83,"7,983",9,74,"32,833"
Michael Leslie,84,"7,972",-10,94,"11,422"
David Grace,85,"5,166",25,60,"59,516"
Lyu Chenwei,86,"3,600",-23,109,"4,125"
Lu Ning,87,"3,067",-14,101,"6,817"
Ian Glover,88,"2,966",-20,108,"4,141"
Steven Hallworth,89,"2,416",-16,105,"6,191"
Rouzi Maimaiti,90,"1,700",-25,115,"2,100"
Ju Reti,91,"1,400",-27,118,"1,400"
Lyu Chuang - Not active,92,600,-29,121,600
Steve Mifsud - Not active,93,0,-30,123,0
Thor Chuan Leong,93,0,-13,106,"5,925"
Nigel Bond,0,0,,85,"18,775"
Jamie Cope,0,0,,79,"25,100"
Alfie Burden,0,0,,76,"30,100"
Chris Wakelin,0,0,,84,"21,700"
Jimmy White,0,0,,122,500
Noppon Saengkham,0,0,,83,"23,500"
Fraser Patrick,0,0,,117,"2,050"
James Cahill,0,0,,111,"3,700"
Ross Muir,0,0,,81,"24,150"
Allan Taylor,0,0,,112,"3,500"
Steve Davis,0,0,,104,"6,583"
James Wattana,0,0,,107,"5,300"
Stephen Hendry - Not active,0,0,,123,0
Sean O'Sullivan,0,0,,91,"13,250"
Zhang Yong,0,0,,99,"8,000"
Martin O'Donnell,0,0,,78,"26,875"
Sanderson Lam,0,0,,98,"8,700"
Hossein Vafaei,0,0,,90,"13,625"
Darryl Hill,0,0,,93,"11,550"
Hamza Akbar,0,0,,103,"6,600"
Akani Songsermsawad,0,0,,123,0
Itaro Santos,0,0,,123,0
Vinnie Calabrese,0,0,,120,750
Sydney Wilson,0,0,,102,"6,750"
Rhys Clark,0,0,,96,"9,825"
Daniel Wells,0,0,,88,"14,300"
Eden Sharav,0,0,,114,"2,700"
Hatem Yassen,0,0,,123,0
Gareth Allen,0,0,,113,"2,775"
Duane Jones,0,0,,119,775
Jason Weston,0,0,,115,"2,100"
Paul Davison,0,0,,100,"7,750"
Michael Wild,0,0,,110,"4,000"
Igor Figueiredo,0,0,,123,0
