player,start_rank,start_points,difference,finish_rank,finish_points
Graham Miles,9,0,-7,16,0
Terry Griffiths,8,0,3,5,0
Perrie Mans,7,0,0,7,0
Fred Davis,6,0,-2,8,0
Cliff Thorburn,5,0,3,2,0
John Spencer,4,0,-11,15,0
Eddie Charlton,3,0,0,3,0
Paddy Morgan,28,0,1,27,0
Bernard Bennett,27,0,1,26,0
Marcus Owen - Not active,26,0,26,0,0
Ian Anderson,25,0,0,25,0
Warren Simpson - Not active,24,0,24,0,0
John Dunning,23,0,-1,24,0
Jim Meadowcroft,22,0,-1,23,0
Rex Williams,21,0,-1,22,0
Pat Houlihan,20,0,-1,21,0
Dennis Taylor,2,0,-4,6,0
Kirk Stevens,19,0,8,11,0
Steve Davis,18,0,5,13,0
Willie Thorne,17,0,-3,20,0
Patsy Fagan,16,0,-2,18,0
David Taylor,15,0,6,9,0
John Pulman,14,0,-5,19,0
Doug Mountjoy,13,0,-1,14,0
Bill Werbeniuk,12,0,2,10,0
Alex Higgins,11,0,7,4,0
John Virgo,10,0,-2,12,0
Ray Reardon,1,0,0,1,0
Chris Ross,0,0,,0,0
Maurice Parkin,0,0,,0,0
Derek Mienie,0,0,,0,0
Roy Amdor,0,0,,0,0
David Greaves,0,0,,0,0
Jackie Rea,0,0,,0,0
John Barrie - Not active,0,0,,0,0
Jimmy van Rensberg,0,0,,0,0
Ray Edmonds,0,0,,0,0
Roy Andrewartha,0,0,,0,0
Gary Owen,0,0,,0,0
Jack Karnehm - Not active,0,0,,0,0
Jim Wych,0,0,,17,0
Kingsley Kennerley,0,0,,0,0
Bernie Mikkelsen,0,0,,0,0
Mario Morra,0,0,,0,0
Tony Meo,0,0,,0,0
Cliff Wilson,0,0,,0,0
Paul Thornley,0,0,,0,0
Sid Hood,0,0,,0,0
Frank Jonik,0,0,,0,0
Mike Hallett,0,0,,0,0
Eddie Sinclair,0,0,,0,0
Mark Wildman,0,0,,0,0
Joe Johnson,0,0,,0,0
John Bear,0,0,,0,0
Kevin Robitaille,0,0,,0,0
