player,start_rank,start_points,difference,finish_rank,finish_points
David Gilbert,0,0,,84,"9,300"
Paul Hunter,9,"31,309",1,8,"36,950"
Steve Davis,25,"21,775",14,11,"28,775"
Quinten Hann,14,"26,232",0,14,"27,149"
Alan McManus,15,"25,740",5,10,"29,975"
Stephen Hendry,6,"42,128",4,2,"44,800"
Joe Perry,13,"26,969",-3,16,"26,637"
Marco Fu,27,"20,293",8,19,"25,300"
Graeme Dott,12,"27,159",-1,13,"27,262"
Peter Ebdon,3,"44,652",-4,7,"39,900"
David Gray,19,"22,868",7,12,"28,012"
Ken Doherty,5,"43,479",-1,6,"40,375"
Jimmy White,10,"28,934",-5,15,"26,887"
Ronnie O'Sullivan,1,"50,024",-2,3,"44,750"
Ali Carter,31,"18,539",14,17,"26,575"
Matthew Stevens,8,"32,879",-1,9,"32,875"
Chris Small,29,"19,423",11,18,"25,475"
John Higgins,4,"44,334",0,4,"42,575"
Stephen Lee,7,"39,669",2,5,"42,400"
Mark Williams,2,"46,785",1,1,"52,600"
Euan Henderson,67,"11,397",-9,76,"10,475"
Ryan Day,0,0,,69,"11,750"
Mike Dunn,60,"13,342",2,58,"14,512"
Martin Dziewialtowski,89,"9,064",0,89,"8,725"
Andy Hicks,61,"13,231",-1,62,"14,012"
Munraj Pal,0,0,,95,"7,950"
Alain Robidoux,77,"10,037",-14,91,"8,125"
Fergal O'Brien,23,"22,408",-10,33,"20,124"
Nigel Bond,30,"19,038",-10,40,"17,524"
Johl Younger,0,0,,88,"8,875"
Ian McCulloch,43,"15,958",17,26,"23,400"
Kwan Poomjang,114,"6,833",43,71,"11,025"
Drew Henry,22,"22,541",-3,25,"23,600"
Dave Finbow,49,"14,765",-3,52,"15,387"
Jamie Cope,0,0,,97,"7,825"
Barry Hawkins,51,"14,649",9,42,"17,375"
Troy Shaw,83,"9,650",-11,94,"7,975"
Michael Judge,24,"22,018",-13,37,"18,662"
Rory McLeod,88,"9,083",10,78,"9,625"
Shaun Murphy,72,"10,583",8,64,"12,900"
Andrew Norman,99,"8,233",7,92,"8,100"
David Roe,48,"14,898",-9,57,"14,800"
Anthony Davies,26,"21,053",-5,31,"21,587"
Alfie Burden,38,"16,698",-21,59,"14,400"
Rod Lawler,66,"11,552",13,53,"15,137"
Luke Fisher,94,"8,558",4,90,"8,350"
Mark Selby,53,"14,395",24,29,"22,000"
Robin Hull,39,"16,528",7,32,"20,500"
Craig Butler,93,"8,633",6,87,"8,900"
Terry Murphy,45,"15,083",-20,65,"12,600"
Matthew Couch,79,"9,942",0,79,"9,600"
Shokat Ali,34,"17,921",-15,49,"15,950"
Mark King,11,"27,432",-11,22,"24,774"
James Wattana,32,"18,371",-2,34,"19,674"
Bjorn Haneveer,59,"13,566",-2,61,"14,175"
Adrian Gunnell,70,"10,680",-3,73,"10,950"
Anthony Hamilton,17,"23,836",-3,20,"25,212"
Jonathan Birch,47,"15,014",-1,48,"16,150"
Gerard Greene,63,"12,815",25,38,"18,537"
Michael Holt,35,"17,519",-4,39,"18,450"
Nick Dyson,62,"13,063",7,55,"15,050"
Dominic Dale,20,"22,674",-8,28,"22,750"
Billy Snaddon,40,"16,403",-27,67,"11,787"
John Parrott,18,"23,488",-12,30,"21,862"
Mark Davis,37,"16,910",2,35,"19,050"
Joe Johnson,90,"8,872",-6,96,"7,875"
Tony Drago,28,"19,779",4,24,"24,225"
Robert Milkins,33,"18,073",12,21,"25,075"
Paul Davies,65,"11,839",-9,74,"10,587"
Dave Harold,21,"22,615",-2,23,"24,662"
Darren Morgan,54,"14,377",-9,63,"12,912"
Antony Bolsover,68,"11,295",-14,82,"9,425"
Joe Swail,16,"24,879",-11,27,"23,024"
Kristjan Helgason,75,"10,352",9,66,"12,525"
Patrick Wallace,36,"17,404",-14,50,"15,500"
Bradley Jones,50,"14,699",-25,75,"10,562"
Stuart Pettman,58,"13,715",11,47,"16,212"
Gary Wilkinson,46,"15,076",2,44,"16,850"
Leo Fernandez,0,0,,72,"10,975"
Paul Wykes,69,"10,825",-1,70,"11,675"
Simon Bedford,0,0,,93,"8,100"
Stuart Bingham,57,"13,735",14,43,"16,925"
Sean Storey,82,"9,685",31,51,"15,400"
Andrew Higginson,71,"10,676",3,68,"11,775"
Marcus Campbell,41,"16,062",-15,56,"14,900"
Barry Pinches,56,"13,846",20,36,"18,675"
Lee Walker,76,"10,252",-5,81,"9,587"
Stephen Maguire,52,"14,419",11,41,"17,475"
Peter Lines,74,"10,363",-9,83,"9,375"
Jason Prince,81,"9,908",1,80,"9,600"
Jason Ferguson,85,"9,533",-1,86,"9,000"
Ricky Walden,109,"7,183",10,99,"7,700"
Jamie Burnett,44,"15,230",-2,46,"16,350"
Tony Jones,84,"9,624",-1,85,"9,250"
Brian Morgan,42,"16,033",-3,45,"16,700"
Nick Walker,64,"11,958",10,54,"15,125"
Jimmy Michie,55,"14,286",-5,60,"14,337"
Wayne Brown,80,"9,921",3,77,"9,850"
John Read,91,"8,683",-7,98,"7,800"
Pang Weiguo,0,0,,117,"6,800"
David Donovan,0,0,,122,"6,000"
Bob Chaperon,0,0,,126,0
Matthew Selt,0,0,,127,0
Paul Davison,98,"8,283",-12,110,"7,100"
Jimmy Robertson,0,0,,121,"6,200"
David McLellan,0,0,,128,0
Matthew Farrant,0,0,,124,"5,000"
Stephen Kershaw,95,"8,533",-9,104,"7,375"
James Reynolds,0,0,,106,"7,125"
Jeff Cundy,97,"8,443",-5,102,"7,500"
David John,0,0,,111,"7,050"
Mark Gray,100,"7,891",-3,103,"7,400"
Justin Astley,0,0,,108,"7,100"
Manan Chandra,0,0,,107,"7,100"
Peter Roscoe,0,0,,120,"6,400"
Phaitoon Phonbun,92,"8,644",-13,105,"7,150"
Colm Gilcreest,0,0,,101,"7,650"
Jin Long,0,0,,118,"6,450"
Nick Pearce,96,"8,507",-17,113,"6,950"
Neal Foulds,78,"9,958",-36,114,"6,950"
Mario Wehrmann,0,0,,125,0
Darren Clarke,0,0,,109,"7,100"
Jason Weston,0,0,,112,"7,050"
Eddie Manning,0,0,,123,"5,800"
Atthasit Mahitthi,104,"7,583",4,100,"7,650"
Hugh Abernethy,87,"9,212",-32,119,"6,400"
Stefan Mazrocis,0,0,,115,"6,900"
Lee Spick,0,0,,116,"6,850"
