Tournament,Type,Winner,url,season,tourn_id,prize_fund
2000 Thailand Masters,Ranking,Mark Williams,https://cuetracker.net/tournaments/thailand-masters/2000/313,1999,313,"GBP 266,790"
2000 Malta Grand Prix,Ranking,Ken Doherty,https://cuetracker.net/tournaments/malta-grand-prix/2000/314,1999,314,"GBP 290,220"
2000 Masters,Invitational,Matthew Stevens,https://cuetracker.net/tournaments/masters/2000/315,1999,315,"GBP 615,000"
2000 Welsh Open,Ranking,John Higgins,https://cuetracker.net/tournaments/welsh-open/2000/316,1999,316,"GBP 401,250"
2000 Premier League,League,Stephen Hendry,https://cuetracker.net/tournaments/premier-league/2000/310,1999,310,"GBP 123,500"
1999 China Open,Ranking,Ronnie O'Sullivan,https://cuetracker.net/tournaments/china-open/1999/317,1999,317,"GBP 296,905"
1999 UK Championship,Ranking,Mark Williams,https://cuetracker.net/tournaments/uk-championship/1999/318,1999,318,"GBP 495,350"
1999 Grand Prix,Ranking,John Higgins,https://cuetracker.net/tournaments/grand-prix/1999/320,1999,320,"GBP 392,150"
1999 Scottish Masters,Invitational,Matthew Stevens,https://cuetracker.net/tournaments/scottish-masters/1999/322,1999,322,"GBP 181,900"
1999 British Open,Ranking,Stephen Hendry,https://cuetracker.net/tournaments/british-open/1999/324,1999,324,"GBP 399,200"
1999 Champions Cup,Invitational,Stephen Hendry,https://cuetracker.net/tournaments/champions-cup/1999/325,1999,325,"GBP 175,000"
1999 Millennium Cup,Invitational,Stephen Lee,https://cuetracker.net/tournaments/millennium-cup/1999/326,1999,326,GBP 0
2001 World Championship,Ranking,Ronnie O'Sullivan,https://cuetracker.net/tournaments/world-championship/2001/285,2000,285,"GBP 1,521,500"
2001 Scottish Open,Ranking,Peter Ebdon,https://cuetracker.net/tournaments/scottish-open/2001/287,2000,287,"GBP 438,050"
2001 Irish Masters,Invitational,Ronnie O'Sullivan,https://cuetracker.net/tournaments/irish-masters/2001/288,2000,288,"GBP 153,340"
2001 Thailand Masters,Ranking,Ken Doherty,https://cuetracker.net/tournaments/thailand-masters/2001/289,2000,289,"GBP 281,525"
2001 Malta Grand Prix,Invitational,Stephen Hendry,https://cuetracker.net/tournaments/malta-grand-prix/2001/290,2000,290,"GBP 36,000"
2001 Masters,Invitational,Paul Hunter,https://cuetracker.net/tournaments/masters/2001/291,2000,291,"GBP 650,000"
2001 Welsh Open,Ranking,Ken Doherty,https://cuetracker.net/tournaments/welsh-open/2001/292,2000,292,"GBP 440,200"
2001 Premier League,League,Ronnie O'Sullivan,https://cuetracker.net/tournaments/premier-league/2001/286,2000,286,"GBP 150,000"
2000 China Open,Ranking,Ronnie O'Sullivan,https://cuetracker.net/tournaments/china-open/2000/295,2000,295,"GBP 311,080"
2000 UK Championship,Ranking,John Higgins,https://cuetracker.net/tournaments/uk-championship/2000/297,2000,297,"GBP 542,780"
2000 Scottish Masters,Invitational,Ronnie O'Sullivan,https://cuetracker.net/tournaments/scottish-masters/2000/300,2000,300,"GBP 193,000"
2000 Grand Prix,Ranking,Mark Williams,https://cuetracker.net/tournaments/grand-prix/2000/302,2000,302,"GBP 426,350"
2000 British Open,Ranking,Peter Ebdon,https://cuetracker.net/tournaments/british-open/2000/303,2000,303,"GBP 438,300"
2000 Champions Cup,Invitational,Ronnie O'Sullivan,https://cuetracker.net/tournaments/champions-cup/2000/305,2000,305,"GBP 200,000"
2002 World Championship,Ranking,Peter Ebdon,https://cuetracker.net/tournaments/world-championship/2002/261,2001,261,"GBP 1,614,585"
2002 Scottish Open,Ranking,Stephen Lee,https://cuetracker.net/tournaments/scottish-open/2002/264,2001,264,"GBP 597,200"
2002 Irish Masters,Invitational,John Higgins,https://cuetracker.net/tournaments/irish-masters/2002/267,2001,267,"GBP 164,500"
2002 Thailand Masters,Ranking,Mark Williams,https://cuetracker.net/tournaments/thailand-masters/2002/268,2001,268,"GBP 477,900"
2002 China Open,Ranking,Mark Williams,https://cuetracker.net/tournaments/china-open/2002/270,2001,270,"GBP 450,800"
2002 Masters,Invitational,Paul Hunter,https://cuetracker.net/tournaments/masters/2002/272,2001,272,"GBP 695,000"
2002 Welsh Open,Ranking,Paul Hunter,https://cuetracker.net/tournaments/welsh-open/2002/293,2001,293,"GBP 597,200"
2002 Premier League,League,Ronnie O'Sullivan,https://cuetracker.net/tournaments/premier-league/2002/259,2001,259,"GBP 180,000"
2001 UK Championship,Ranking,Ronnie O'Sullivan,https://cuetracker.net/tournaments/uk-championship/2001/273,2001,273,"GBP 755,250"
2001 European Open,Ranking,Stephen Hendry,https://cuetracker.net/tournaments/european-open/2001/275,2001,275,"GBP 250,000"
2001 LG Cup,Ranking,Stephen Lee,https://cuetracker.net/tournaments/lg-cup/2001/278,2001,278,"GBP 617,200"
2001 British Open,Ranking,John Higgins,https://cuetracker.net/tournaments/british-open/2001/279,2001,279,"GBP 670,250"
2001 Scottish Masters,Invitational,John Higgins,https://cuetracker.net/tournaments/scottish-masters/2001/281,2001,281,"GBP 187,000"
2001 Champions Cup,Invitational,John Higgins,https://cuetracker.net/tournaments/champions-cup/2001/283,2001,283,"GBP 200,000"
2003 World Championship,Ranking,Mark Williams,https://cuetracker.net/tournaments/world-championship/2003/242,2002,242,"GBP 1,815,250"
2003 Scottish Open,Ranking,David Gray,https://cuetracker.net/tournaments/scottish-open/2003/246,2002,246,"GBP 597,200"
2003 Irish Masters,Ranking,Ronnie O'Sullivan,https://cuetracker.net/tournaments/irish-masters/2003/247,2002,247,"GBP 399,680"
2003 European Open,Ranking,Ronnie O'Sullivan,https://cuetracker.net/tournaments/european-open/2003/248,2002,248,"GBP 250,000"
2003 Masters,Invitational,Mark Williams,https://cuetracker.net/tournaments/masters/2003/249,2002,249,"GBP 750,000"
2003 Welsh Open,Ranking,Stephen Hendry,https://cuetracker.net/tournaments/welsh-open/2003/250,2002,250,"GBP 597,200"
2003 Premier League,League,Marco Fu,https://cuetracker.net/tournaments/premier-league/2003/245,2002,245,"GBP 180,000"
2002 UK Championship,Ranking,Mark Williams,https://cuetracker.net/tournaments/uk-championship/2002/252,2002,252,"GBP 613,550"
2002 British Open,Ranking,Paul Hunter,https://cuetracker.net/tournaments/british-open/2002/253,2002,253,"GBP 450,000"
2002 LG Cup,Ranking,Chris Small,https://cuetracker.net/tournaments/lg-cup/2002/255,2002,255,"GBP 597,200"
2002 Scottish Masters,Invitational,Ronnie O'Sullivan,https://cuetracker.net/tournaments/scottish-masters/2002/256,2002,256,"GBP 192,000"
2004 World Championship,Ranking,Ronnie O'Sullivan,https://cuetracker.net/tournaments/world-championship/2004/224,2003,224,"GBP 1,371,720"
2004 Players Championship,Ranking,Jimmy White,https://cuetracker.net/tournaments/players-championship/2004/227,2003,227,"GBP 584,000"
2004 Irish Masters,Ranking,Peter Ebdon,https://cuetracker.net/tournaments/irish-masters/2004/228,2003,228,"GBP 396,800"
2004 European Open,Ranking,Stephen Maguire,https://cuetracker.net/tournaments/european-open/2004/229,2003,229,"GBP 400,800"
2004 Masters,Invitational,Paul Hunter,https://cuetracker.net/tournaments/masters/2004/230,2003,230,"GBP 350,000"
2004 Welsh Open,Ranking,Ronnie O'Sullivan,https://cuetracker.net/tournaments/welsh-open/2004/231,2003,231,"GBP 446,100"
2004 Premier League,League,Stephen Hendry,https://cuetracker.net/tournaments/premier-league/2004/223,2003,223,"GBP 180,000"
2003 UK Championship,Ranking,Matthew Stevens,https://cuetracker.net/tournaments/uk-championship/2003/234,2003,234,"GBP 615,000"
2003 British Open,Ranking,Stephen Hendry,https://cuetracker.net/tournaments/british-open/2003/236,2003,236,"GBP 470,000"
2003 LG Cup,Ranking,Mark Williams,https://cuetracker.net/tournaments/lg-cup/2003/239,2003,239,"GBP 617,200"
2005 World Championship,Ranking,Shaun Murphy,https://cuetracker.net/tournaments/world-championship/2005/208,2004,208,"GBP 1,263,800"
2005 China Open,Ranking,Ding Junhui,https://cuetracker.net/tournaments/china-open/2005/210,2004,210,"GBP 173,000"
2005 Irish Masters,Ranking,Ronnie O'Sullivan,https://cuetracker.net/tournaments/irish-masters/2005/212,2004,212,"GBP 250,000"
2005 Masters,Invitational,Ronnie O'Sullivan,https://cuetracker.net/tournaments/masters/2005/214,2004,214,"GBP 400,000"
2005 Malta Cup,Ranking,Stephen Hendry,https://cuetracker.net/tournaments/malta-cup/2005/215,2004,215,"GBP 197,500"
2005 Welsh Open,Ranking,Ronnie O'Sullivan,https://cuetracker.net/tournaments/welsh-open/2005/216,2004,216,"GBP 225,000"
2005 Premier League,League,Ronnie O'Sullivan,https://cuetracker.net/tournaments/premier-league/2005/206,2004,206,"GBP 245,000"
2004 UK Championship,Ranking,Stephen Maguire,https://cuetracker.net/tournaments/uk-championship/2004/218,2004,218,"GBP 525,000"
2004 British Open,Ranking,John Higgins,https://cuetracker.net/tournaments/british-open/2004/219,2004,219,"GBP 200,000"
2004 Grand Prix,Ranking,Ronnie O'Sullivan,https://cuetracker.net/tournaments/grand-prix/2004/220,2004,220,"GBP 420,000"
2006 World Championship,Ranking,Graeme Dott,https://cuetracker.net/tournaments/world-championship/2006/185,2005,185,"GBP 901,240"
2006 China Open,Ranking,Mark Williams,https://cuetracker.net/tournaments/china-open/2006/186,2005,186,"GBP 197,250"
2006 Welsh Open,Ranking,Stephen Lee,https://cuetracker.net/tournaments/welsh-open/2006/188,2005,188,"GBP 223,275"
2006 Malta Cup,Ranking,Ken Doherty,https://cuetracker.net/tournaments/malta-cup/2006/190,2005,190,"GBP 118,500"
2006 Masters,Invitational,John Higgins,https://cuetracker.net/tournaments/masters/2006/191,2005,191,"GBP 415,000"
2005 UK Championship,Ranking,Ding Junhui,https://cuetracker.net/tournaments/uk-championship/2005/192,2005,192,"GBP 495,875"
2005 Pot Black,Invitational,Matthew Stevens,https://cuetracker.net/tournaments/pot-black/2005/195,2005,195,"GBP 38,000"
2005 Grand Prix,Ranking,John Higgins,https://cuetracker.net/tournaments/grand-prix/2005/199,2005,199,"GBP 417,000"
2005 Premier League,League,Ronnie O'Sullivan,https://cuetracker.net/tournaments/premier-league/2005/194,2005,194,"GBP 248,000"
2005 Northern Ireland Trophy,Invitational,Matthew Stevens,https://cuetracker.net/tournaments/northern-ireland-trophy/2005/201,2005,201,"GBP 104,000"
2007 World Championship,Ranking,John Higgins,https://cuetracker.net/tournaments/world-championship/2007/161,2006,161,"GBP 985,000"
2007 China Open,Ranking,Graeme Dott,https://cuetracker.net/tournaments/china-open/2007/163,2006,163,"GBP 222,750"
2007 Welsh Open,Ranking,Neil Robertson,https://cuetracker.net/tournaments/welsh-open/2007/168,2006,168,"GBP 245,500"
2007 Malta Cup,Ranking,Shaun Murphy,https://cuetracker.net/tournaments/malta-cup/2007/170,2006,170,"GBP 200,500"
2007 Masters,Invitational,Ronnie O'Sullivan,https://cuetracker.net/tournaments/masters/2007/172,2006,172,"GBP 467,000"
2006 UK Championship,Ranking,Peter Ebdon,https://cuetracker.net/tournaments/uk-championship/2006/174,2006,174,"GBP 548,000"
2006 Grand Prix,Ranking,Neil Robertson,https://cuetracker.net/tournaments/grand-prix/2006/177,2006,177,"GBP 455,750"
2006 Premier League,League,Ronnie O'Sullivan,https://cuetracker.net/tournaments/premier-league/2006/175,2006,175,"GBP 239,000"
2006 Pot Black,Invitational,Mark Williams,https://cuetracker.net/tournaments/pot-black/2006/181,2006,181,"GBP 40,000"
2006 Northern Ireland Trophy,Ranking,Ding Junhui,https://cuetracker.net/tournaments/northern-ireland-trophy/2006/182,2006,182,"GBP 198,500"
2008 World Championship,Ranking,Ronnie O'Sullivan,https://cuetracker.net/tournaments/world-championship/2008/136,2007,136,"GBP 1,197,000"
2008 China Open,Ranking,Stephen Maguire,https://cuetracker.net/tournaments/china-open/2008/139,2007,139,"GBP 270,000"
2008 Championship League,League,Joe Perry,https://cuetracker.net/tournaments/championship-league/2008/137,2007,137,"GBP 166,600"
2008 Welsh Open,Ranking,Mark Selby,https://cuetracker.net/tournaments/welsh-open/2008/142,2007,142,"GBP 225,500"
2008 Malta Cup,Invitational,Shaun Murphy,https://cuetracker.net/tournaments/malta-cup/2008/144,2007,144,"GBP 76,000"
2008 Masters,Invitational,Mark Selby,https://cuetracker.net/tournaments/masters/2008/145,2007,145,"GBP 460,000"
